canonical_event_id,division_raw,total_placements
00659874b9,Doubles Net,3
00659874b9,Golf,3
00659874b9,Mixed Dbls Net,3
00659874b9,Mixed Doubles Net,3
00659874b9,Open Dbls Net,3
00659874b9,Open Golf,3
00659874b9,Open Sgls Consecutive,1
00659874b9,Open Sgls Freestyle,1
00659874b9,Open Sgls Net,3
00659874b9,Open Team Freestyle,2
00659874b9,Singles,3
00659874b9,Singles Consecutive Kicks,1
00659874b9,Singles Freestyle,3
00659874b9,Singles Net,3
00659874b9,Team,3
00659874b9,Team Freestyle,3
00659874b9,Women's Dbls Net,3
00659874b9,Women's Doubles Net,3
00659874b9,Women's Sgls Net,3
00659874b9,Women's Singles Net,3
069f7909e7,Open Dbls Consecutive,1
069f7909e7,Open Dbls Net,3
069f7909e7,Open Sgls Consecutive,1
069f7909e7,Open Sgls Net,3
069f7909e7,Women's Dbls Net,1
069f7909e7,Women's Sgls Net,1
07e711d92a,Men's Overall,1
07e711d92a,Mixed Dbls Net,3
07e711d92a,Open Dbls Consecutive,3
07e711d92a,Open Dbls Net,3
07e711d92a,Open Sgls Consecutive,3
07e711d92a,Open Sgls Freestyle,3
07e711d92a,Open Sgls Net,3
07e711d92a,Open Team Freestyle,3
07e711d92a,Women's Dbls Net,3
07e711d92a,Women's Overall,1
07e711d92a,Women's Sgls Net,3
0a43031545,Open Singles,1
0e1499ab21,Men's Overall,1
0e1499ab21,Mixed Dbls Net,3
0e1499ab21,Open Dbls Net,3
0e1499ab21,Open Golf,3
0e1499ab21,Open Sgls Consecutive,1
0e1499ab21,Open Sgls Freestyle,3
0e1499ab21,Open Sgls Net,3
0e1499ab21,Open Team Freestyle,3
0e1499ab21,Singles,3
0e1499ab21,Team,3
0e1499ab21,Women's Dbls Net,3
0e1499ab21,Women's Overall,1
0e1499ab21,Women's Sgls Net,3
0e1499ab21,Women's Team Freestyle,3
d272be24f7,Open Freestyle,1
d272be24f7,Open Singles Net,1
15782bd1d5,Men's Overall,1
15782bd1d5,Mixed Dbls Net,3
15782bd1d5,Open Dbls Consecutive,3
15782bd1d5,Open Dbls Net,3
15782bd1d5,Open Sgls Consecutive,3
15782bd1d5,Open Sgls Freestyle,3
15782bd1d5,Open Sgls Net,3
15782bd1d5,Open Team Freestyle,3
15782bd1d5,Women's Dbls Net,3
15782bd1d5,Women's Overall,1
15782bd1d5,Women's Sgls Net,3
1c74083104,Men's Overall,1
1c74083104,Mixed Dbls Net,3
1c74083104,Open Dbls Consecutive,3
1c74083104,Open Dbls Net,3
1c74083104,Open Sgls Consecutive,3
1c74083104,Open Sgls Freestyle,3
1c74083104,Open Sgls Net,3
1c74083104,Open Team Freestyle,3
1c74083104,Singles,3
1c74083104,Team,3
1c74083104,Women's Dbls Net,3
1c74083104,Women's Overall,1
1c74083104,Women's Sgls Freestyle,1
1c74083104,Women's Sgls Net,3
1c74083104,Women's Team Freestyle,2
1e36e7ca92,,3
1e36e7ca92,Doubles Net,3
1e36e7ca92,Freestyle,3
1e36e7ca92,Golf,3
1e36e7ca92,Intermediate Doubles Net,1
