group_id,event_id,normalized_event_type,year,event_name_raw,source_file,source_type,location_raw,num_placements,confidence
bb975bff1d,b34e90fe3d,NHSA_NATIONALS,1980,1980 NHSA,OLD_RESULTS.txt,OLD_RESULTS,,8,LOW
069f7909e7,005cf9782a,OTHER,1980,1980 Mike Marshall Memorial,UNKNOWN_p050.jpg,FBW,,10,MEDIUM
8396ba09ac,a6acc8449b,US_NATIONALS,1980,1980 National Footbag Championships,UNKNOWN_p021.jpg,FBW,"Clackamas, Oregon",2,MEDIUM
5c386b7dea,6f31575047,WORLD_CHAMPIONSHIPS,1980,1980 World Footbag Championships,IFAB_WORLDS_HISTORY_p050.jpg,IFAB,"Portland, Oregon",1,MEDIUM
b9540daaab,db24e71377,NHSA_NATIONALS,1981,1981 NHSA,OLD_RESULTS.txt,OLD_RESULTS,,15,LOW
bc88796233,2a8ad0dbe8,OTHER,1981,1981 Mike Marshall Memorial,UNKNOWN_p050.jpg,FBW,,13,MEDIUM
af9e865ed5,278d51be6e,WORLD_CHAMPIONSHIPS,1981,1981 World Footbag Championships,UNKNOWN_p021.jpg,FBW,"Portland, Oregon",2,MEDIUM
1e36e7ca92,38240bb7ec,NHSA_NATIONALS,1982,1982 NHSA National Championships,UNKNOWN_p050.jpg,FBW,,23,HIGH
1e36e7ca92,8da7cbe9c5,NHSA_NATIONALS,1982,1982 NHSA,OLD_RESULTS.txt,OLD_RESULTS,,30,HIGH
e41e20722d,7242e1f63b,US_REGIONALS,1982,1982 Western Regionals,UNKNOWN_p022.jpg,FBW,"Seattle, WA",1,MEDIUM
f771c4ef26,e28b8b3d20,WORLD_CHAMPIONSHIPS,1982,1982 World Footbag Championships,FBW_V02_N01_p017.jpg,FBW,"Portland, Oregon",1,MEDIUM
76498d51d2,ca3ebce8f1,NHSA_NATIONALS,1983,1983 NHSA National Championships,UNKNOWN_p050.jpg,FBW,,19,HIGH
76498d51d2,30f5a76d81,NHSA_NATIONALS,1983,1983 NHSA,OLD_RESULTS.txt,OLD_RESULTS,,35,HIGH
