group_id,normalized_event_type,year,validation_status,conflict_notes,num_sources,source_types,sources
bb975bff1d,NHSA_NATIONALS,1980,SINGLE_SOURCE,,1,OLD_RESULTS,OLD_RESULTS:1980 NHSA
069f7909e7,OTHER,1980,SINGLE_SOURCE,,1,FBW,FBW:1980 Mike Marshall Memorial
8396ba09ac,US_NATIONALS,1980,SINGLE_SOURCE,,1,FBW,FBW:1980 National Footbag Championships
5c386b7dea,WORLD_CHAMPIONSHIPS,1980,SINGLE_SOURCE,,1,IFAB,IFAB:1980 World Footbag Championships
b9540daaab,NHSA_NATIONALS,1981,SINGLE_SOURCE,,1,OLD_RESULTS,OLD_RESULTS:1981 NHSA
bc88796233,OTHER,1981,SINGLE_SOURCE,,1,FBW,FBW:1981 Mike Marshall Memorial
af9e865ed5,WORLD_CHAMPIONSHIPS,1981,SINGLE_SOURCE,,1,FBW,FBW:1981 World Footbag Championships
1e36e7ca92,NHSA_NATIONALS,1982,CONFIRMED_MULTI_SOURCE,,2,FBW|OLD_RESULTS,FBW:1982 NHSA National Championships; OLD_RESULTS:1982 NHSA
e41e20722d,US_REGIONALS,1982,SINGLE_SOURCE,,1,FBW,FBW:1982 Western Regionals
f771c4ef26,WORLD_CHAMPIONSHIPS,1982,SINGLE_SOURCE,,1,FBW,FBW:1982 World Footbag Championships
76498d51d2,NHSA_NATIONALS,1983,CONFIRMED_MULTI_SOURCE,,2,FBW|OLD_RESULTS,FBW:1983 NHSA National Championships; OLD_RESULTS:1983 NHSA
0a43031545,STATE_CHAMPIONSHIPS,1983,SINGLE_SOURCE,,1,FBW,FBW:1983 Oregon State Championships
00659874b9,WFA_NATIONALS,1983,CONFIRMED_MULTI_SOURCE,,2,FBW|OLD_RESULTS,FBW:1983 WFA National Championships; OLD_RESULTS:1983 WFA
76ff377548,WORLD_CHAMPIONSHIPS,1983,SINGLE_SOURCE,,1,FBW,FBW:1983 World Footbag Championships
77aa0f8390,EURO_CHAMPIONSHIPS,1984,SINGLE_SOURCE,,1,FBW,FBW:1984 European Footbag Championships
0e1499ab21,WFA_NATIONALS,1984,CONFIRMED_MULTI_SOURCE,,2,FBW|OLD_RESULTS,FBW:1984 WFA National Championships; OLD_RESULTS:1984 WFA
6cd9e5b635,WORLD_CHAMPIONSHIPS,1984,CONFIRMED_MULTI_SOURCE,,2,FBW|OLD_RESULTS,FBW:1984 World Footbag Championships; OLD_RESULTS:1984
1c74083104,WFA_NATIONALS,1985,CONFIRMED_MULTI_SOURCE,,2,FBW|OLD_RESULTS,FBW:1985 WFA National Championships; OLD_RESULTS:1985 WFA
88ab188635,WORLD_CHAMPIONSHIPS,1985,CONFIRMED_MULTI_SOURCE,,2,FBW|OLD_RESULTS,FBW:1985 World Footbag Championships; OLD_RESULTS:1985
b4b6a194e2,WFA_WORLD_CHAMPIONSHIPS,1986,CONFIRMED_MULTI_SOURCE,,2,FBW|OLD_RESULTS,FBW:1986 WFA World Championships; OLD_RESULTS:1986 WFA
e753e2a15c,EURO_CHAMPIONSHIPS,1987,SINGLE_SOURCE,,1,FBW,FBW:1987 European Footbag Championships
8667de3590,WFA_WORLD_CHAMPIONSHIPS,1987,SINGLE_SOURCE,,1,FBW,FBW:1987 WFA World Championships
7f20a87202,US_NATIONALS,1988,SINGLE_SOURCE,,1,FBW,FBW:1988 U.S. National Footbag Championships
d272be24f7,WFA_WORLD_CHAMPIONSHIPS,1988,SINGLE_SOURCE,,1,FBW,FBW:1988 WFA World Championships
334c632f6e,WFA_WORLD_CHAMPIONSHIPS,1989,SINGLE_SOURCE,,1,FBW,FBW:1989 WFA World Championships
15782bd1d5,WFA_WORLD_CHAMPIONSHIPS,1990,SINGLE_SOURCE,,1,FBW,FBW:1990 WFA World Championships
76340820ba,WFA_WORLD_CHAMPIONSHIPS,1991,SINGLE_SOURCE,,1,FBW,FBW:1991 WFA World Championships
07e711d92a,WFA_WORLD_CHAMPIONSHIPS,1992,SINGLE_SOURCE,,1,FBW,FBW:1992 WFA World Championships
e04899bee1,IFAB_WORLD_CHAMPIONSHIPS,1993,SINGLE_SOURCE,,1,FBW,FBW:1993 IFAB World Championships
b9d35c4646,IFAB_WORLD_CHAMPIONSHIPS,1994,SINGLE_SOURCE,,1,FBW,FBW:1994 IFAB World Championships
1faddf6c05,IFAB_WORLD_CHAMPIONSHIPS,1995,SINGLE_SOURCE,,1,FBW,FBW:1995 IFAB World Championships
6dc440629d,IFAB_WORLD_CHAMPIONSHIPS,1996,SINGLE_SOURCE,,1,FBW,FBW:1996 IFAB World Championships
