raw_name,person_id,alias_status
alex frazier,1f2d14aa-31e7-5d1f-a338-9ae43af68af5,MATCHED
allan petersen,64472889-80b6-5457-a226-8aa66fa810fd,MATCHED
andy linder,64a7a989-aa2c-5a58-b141-e8378be4a962,MATCHED
bill bethurum,67af5b3f-6e16-530a-8841-409debf11fb0,MATCHED
bill hayne,92b0ee3b-efaa-545a-b07e-30ab6d8ebeb0,MATCHED
bill langbehn,40fa16ff-a418-5da9-914e-3a09e231f2a7,MATCHED
billy hayne,92b0ee3b-efaa-545a-b07e-30ab6d8ebeb0,AUTOACCEPTED
bob swerdlick,4a680cee-eee2-5f29-9637-86075d66581c,MATCHED
brent welch,95643c20-ec23-57a5-a742-5b44534ae959,MATCHED
bruce guettich,886e5b99-bd46-5707-a490-a2e938b09a35,MATCHED
carolyn ramondie,cbf84862-04b1-5408-9e43-49b9818ed9aa,MATCHED
cheri johnson,5ed3846e-4212-5e19-84ff-19cc486e66db,MATCHED
cheryl hughes,cfcef53f-670c-5721-b206-1ebe7d63987c,MATCHED
chris ott,8959d778-41d3-554e-a831-6e1f73534b0f,MATCHED
colin cowles,face7f79-7983-5032-a0de-d238eeb55bb2,NEW_PLAYER
constance constable,826201f8-2540-5663-9bbf-239e94ccee43,MATCHED
dave frazier,d00d203f-ac71-5ec1-ad7f-497a8f024c50,MATCHED
dave hill,5cb79fb4-ab20-558f-b4a2-e7206c9f22df,MATCHED
dave robinson,e7b054cf-d4f7-56cb-aafb-26a313fbbc14,MATCHED
david robinson,895b0608-34df-509a-853d-684ffa24e824,MATCHED
dennis ross,84641a6f-36d4-5857-af3f-827b1f57102f,MATCHED
doug little,d86e1aad-2058-5773-95eb-c5fd05217112,NEW_PLAYER
evan bozett,7bbc620b-366a-5ffb-8bf3-0f9f3e9e8e0e,MATCHED
fred barnum,06e833ec-f06f-50fb-9c56-390ca839e23f,MATCHED
fred kipley,8acf4e97-e1e8-50d7-8fd4-3a1d8ff4e731,AUTOACCEPTED
fred kippley,8acf4e97-e1e8-50d7-8fd4-3a1d8ff4e731,MATCHED
gale bigler,f06dc40d-e92e-5784-9269-cf25a77b450e,MATCHED
gary griggs,8b8c45bf-a622-55cd-bd2d-67f3b395873e,MATCHED
gary laut,66a5ee0b-abd2-5b24-9d53-5c4f6e3fee14,AUTOACCEPTED
gary lautt,66a5ee0b-abd2-5b24-9d53-5c4f6e3fee14,MATCHED
gary preston,472663b7-a356-59f4-8743-c5ad3fae999e,MATCHED
grace faucette,5e9196f6-80e9-58e5-b152-822cd1fc1021,MATCHED
greg cortopassi,bf5ce187-5cac-52fc-be9b-ba22c5c6fc01,MATCHED
jack schoolcraft,b7c2a69b-7547-5ee6-936e-b675c748d131,MATCHED
james stallcup,d84a8f26-14f2-5966-b09c-971a685c6c50,NEW_PLAYER
jan-olof karlsson,6448a460-2f45-5a41-879d-f967d87e8a5c,NEW_PLAYER
jeff johnson,76c8b933-3ec9-53e9-b2a7-a862b32704db,MATCHED
jennifer reese,8d03383e-8e17-5065-a3ec-bae127aea67d,MATCHED
jenny davidson,,REVIEW_NEEDED
jenny davison,3f48caf5-14c9-59f1-8255-1db7ef2fd049,MATCHED
jim caveney,,REVIEW_NEEDED
jim fitzgerald,b54020bc-1a1a-5d23-89e1-34617b3514fa,MATCHED
jimmy evans,1df424ed-8425-5452-ac6a-f7abb11bb468,MATCHED
jodi chandler,4a06d35f-7a27-5347-8c06-3157385d71f6,MATCHED
jodi sebastian,2224d6ba-5be4-56a5-90e1-aaa61a15bcb0,MATCHED
jody grace,,REVIEW_NEEDED
john east,f8bd392f-8e8a-5fd4-8ef1-006d2c3e1e0b,MATCHED
john lind,290ed496-1837-57fd-820d-a907ba6ea20b,MATCHED
john stalberger,8f420eba-d663-5f06-b0f4-b62bf7550f80,MATCHED
jon lind,a6e260ae-74e5-5ef5-8b20-d7c2fbd65b83,MATCHED
judy grace,73728c19-e412-5006-aa48-1d2685a77f7e,MATCHED
kalia klaban,0c681fd1-e4bf-54b3-a314-41da581ecb40,MATCHED
karen atgopian,86de3135-51c7-5ad5-9144-112f984acd3f,NEW_PLAYER
karen gunther,63327293-7bb9-5a45-a50a-e2a2167ba80e,MATCHED
karen uppinghouse,4b3d47c0-977c-5285-a31f-b3c2f33428a8,NEW_PLAYER
karin atogpian,,REVIEW_NEEDED
ken eldrick,03bcdedb-b187-5ef3-ba2d-e371c1cada15,NEW_PLAYER
ken shults,,REVIEW_NEEDED
kendall kic,ece72308-6a72-551f-866a-e348728ee455,MATCHED
kenny shults,,REVIEW_NEEDED
kevin coker,9837d58a-0b5d-58cf-a565-dda9bde70bac,MATCHED
kevin courtney,eb40c6a6-7e80-5190-b77d-47a47735bc0b,MATCHED
kevin gaunce,bf2fefd4-7e20-5b87-84ba-056eac2bb001,NEW_PLAYER
kim era,b76be9ba-0d58-5747-8ab1-11f3e3e5cc8d,MATCHED
lee guenther,4901847d-1c88-5fda-aca5-a24c19da90d9,MATCHED
linda burt,669a3821-2547-5215-9edd-7965ff400e69,MATCHED
lori jean conover,77f0f32d-98bf-5742-8228-4e06ac07bd9d,MATCHED
lori jean tarr,,REVIEW_NEEDED
mag hughes,ca63a7da-a00a-5a83-ae43-2e17b5758fc8,MATCHED
marie elsner,fdf8022e-1b76-57e0-a06b-b0fbe66e7f26,MATCHED
mark daniels,33e83366-7b1e-5c4a-99a9-8eba0d3988ca,MATCHED
mark pistorio,6dd7483e-cc7e-53ca-8424-1f36838e8faa,MATCHED
max smith,95fb4def-7ff2-5c9c-8de5-1b97d0e13756,MATCHED
max smith jr.,95fb4def-7ff2-5c9c-8de5-1b97d0e13756,AUTOACCEPTED
mike harding,d75b5871-83c1-5284-b09d-a5eb5d4377dd,MATCHED
mike marshall,1381939c-35d0-5941-ae91-ca262b6fc482,MATCHED
mike mueller,70e1582b-c009-508a-b3e1-11b184198b72,MATCHED
mike puderbaugh,38df5c50-08d9-5706-90e5-464508ea0962,MATCHED
misty helme,e85a6af9-3ac6-550d-8b35-045ec4886d06,AUTOACCEPTED
misty helms,e85a6af9-3ac6-550d-8b35-045ec4886d06,MATCHED
nancy reynolds,eccb075a-3997-5288-a805-774d358f5656,MATCHED
pat castle,fb644300-e5a4-51ca-962f-e59dad795b03,MATCHED
peter shunny,5f056e75-0943-584d-8969-c6a2a03760f2,MATCHED
randy nelson,d91dcdc5-e286-538b-984c-1eb0fb6d5bc4,NEW_PLAYER
randy ross,046fa84f-2797-5d25-866e-4d04c12880dd,NEW_PLAYER
reed gray,b5d49246-d1b4-5540-a92d-72d26e6b1d0b,MATCHED
rick kaufman,8ca3812a-3df8-5cfe-9cff-a1df1963b8e6,MATCHED
rick reese,0858e74f-3f58-51c5-8d9b-4a6f2333c08c,MATCHED
rita buckley,2b77bf53-5fb8-57a3-a5c0-aa9b0b08434e,MATCHED
robert conover,282ea81a-5815-5a15-9842-ee2ad6e2047e,MATCHED
ruth osterman,a10fa54f-eadb-5842-8df1-fdca1920e7e7,MATCHED
scott cleere,777d9449-6e41-5985-bb7d-cdaf8647ef9c,MATCHED
shannon aubin,4667c817-96f6-5e6e-b3ab-46ecd390dc0e,MATCHED
shannon storment,c04b0df1-3194-55ab-aa97-16adb45c25d3,MATCHED
sindre madsen,e0682f82-69f2-5395-bf80-1f7c9a2e2cad,NEW_PLAYER
steve brown,7d9fad30-f7f8-569b-b27d-7ef146e35653,NEW_PLAYER
steve femmel,fb605451-fa41-5e6d-ad21-1b541b3fc82b,MATCHED
steve fennell,,REVIEW_NEEDED
steve granzberg,14941d8e-1763-5f1e-9daf-dc3c7fa97c96,MATCHED
suzanne beauchemin,3c09d4cc-2da9-5e1f-8a4c-e44ca0542f82,MATCHED
ted johnson,ecd4e14c-7ddf-560c-8cd0-ec10bedf4095,NEW_PLAYER
ted martens,,REVIEW_NEEDED
tim fitzgerald,,REVIEW_NEEDED
tim mackey,5e46bdbe-bbbb-5cca-aacb-d5edf9bf2540,MATCHED
tim prater,de9e5c5c-8b5b-5ced-b326-5d2048c7ab3c,MATCHED
tobin wigger,,REVIEW_NEEDED
tom akin,f0156ba3-ee86-5eab-b884-99ba8719dd84,MATCHED
torben wigger,,REVIEW_NEEDED
torgeir rygh,42b5c8be-9cb5-5b3b-b167-13fd86b35ca4,NEW_PLAYER
