canonical_event_id,division_raw,total_placements
1983_worlds_wfa,Doubles Net,3
1983_worlds_wfa,Golf,3
1983_worlds_wfa,Mixed Doubles Net,3
1983_worlds_wfa,Singles Consecutive Kicks,1
1983_worlds_wfa,Singles Freestyle,3
1983_worlds_wfa,Singles Net,3
1983_worlds_wfa,Team Freestyle,3
1983_worlds_wfa,Women's Doubles Net,3
1983_worlds_wfa,Women's Singles Net,3
1992_worlds,Men's Overall,1
1992_worlds,Mixed Dbls Net,3
1992_worlds,Open Dbls Consecutive,3
1992_worlds,Open Dbls Net,3
1992_worlds,Open Sgls Consecutive,3
1992_worlds,Open Sgls Freestyle,3
1992_worlds,Open Sgls Net,3
1992_worlds,Open Team Freestyle,3
1992_worlds,Women's Dbls Net,3
1992_worlds,Women's Overall,1
1992_worlds,Women's Sgls Net,3
1983_oregon_state,Open Singles,1
1984_wfa_nationals,Men's Overall,1
1984_wfa_nationals,Mixed Dbls Net,3
1984_wfa_nationals,Open Dbls Net,3
1984_wfa_nationals,Open Golf,3
1984_wfa_nationals,Open Sgls Consecutive,1
1984_wfa_nationals,Open Sgls Freestyle,3
1984_wfa_nationals,Open Sgls Net,3
1984_wfa_nationals,Open Team Freestyle,3
1984_wfa_nationals,Singles,3
1984_wfa_nationals,Team,3
1984_wfa_nationals,Women's Dbls Net,3
1984_wfa_nationals,Women's Overall,1
1984_wfa_nationals,Women's Sgls Net,3
1984_wfa_nationals,Women's Team Freestyle,3
1990_worlds,Men's Overall,1
1990_worlds,Mixed Dbls Net,3
1990_worlds,Open Dbls Consecutive,3
1990_worlds,Open Dbls Net,3
1990_worlds,Open Sgls Consecutive,3
1990_worlds,Open Sgls Freestyle,3
1990_worlds,Open Sgls Net,3
1990_worlds,Open Team Freestyle,3
1990_worlds,Women's Dbls Net,3
1990_worlds,Women's Overall,1
1990_worlds,Women's Sgls Net,3
1985_wfa_nationals,Men's Overall,1
1985_wfa_nationals,Mixed Dbls Net,3
1985_wfa_nationals,Open Dbls Consecutive,3
1985_wfa_nationals,Open Dbls Net,3
1985_wfa_nationals,Open Sgls Consecutive,3
1985_wfa_nationals,Open Sgls Freestyle,3
1985_wfa_nationals,Open Sgls Net,3
1985_wfa_nationals,Open Team Freestyle,3
1985_wfa_nationals,Singles,3
1985_wfa_nationals,Team,3
1985_wfa_nationals,Women's Dbls Net,3
1985_wfa_nationals,Women's Overall,1
1985_wfa_nationals,Women's Sgls Freestyle,1
1985_wfa_nationals,Women's Sgls Net,3
1985_wfa_nationals,Women's Team Freestyle,2
1982_worlds,Doubles Net,3
1982_worlds,Freestyle,3
1982_worlds,Golf,3
1982_worlds,Intermediate Doubles Net,1
1982_worlds,Intermediate Freestyle,1
1982_worlds,Intermediate Singles Net,1
1982_worlds,Mixed Doubles Net,3
1982_worlds,Singles Consecutive Kicks,3
1982_worlds,Singles Net,3
1982_worlds,Women's Doubles Net,3
1982_worlds,Women's Singles Net,3
1989_worlds_golden,Men's Overall,1
1989_worlds_golden,Mixed Dbls Net,3
1989_worlds_golden,Open Dbls Consecutive,3
1989_worlds_golden,Open Dbls Net,3
1989_worlds_golden,Open Sgls Consecutive,3
1989_worlds_golden,Open Sgls Freestyle,3
