result_id,canonical_event_id,division_raw,place,player_name_raw,person_id,person_canon,resolution_status,source_type
b83a963033,1982_worlds,Open Sgls Net,1,Kenny Shults,2a6a7c9e-1d8a-4f9a-a8f5-6f3a3c1e9b0f,Kenneth Shults,MATCHED,FBW
877c97aef7,1982_worlds,Open Sgls Net,2,Billy Hayne,92b0ee3b-efaa-545a-b07e-30ab6d8ebeb0,Bill Hayne,AUTOACCEPTED,FBW
37989f1a5c,1982_worlds,Open Sgls Net,3,Bruce Guettich,886e5b99-bd46-5707-a490-a2e938b09a35,Bruce Guettich,MATCHED,FBW
9313635c5c,1982_worlds,Open Dbls Net,1,Mag Hughes,ca63a7da-a00a-5a83-ae43-2e17b5758fc8,Mag Hughes,MATCHED,FBW
9313635c5c,1982_worlds,Open Dbls Net,1,Billy Hayne,92b0ee3b-efaa-545a-b07e-30ab6d8ebeb0,Bill Hayne,AUTOACCEPTED,FBW
334795941e,1982_worlds,Open Dbls Net,2,Kenny Shults,2a6a7c9e-1d8a-4f9a-a8f5-6f3a3c1e9b0f,Kenneth Shults,MATCHED,FBW
334795941e,1982_worlds,Open Dbls Net,2,Walt Mason,c0592850-ae68-5b8b-aaf2-2741b8bdc51d,Walt Mason,MATCHED,FBW
b0d6bf4c8f,1982_worlds,Open Dbls Net,3,Fred Kipley,8acf4e97-e1e8-50d7-8fd4-3a1d8ff4e731,Fred Kippley,AUTOACCEPTED,FBW
b0d6bf4c8f,1982_worlds,Open Dbls Net,3,Gary Preston,472663b7-a356-59f4-8743-c5ad3fae999e,Gary Preston,MATCHED,FBW
609f3f30fb,1982_worlds,Women's Sgls Net,1,Cheryl Hughes,cfcef53f-670c-5721-b206-1ebe7d63987c,Cheryl Hughes,MATCHED,FBW
a3c659f467,1982_worlds,Women's Sgls Net,2,Carolyn Ramondie,cbf84862-04b1-5408-9e43-49b9818ed9aa,Carolyn Ramondie,MATCHED,FBW
69ca6270c5,1982_worlds,Women's Sgls Net,3,Karen Gunther,63327293-7bb9-5a45-a50a-e2a2167ba80e,Karen Gunther,MATCHED,FBW
0f4334650b,1982_worlds,Women's Dbls Net,1,Carolyn Ramondie,cbf84862-04b1-5408-9e43-49b9818ed9aa,Carolyn Ramondie,MATCHED,FBW
0f4334650b,1982_worlds,Women's Dbls Net,1,Lori Jean Tarr,77f0f32d-98bf-5742-8228-4e06ac07bd9d,Lori Jean Conover,MATCHED,FBW
315223983f,1982_worlds,Women's Dbls Net,2,Rita Buckley,2b77bf53-5fb8-57a3-a5c0-aa9b0b08434e,Rita Buckley,MATCHED,FBW
315223983f,1982_worlds,Women's Dbls Net,2,Alex Frazier,1f2d14aa-31e7-5d1f-a338-9ae43af68af5,Alex Frazier,MATCHED,FBW
14aed77b21,1982_worlds,Women's Dbls Net,3,Karen Uppinghouse,4b3d47c0-977c-5285-a31f-b3c2f33428a8,Karen Uppinghouse,NEW_PLAYER,FBW
14aed77b21,1982_worlds,Women's Dbls Net,3,Cheryl Hughes,cfcef53f-670c-5721-b206-1ebe7d63987c,Cheryl Hughes,MATCHED,FBW
4c06cfa01a,1982_worlds,Mixed Dbls Net,1,Mag Hughes,ca63a7da-a00a-5a83-ae43-2e17b5758fc8,Mag Hughes,MATCHED,FBW
4c06cfa01a,1982_worlds,Mixed Dbls Net,1,Alex Frazier,1f2d14aa-31e7-5d1f-a338-9ae43af68af5,Alex Frazier,MATCHED,FBW
6b4eb67eec,1982_worlds,Mixed Dbls Net,2,Billy Hayne,92b0ee3b-efaa-545a-b07e-30ab6d8ebeb0,Bill Hayne,AUTOACCEPTED,FBW
6b4eb67eec,1982_worlds,Mixed Dbls Net,2,Cheryl Hughes,cfcef53f-670c-5721-b206-1ebe7d63987c,Cheryl Hughes,MATCHED,FBW
550ca7ceb6,1982_worlds,Mixed Dbls Net,3,Greg Cortopassi,bf5ce187-5cac-52fc-be9b-ba22c5c6fc01,Greg Cortopassi,MATCHED,FBW
550ca7ceb6,1982_worlds,Mixed Dbls Net,3,Rita Buckley,2b77bf53-5fb8-57a3-a5c0-aa9b0b08434e,Rita Buckley,MATCHED,FBW
42aa4ad24e,1982_worlds,Open Sgls Freestyle,1,Gary Laut,66a5ee0b-abd2-5b24-9d53-5c4f6e3fee14,Gary Lautt,AUTOACCEPTED,FBW
01cc7044c6,1982_worlds,Open Team Freestyle,1,Bruce Guettich,886e5b99-bd46-5707-a490-a2e938b09a35,Bruce Guettich,MATCHED,FBW
01cc7044c6,1982_worlds,Open Team Freestyle,1,Greg Cortopassi,bf5ce187-5cac-52fc-be9b-ba22c5c6fc01,Greg Cortopassi,MATCHED,FBW
4a28098dc0,1982_worlds,Open Golf,1,Mike Harding,d75b5871-83c1-5284-b09d-a5eb5d4377dd,Mike Harding,MATCHED,FBW
a8e4d54e96,1982_worlds,Open Golf,2,Kenny Shults,2a6a7c9e-1d8a-4f9a-a8f5-6f3a3c1e9b0f,Kenneth Shults,MATCHED,FBW
9e1a4ac3b3,1982_worlds,Open Golf,3,Greg Cortopassi,bf5ce187-5cac-52fc-be9b-ba22c5c6fc01,Greg Cortopassi,MATCHED,FBW
98a0e0aebf,1983_worlds_nhsa,Open Sgls Net,1,Mag Hughes,ca63a7da-a00a-5a83-ae43-2e17b5758fc8,Mag Hughes,MATCHED,FBW
ff052ef614,1983_worlds_nhsa,Open Sgls Net,2,Kenny Shults,2a6a7c9e-1d8a-4f9a-a8f5-6f3a3c1e9b0f,Kenneth Shults,MATCHED,FBW
6f121bebd8,1983_worlds_nhsa,Open Sgls Net,3,Dave Robinson,e7b054cf-d4f7-56cb-aafb-26a313fbbc14,Dave Robinson,MATCHED,FBW
14b96b52ca,1983_worlds_nhsa,Open Dbls Net,1,Mag Hughes,ca63a7da-a00a-5a83-ae43-2e17b5758fc8,Mag Hughes,MATCHED,FBW
14b96b52ca,1983_worlds_nhsa,Open Dbls Net,1,Billy Hayne,92b0ee3b-efaa-545a-b07e-30ab6d8ebeb0,Bill Hayne,AUTOACCEPTED,FBW
e66d08c1e2,1983_worlds_nhsa,Open Dbls Net,2,Greg Cortopassi,bf5ce187-5cac-52fc-be9b-ba22c5c6fc01,Greg Cortopassi,MATCHED,FBW
e66d08c1e2,1983_worlds_nhsa,Open Dbls Net,2,Bruce Guettich,886e5b99-bd46-5707-a490-a2e938b09a35,Bruce Guettich,MATCHED,FBW
f25ed8fc0d,1983_worlds_nhsa,Open Dbls Net,3,Kevin Courtney,eb40c6a6-7e80-5190-b77d-47a47735bc0b,Kevin Courtney,MATCHED,FBW
f25ed8fc0d,1983_worlds_nhsa,Open Dbls Net,3,Dave Robinson,e7b054cf-d4f7-56cb-aafb-26a313fbbc14,Dave Robinson,MATCHED,FBW
4242fb6a3f,1983_worlds_nhsa,Mixed Dbls Net,1,Lori Jean Tarr,77f0f32d-98bf-5742-8228-4e06ac07bd9d,Lori Jean Conover,MATCHED,FBW
4242fb6a3f,1983_worlds_nhsa,Mixed Dbls Net,1,Bruce Guettich,886e5b99-bd46-5707-a490-a2e938b09a35,Bruce Guettich,MATCHED,FBW
