canonical_event_id,legacy_hex_id,event_name,year,location,normalized_event_type,source_types,num_sources,validation_status,confidence,num_placements,dataset_version
1980_worlds,bb975bff1d,1980 NHSA (Mike Marshall Memorial),1980,,NHSA_NATIONALS,FBW|OLD_RESULTS,2,CONFIRMED_MULTI_SOURCE,LOW,8,v1.0
1980_worlds_clackamas,8396ba09ac,1980 National / World Footbag Championships,1980,"Clackamas, Oregon",WORLD_CHAMPIONSHIPS,FBW|IFAB,2,CONFIRMED_MULTI_SOURCE,MEDIUM,2,v1.0
1981_worlds,b9540daaab,1981 NHSA (Mike Marshall Memorial),1981,,NHSA_NATIONALS,FBW|OLD_RESULTS,2,CONFIRMED_MULTI_SOURCE,LOW,15,v1.0
1981_worlds_portland,af9e865ed5,1981 World Footbag Championships,1981,"Portland, Oregon",WORLD_CHAMPIONSHIPS,FBW,1,SINGLE_SOURCE,MEDIUM,2,v1.0
1982_worlds,1e36e7ca92,1982 NHSA,1982,,NHSA_NATIONALS,FBW|OLD_RESULTS,2,CONFIRMED_MULTI_SOURCE,HIGH,53,v1.0
1982_western_regionals,e41e20722d,1982 Western Regionals,1982,"Seattle, WA",US_REGIONALS,FBW,1,SINGLE_SOURCE,MEDIUM,1,v1.0
1982_worlds_portland,f771c4ef26,1982 World Footbag Championships,1982,"Portland, Oregon",WORLD_CHAMPIONSHIPS,FBW,1,SINGLE_SOURCE,MEDIUM,1,v1.0
1983_worlds_nhsa,76498d51d2,1983 NHSA,1983,,NHSA_NATIONALS,FBW|OLD_RESULTS,2,CONFIRMED_MULTI_SOURCE,HIGH,54,v1.0
1983_oregon_state,0a43031545,1983 Oregon State Championships,1983,Oregon,STATE_CHAMPIONSHIPS,FBW,1,SINGLE_SOURCE,MEDIUM,1,v1.0
1983_worlds_wfa,00659874b9,1983 WFA,1983,,WFA_NATIONALS,FBW|OLD_RESULTS,2,CONFIRMED_MULTI_SOURCE,HIGH,53,v1.0
1983_worlds_portland,76ff377548,1983 World Footbag Championships,1983,"Portland, Oregon",WORLD_CHAMPIONSHIPS,FBW,1,SINGLE_SOURCE,MEDIUM,3,v1.0
1984_worlds,6cd9e5b635,1984,1984,,WORLD_CHAMPIONSHIPS,FBW|OLD_RESULTS,2,CONFIRMED_MULTI_SOURCE,HIGH,61,v1.0
1984_euro_champs,77aa0f8390,1984 European Footbag Championships,1984,,EURO_CHAMPIONSHIPS,FBW,1,SINGLE_SOURCE,MEDIUM,1,v1.0
1984_wfa_nationals,0e1499ab21,1984 WFA National Championships,1984,,WFA_NATIONALS,FBW|OLD_RESULTS,2,CONFIRMED_MULTI_SOURCE,HIGH,36,v1.0
1985_worlds,88ab188635,1985,1985,,WFA_WORLD_CHAMPIONSHIPS,FBW|OLD_RESULTS,2,CONFIRMED_MULTI_SOURCE,HIGH,64,v1.0
1985_wfa_nationals,1c74083104,1985 WFA National Championships,1985,,WFA_NATIONALS,FBW|OLD_RESULTS,2,CONFIRMED_MULTI_SOURCE,HIGH,38,v1.0
1986_worlds_golden,b4b6a194e2,1986 WFA World Championships,1986,"Golden, Colorado",WFA_WORLD_CHAMPIONSHIPS,FBW|OLD_RESULTS,2,CONFIRMED_MULTI_SOURCE,HIGH,39,v1.0
1987_euro_champs,e753e2a15c,1987 European Footbag Championships,1987,,EURO_CHAMPIONSHIPS,FBW,1,SINGLE_SOURCE,MEDIUM,1,v1.0
1987_worlds_golden,8667de3590,1987 WFA World Championships,1987,"Golden, Colorado",WFA_WORLD_CHAMPIONSHIPS,FBW,1,CONFIRMED_MULTI_SOURCE,MEDIUM,14,v1.0
1988_us_nationals,7f20a87202,1988 U.S. National Footbag Championships,1988,"Chicago, Illinois",US_NATIONALS,FBW,1,SINGLE_SOURCE,MEDIUM,1,v1.0
1989_worlds_golden,334c632f6e,1989 WFA World Championships,1989,"Golden, Colorado",WFA_WORLD_CHAMPIONSHIPS,FBW|IFAB,2,CONFIRMED_MULTI_SOURCE,MEDIUM,30,v1.0
1990_worlds,15782bd1d5,1990 WFA World Championships,1990,,WFA_WORLD_CHAMPIONSHIPS,FBW,1,SINGLE_SOURCE,MEDIUM,29,v1.0
1991_worlds,76340820ba,1991 WFA World Championships,1991,,WFA_WORLD_CHAMPIONSHIPS,FBW,1,SINGLE_SOURCE,MEDIUM,29,v1.0
1992_worlds,07e711d92a,1992 WFA World Championships,1992,,WFA_WORLD_CHAMPIONSHIPS,FBW,1,SINGLE_SOURCE,MEDIUM,29,v1.0
1993_worlds,e04899bee1,1993 IFAB World Championships,1993,,IFAB_WORLD_CHAMPIONSHIPS,FBW,1,SINGLE_SOURCE,MEDIUM,29,v1.0
1994_worlds_palo_alto,b9d35c4646,1994 IFAB World Championships,1994,"Palo Alto, California",IFAB_WORLD_CHAMPIONSHIPS,FBW|IFAB,2,CONFIRMED_MULTI_SOURCE,MEDIUM,30,v1.0
1996_worlds,6dc440629d,1996 World Footbag Championships,1996,"Montreal, Quebec, Canada",IFAB_WORLD_CHAMPIONSHIPS,verified_new,1,VERIFIED,HIGH,29,v1.0
montreal_1995_footbag_champs,,1995 Montreal Footbag Championships,1995,"Parc Beaubien, Montreal, Quebec, Canada",OTHER,verified_new,1,VERIFIED,HIGH,12,v1.1
