raw_name,notes
Billy Hayne,possible PT match: Bill Hayne (92b0ee3b)
Colin Cowles,possible PT match: Colin Esplen (3b338f7a); Colin Hortigon (1a7a1b1a)
Doug Little,possible PT match: Ben Little (b1f1ebbc); Doug Epperson (f8d9d69d)
Fred Kipley,possible PT match: Fred Barnum (06e833ec); Fred Kippley (8acf4e97)
Gary Laut,possible PT match: Gary Edge (e8c77b10); Gary Griggs (8b8c45bf)
James Stallcup,possible PT match: Chris James (383f6f61); Greg James (caa90a96)
Jan-Olof Karlsson,
Jenny Davidson,possible PT match: Alex Davidson (5034c206); Scott Davidson (274d2f51)
Jim Caveney,possible PT match: Jimmy Caveney (df329352); Jim Cobb (6a237359)
Jody Grace,possible PT match: Judy Grace (73728c19); Grace Carnebalino (128a0fc2)
Karen Atgopian,possible PT match: Karen Gunther (63327293); Karen Ingle (b131be1e)
Karen Uppinghouse,possible PT match: Karen Gunther (63327293); Karen Ingle (b131be1e)
Karin Atogpian,
Ken Eldrick,possible PT match: Ken Hamric (3991f932); Ken Moller (cb3bbcdd)
Ken Shults,possible PT match: Drake Shults (85b19220); Elle Shults (17f1d5dd)
Kenny Shults,possible PT match: Drake Shults (85b19220); Elle Shults (17f1d5dd)
Kevin Gaunce,possible PT match: Randy Gaunce (e4fe6b86); Kevin Arins (10e01381)
Lori Jean Tarr,possible PT match: Luke Tarr (6d4ac083); Lori Jean Conover (77f0f32d)
Max Smith Jr.,possible PT match: Max Smith (95fb4def); alex smith (d85d0353)
Misty Helme,possible PT match: Misty Helms (e85a6af9)
Randy Nelson,possible PT match: Brad Nelson (42cfb7b0); Brian Nelson (2f3b2fea)
Randy Ross,possible PT match: Becca English Ross (93d75393); Dennis Ross (84641a6f)
Sindre Madsen,
Steve Brown,possible PT match: Chris Brown (204a0648); Eric Brown (f3d2cb63)
Steve Fennell,possible PT match: Steve Blades (7e26d6c3); Steve Butler (ded074f2)
Ted Johnson,possible PT match: Andrew Johnson (2ada39d8); Ben Johnson (251d6d5f)
Ted Martens,possible PT match: Matt Martens (7679b216); Ted Martin (3d1b24de)
Tim Fitzgerald,possible PT match: Jim Fitzgerald (b54020bc); Jim Toes Fitzgerald (af0099f9)
Tobin Wigger,possible PT match: Torbin Wigger (f38e2f8e)
Torben Wigger,possible PT match: Torbin Wigger (f38e2f8e); Torben Hansen (950f4664)
Torgeir Rygh,
unknown,
