event_id,division_raw,placement_raw,placement_num,player_raw,team_raw,score_raw,notes,source_file
8da7cbe9c5,,1,1,Greg Cortopassi/Bruce Guettich,,,,OLD_RESULTS.txt
8da7cbe9c5,,2,2,Gary Lautt,,,,OLD_RESULTS.txt
8da7cbe9c5,,3,3,Jack Schoolcraft/Reed Gray,,,,OLD_RESULTS.txt
30f5a76d81,Singles,1,1,Ken Shults,,,,OLD_RESULTS.txt
30f5a76d81,Singles,2,2,Andy Linder,,,,OLD_RESULTS.txt
30f5a76d81,Singles,3,3,Jeff Johnson,,,,OLD_RESULTS.txt
30f5a76d81,Team,1,1,Greg Cortopassi/Mag Hughes/Gary Lautt/Jim Caveney,,,,OLD_RESULTS.txt
30f5a76d81,Team,2,2,David Robinson/Kevin Courtney/Reed Gray/Jim Fitzgerald,,,,OLD_RESULTS.txt
30f5a76d81,Team,3,3,Jack Schoolcraft/Will Squire,,,,OLD_RESULTS.txt
9bb67e459b,Singles,1,1,Jack Schoolcraft,,,,OLD_RESULTS.txt
9bb67e459b,Singles,2,2,Jim Caveney,,,,OLD_RESULTS.txt
9bb67e459b,Singles,3,3,Bill Bethurum,,,,OLD_RESULTS.txt
9bb67e459b,Team,1,1,Gary Lautt/Jim Caveney/Ken Shults,,,,OLD_RESULTS.txt
9bb67e459b,Team,2,2,David Robinson/Kevin Courtney/Reed Gray,,,,OLD_RESULTS.txt
9bb67e459b,Team,3,3,Jim Fitzgerald/Robert Conover,,,,OLD_RESULTS.txt
1d123950c4,Singles,1,1,Andy Linder,,,,OLD_RESULTS.txt
1d123950c4,Singles,2,2,Ken Shults,,,,OLD_RESULTS.txt
1d123950c4,Singles,3,3,Jack Schoolcraft,,,,OLD_RESULTS.txt
1d123950c4,Team,1,1,Jack Schoolcraft/Jim Fitzgerald,,,,OLD_RESULTS.txt
1d123950c4,Team,2,2,Mag Hughes/Gary Lautt/Jim Caveney,,,,OLD_RESULTS.txt
1d123950c4,Team,3,3,Scott Cleere/Bill Bethurum,,,,OLD_RESULTS.txt
c3ee30e8d8,Singles,1,1,Ken Shults,,,,OLD_RESULTS.txt
c3ee30e8d8,Singles,2,2,Dennis Ross,,,,OLD_RESULTS.txt
c3ee30e8d8,Singles,3,3,Jack Schoolcraft,,,,OLD_RESULTS.txt
c3ee30e8d8,Team,1,1,Jim Caveney/Bruce Guettich,,,,OLD_RESULTS.txt
c3ee30e8d8,Team,2,2,Scott Cleere/Bill Bethurum,,,,OLD_RESULTS.txt
c3ee30e8d8,Team,3,3,Brent Welch/Bill Langbehn,,,,OLD_RESULTS.txt
52ee2f726b,Singles,1,1,Jon Lind,,,,OLD_RESULTS.txt
52ee2f726b,Singles,2,2,Andy Linder,,,,OLD_RESULTS.txt
52ee2f726b,Singles,3,3,Ken Shults,,,,OLD_RESULTS.txt
52ee2f726b,Team,1,1,Scott Cleere/Bill Bethurum/Randy Nelson,,,,OLD_RESULTS.txt
52ee2f726b,Team,2,2,Jon Lind/Dennis Ross,,,,OLD_RESULTS.txt
52ee2f726b,Team,3,3,Jack Schoolcraft/Jim Fitzgerald,,,,OLD_RESULTS.txt
b34e90fe3d,Singles Consecutive Kicks,1,1,Ken Shults,,,,OLD_RESULTS.txt
b34e90fe3d,Doubles Consecutive Kicks,1,1,Ken Shults/Mike Harding,,,,OLD_RESULTS.txt
b34e90fe3d,Singles Net,1,1,John Stalberger,,,,OLD_RESULTS.txt
b34e90fe3d,Singles Net,2,2,Walt Mason,,,,OLD_RESULTS.txt
b34e90fe3d,Singles Net,3,3,Ken Shults,,,,OLD_RESULTS.txt
b34e90fe3d,Doubles Net,1,1,John Stalberger/Max Smith,,,,OLD_RESULTS.txt
b34e90fe3d,Doubles Net,2,2,Walt Mason/Mag Hughes,,,,OLD_RESULTS.txt
b34e90fe3d,Doubles Net,3,3,Gale Bigler/Dave Frazier,,,,OLD_RESULTS.txt
db24e71377,Intermediate Singles Consecutive Kicks,1,1,Max Smith,,,,OLD_RESULTS.txt
db24e71377,Singles Consecutive Kicks,1,1,Gary Lautt,,,,OLD_RESULTS.txt
db24e71377,Women's Singles Consecutive Kicks,1,1,Kalia Klaban,,,,OLD_RESULTS.txt
db24e71377,Team Consecutive Kicks,1,1,Kalia Klaban/Gary Lautt/Jim Caveney,,,,OLD_RESULTS.txt
db24e71377,Intermediate Singles Net,1,1,Mike Harding,,,,OLD_RESULTS.txt
db24e71377,Intermediate Doubles Net,1,1,Mike Harding/Mark Daniels,,,,OLD_RESULTS.txt
db24e71377,Singles Net,1,1,John Stalberger,,,,OLD_RESULTS.txt
db24e71377,Singles Net,2,2,Ken Shults,,,,OLD_RESULTS.txt
db24e71377,Singles Net,3,3,Dave Hill,,,,OLD_RESULTS.txt
db24e71377,Doubles Net,1,1,Mag Hughes/Bill Hayne,,,,OLD_RESULTS.txt
db24e71377,Doubles Net,2,2,John Stalberger/Max Smith,,,,OLD_RESULTS.txt
db24e71377,Doubles Net,3,3,Ken Shults/Walt Mason,,,,OLD_RESULTS.txt
db24e71377,Women's Doubles Net,1,1,Rita Buckley/Misty Helms,,,,OLD_RESULTS.txt
db24e71377,Women's Doubles Net,2,2,unknown,,,,OLD_RESULTS.txt
db24e71377,Women's Doubles Net,3,3,Lori Jean Conover/Jennifer Reese,,,,OLD_RESULTS.txt
8da7cbe9c5,Golf,1,1,Mike Harding,,,,OLD_RESULTS.txt
8da7cbe9c5,Golf,2,2,Ken Shults,,,,OLD_RESULTS.txt
8da7cbe9c5,Golf,3,3,Greg Cortopassi,,,,OLD_RESULTS.txt
8da7cbe9c5,Singles Consecutive Kicks,1,1,Ken Shults,,,,OLD_RESULTS.txt
8da7cbe9c5,Singles Consecutive Kicks,2,2,Andy Linder,,,,OLD_RESULTS.txt
8da7cbe9c5,Singles Consecutive Kicks,3,3,Gary Lautt,,,,OLD_RESULTS.txt
