event_id,year,division_canon,division_category,place,competitor_type,person_id,team_person_key,person_canon,team_display_name,coverage_flag,person_unresolved,norm,division_raw
1980_worlds,1980,Doubles Consecutive Kicks,net,1,team,,2a6a7c9e-1d8a-4f9a-a8f5-6f3a3c1e9b0f|d75b5871-83c1-5284-b09d-a5eb5d4377dd,__NON_PERSON__,Kenneth Shults / Mike Harding,complete,0,doubles consecutive kicks,Doubles Consecutive Kicks
1980_worlds,1980,Doubles Net,net,1,team,,8f420eba-d663-5f06-b0f4-b62bf7550f80|95fb4def-7ff2-5c9c-8de5-1b97d0e13756,__NON_PERSON__,John Stalberger / Max Smith,complete,0,doubles net,Doubles Net
1980_worlds,1980,Doubles Net,net,2,team,,c0592850-ae68-5b8b-aaf2-2741b8bdc51d|ca63a7da-a00a-5a83-ae43-2e17b5758fc8,__NON_PERSON__,Walt Mason / Mag Hughes,complete,0,doubles net,Doubles Net
1980_worlds,1980,Doubles Net,net,3,team,,f06dc40d-e92e-5784-9269-cf25a77b450e|d00d203f-ac71-5ec1-ad7f-497a8f024c50,__NON_PERSON__,Gale Bigler / Dave Frazier,complete,0,doubles net,Doubles Net
1980_worlds,1980,Singles Consecutive Kicks,net,1,player,2a6a7c9e-1d8a-4f9a-a8f5-6f3a3c1e9b0f,,Kenneth Shults,,complete,0,singles consecutive kicks,Singles Consecutive Kicks
1980_worlds,1980,Singles Net,net,1,player,8f420eba-d663-5f06-b0f4-b62bf7550f80,,John Stalberger,,complete,0,singles net,Singles Net
1980_worlds,1980,Singles Net,net,2,player,c0592850-ae68-5b8b-aaf2-2741b8bdc51d,,Walt Mason,,complete,0,singles net,Singles Net
1980_worlds,1980,Singles Net,net,3,player,2a6a7c9e-1d8a-4f9a-a8f5-6f3a3c1e9b0f,,Kenneth Shults,,complete,0,singles net,Singles Net
1980_worlds_clackamas,1980,Open Singles,net,1,player,8f420eba-d663-5f06-b0f4-b62bf7550f80,,John Stalberger,,complete,0,open singles,Open Singles
1980_worlds_clackamas,1980,Open Singles,net,2,player,03bcdedb-b187-5ef3-ba2d-e371c1cada15,,Ken Eldrick,,complete,0,open singles,Open Singles
1981_worlds,1981,Doubles Net,net,1,team,,ca63a7da-a00a-5a83-ae43-2e17b5758fc8|92b0ee3b-efaa-545a-b07e-30ab6d8ebeb0,__NON_PERSON__,Mag Hughes / Bill Hayne,complete,0,doubles net,Doubles Net
1981_worlds,1981,Doubles Net,net,2,team,,8f420eba-d663-5f06-b0f4-b62bf7550f80|95fb4def-7ff2-5c9c-8de5-1b97d0e13756,__NON_PERSON__,John Stalberger / Max Smith,complete,0,doubles net,Doubles Net
1981_worlds,1981,Doubles Net,net,3,team,,2a6a7c9e-1d8a-4f9a-a8f5-6f3a3c1e9b0f|c0592850-ae68-5b8b-aaf2-2741b8bdc51d,__NON_PERSON__,Kenneth Shults / Walt Mason,complete,0,doubles net,Doubles Net
1981_worlds,1981,Intermediate Doubles Net,net,1,team,,d75b5871-83c1-5284-b09d-a5eb5d4377dd|33e83366-7b1e-5c4a-99a9-8eba0d3988ca,__NON_PERSON__,Mike Harding / Mark Daniels,complete,0,intermediate doubles net,Intermediate Doubles Net
1981_worlds,1981,Intermediate Singles Consecutive Kicks,net,1,player,95fb4def-7ff2-5c9c-8de5-1b97d0e13756,,Max Smith,,complete,0,intermediate singles consecutive kicks,Intermediate Singles Consecutive Kicks
1981_worlds,1981,Intermediate Singles Net,net,1,player,d75b5871-83c1-5284-b09d-a5eb5d4377dd,,Mike Harding,,complete,0,intermediate singles net,Intermediate Singles Net
1981_worlds,1981,Singles Consecutive Kicks,net,1,player,66a5ee0b-abd2-5b24-9d53-5c4f6e3fee14,,Gary Lautt,,complete,0,singles consecutive kicks,Singles Consecutive Kicks
1981_worlds,1981,Singles Net,net,1,player,8f420eba-d663-5f06-b0f4-b62bf7550f80,,John Stalberger,,complete,0,singles net,Singles Net
1981_worlds,1981,Singles Net,net,2,player,2a6a7c9e-1d8a-4f9a-a8f5-6f3a3c1e9b0f,,Kenneth Shults,,complete,0,singles net,Singles Net
1981_worlds,1981,Singles Net,net,3,player,5cb79fb4-ab20-558f-b4a2-e7206c9f22df,,Dave Hill,,complete,0,singles net,Singles Net
1981_worlds,1981,Team Consecutive Kicks,net,1,team,,0c681fd1-e4bf-54b3-a314-41da581ecb40|66a5ee0b-abd2-5b24-9d53-5c4f6e3fee14|df329352-6f3b-5e98-b23b-1af6737d100b,__NON_PERSON__,Kalia Klaban / Gary Lautt / Jimmy Caveney,complete,0,team consecutive kicks,Team Consecutive Kicks
1981_worlds,1981,Women's Doubles Net,net,1,team,,2b77bf53-5fb8-57a3-a5c0-aa9b0b08434e|e85a6af9-3ac6-550d-8b35-045ec4886d06,__NON_PERSON__,Rita Buckley / Misty Helms,complete,0,women s doubles net,Women's Doubles Net
1981_worlds,1981,Women's Doubles Net,net,2,player,,,unknown,,complete,1,women s doubles net,Women's Doubles Net
1981_worlds,1981,Women's Doubles Net,net,3,team,,77f0f32d-98bf-5742-8228-4e06ac07bd9d|8d03383e-8e17-5065-a3ec-bae127aea67d,__NON_PERSON__,Lori Jean Conover / Jennifer Reese,complete,0,women s doubles net,Women's Doubles Net
1981_worlds,1981,Women's Singles Consecutive Kicks,net,1,player,0c681fd1-e4bf-54b3-a314-41da581ecb40,,Kalia Klaban,,complete,0,women s singles consecutive kicks,Women's Singles Consecutive Kicks
1981_worlds_portland,1981,Open Singles,net,1,player,8f420eba-d663-5f06-b0f4-b62bf7550f80,,John Stalberger,,partial,0,open singles,Open Singles
1981_worlds_portland,1981,Open Singles,net,2,player,1381939c-35d0-5941-ae91-ca262b6fc482,,Mike Marshall,,partial,0,open singles,Open Singles
1982_worlds,1982,,net,1,team,,bf5ce187-5cac-52fc-be9b-ba22c5c6fc01|886e5b99-bd46-5707-a490-a2e938b09a35,__NON_PERSON__,Greg Cortopassi / Bruce Guettich,complete,0,,
1982_worlds,1982,,net,2,player,66a5ee0b-abd2-5b24-9d53-5c4f6e3fee14,,Gary Lautt,,complete,0,,
1982_worlds,1982,,net,3,team,,b7c2a69b-7547-5ee6-936e-b675c748d131|b5d49246-d1b4-5540-a92d-72d26e6b1d0b,__NON_PERSON__,Jack Schoolcraft / Reed Gray,complete,0,,
1982_worlds,1982,Doubles Net,net,1,team,,ca63a7da-a00a-5a83-ae43-2e17b5758fc8|92b0ee3b-efaa-545a-b07e-30ab6d8ebeb0,__NON_PERSON__,Mag Hughes / Bill Hayne,complete,0,doubles net,Doubles Net
1982_worlds,1982,Doubles Net,net,2,team,,2a6a7c9e-1d8a-4f9a-a8f5-6f3a3c1e9b0f|c0592850-ae68-5b8b-aaf2-2741b8bdc51d,__NON_PERSON__,Kenneth Shults / Walt Mason,complete,0,doubles net,Doubles Net
1982_worlds,1982,Doubles Net,net,3,team,,8acf4e97-e1e8-50d7-8fd4-3a1d8ff4e731|472663b7-a356-59f4-8743-c5ad3fae999e,__NON_PERSON__,Fred Kippley / Gary Preston,complete,0,doubles net,Doubles Net
1982_worlds,1982,Freestyle,freestyle,1,team,,bf5ce187-5cac-52fc-be9b-ba22c5c6fc01|886e5b99-bd46-5707-a490-a2e938b09a35,__NON_PERSON__,Greg Cortopassi / Bruce Guettich,complete,0,freestyle,Freestyle
1982_worlds,1982,Freestyle,freestyle,2,player,66a5ee0b-abd2-5b24-9d53-5c4f6e3fee14,,Gary Lautt,,complete,0,freestyle,Freestyle
1982_worlds,1982,Freestyle,freestyle,3,team,,b7c2a69b-7547-5ee6-936e-b675c748d131|b5d49246-d1b4-5540-a92d-72d26e6b1d0b,__NON_PERSON__,Jack Schoolcraft / Reed Gray,complete,0,freestyle,Freestyle
1982_worlds,1982,Golf,golf,1,player,d75b5871-83c1-5284-b09d-a5eb5d4377dd,,Mike Harding,,complete,0,golf,Golf
1982_worlds,1982,Golf,golf,2,player,2a6a7c9e-1d8a-4f9a-a8f5-6f3a3c1e9b0f,,Kenneth Shults,,complete,0,golf,Golf
1982_worlds,1982,Golf,golf,3,player,bf5ce187-5cac-52fc-be9b-ba22c5c6fc01,,Greg Cortopassi,,complete,0,golf,Golf
1982_worlds,1982,Intermediate Doubles Net,net,1,team,,fb605451-fa41-5e6d-ad21-1b541b3fc82b|ecd4e14c-7ddf-560c-8cd0-ec10bedf4095,__NON_PERSON__,Steve Fennell / Ted Johnson,complete,0,intermediate doubles net,Intermediate Doubles Net
1982_worlds,1982,Intermediate Freestyle,freestyle,1,player,40fa16ff-a418-5da9-914e-3a09e231f2a7,,Bill Langbehn,,complete,0,intermediate freestyle,Intermediate Freestyle
1982_worlds,1982,Intermediate Singles Net,net,1,player,fb605451-fa41-5e6d-ad21-1b541b3fc82b,,Steve Fennell,,complete,0,intermediate singles net,Intermediate Singles Net
1982_worlds,1982,Mixed Doubles Net,net,1,team,,ca63a7da-a00a-5a83-ae43-2e17b5758fc8|1f2d14aa-31e7-5d1f-a338-9ae43af68af5,__NON_PERSON__,Mag Hughes / Alex Frazier,complete,0,mixed dbls net,Mixed Dbls Net
1982_worlds,1982,Mixed Doubles Net,net,2,team,,92b0ee3b-efaa-545a-b07e-30ab6d8ebeb0|cfcef53f-670c-5721-b206-1ebe7d63987c,__NON_PERSON__,Bill Hayne / Cheryl Hughes,complete,0,mixed dbls net,Mixed Dbls Net
1982_worlds,1982,Mixed Doubles Net,net,3,team,,bf5ce187-5cac-52fc-be9b-ba22c5c6fc01|2b77bf53-5fb8-57a3-a5c0-aa9b0b08434e,__NON_PERSON__,Greg Cortopassi / Rita Buckley,complete,0,mixed dbls net,Mixed Dbls Net
1982_worlds,1982,Mixed Doubles Net,net,1,team,,1f2d14aa-31e7-5d1f-a338-9ae43af68af5|ca63a7da-a00a-5a83-ae43-2e17b5758fc8,__NON_PERSON__,Alex Frazier / Mag Hughes,complete,0,mixed doubles net,Mixed Doubles Net
1982_worlds,1982,Mixed Doubles Net,net,2,team,,cfcef53f-670c-5721-b206-1ebe7d63987c|92b0ee3b-efaa-545a-b07e-30ab6d8ebeb0,__NON_PERSON__,Cheryl Hughes / Bill Hayne,complete,0,mixed doubles net,Mixed Doubles Net
1982_worlds,1982,Mixed Doubles Net,net,3,team,,2b77bf53-5fb8-57a3-a5c0-aa9b0b08434e|bf5ce187-5cac-52fc-be9b-ba22c5c6fc01,__NON_PERSON__,Rita Buckley / Greg Cortopassi,complete,0,mixed doubles net,Mixed Doubles Net
1982_worlds,1982,Open Doubles Net,net,1,team,,ca63a7da-a00a-5a83-ae43-2e17b5758fc8|92b0ee3b-efaa-545a-b07e-30ab6d8ebeb0,__NON_PERSON__,Mag Hughes / Bill Hayne,complete,0,open dbls net,Open Dbls Net
1982_worlds,1982,Open Doubles Net,net,2,team,,2a6a7c9e-1d8a-4f9a-a8f5-6f3a3c1e9b0f|c0592850-ae68-5b8b-aaf2-2741b8bdc51d,__NON_PERSON__,Kenneth Shults / Walt Mason,complete,0,open dbls net,Open Dbls Net
1982_worlds,1982,Open Doubles Net,net,3,team,,8acf4e97-e1e8-50d7-8fd4-3a1d8ff4e731|472663b7-a356-59f4-8743-c5ad3fae999e,__NON_PERSON__,Fred Kippley / Gary Preston,complete,0,open dbls net,Open Dbls Net
1982_worlds,1982,Open Golf,golf,1,player,d75b5871-83c1-5284-b09d-a5eb5d4377dd,,Mike Harding,,complete,0,open golf,Open Golf
1982_worlds,1982,Open Golf,golf,2,player,2a6a7c9e-1d8a-4f9a-a8f5-6f3a3c1e9b0f,,Kenneth Shults,,complete,0,open golf,Open Golf
1982_worlds,1982,Open Golf,golf,3,player,bf5ce187-5cac-52fc-be9b-ba22c5c6fc01,,Greg Cortopassi,,complete,0,open golf,Open Golf
1982_worlds,1982,Open Singles Consecutive,net,1,player,2a6a7c9e-1d8a-4f9a-a8f5-6f3a3c1e9b0f,,Kenneth Shults,,complete,0,open sgls consecutive,Open Sgls Consecutive
1982_worlds,1982,Open Singles Consecutive,net,2,player,64a7a989-aa2c-5a58-b141-e8378be4a962,,Andy Linder,,complete,0,open sgls consecutive,Open Sgls Consecutive
1982_worlds,1982,Open Singles Consecutive,net,3,player,66a5ee0b-abd2-5b24-9d53-5c4f6e3fee14,,Gary Lautt,,complete,0,open sgls consecutive,Open Sgls Consecutive
1982_worlds,1982,Open Singles Freestyle,freestyle,1,player,66a5ee0b-abd2-5b24-9d53-5c4f6e3fee14,,Gary Lautt,,complete,0,open sgls freestyle,Open Sgls Freestyle
1982_worlds,1982,Open Singles Net,net,1,player,2a6a7c9e-1d8a-4f9a-a8f5-6f3a3c1e9b0f,,Kenneth Shults,,complete,0,open sgls net,Open Sgls Net
1982_worlds,1982,Open Singles Net,net,2,player,92b0ee3b-efaa-545a-b07e-30ab6d8ebeb0,,Bill Hayne,,complete,0,open sgls net,Open Sgls Net
1982_worlds,1982,Open Singles Net,net,3,player,886e5b99-bd46-5707-a490-a2e938b09a35,,Bruce Guettich,,complete,0,open sgls net,Open Sgls Net
1982_worlds,1982,Open Team Freestyle,freestyle,1,team,,886e5b99-bd46-5707-a490-a2e938b09a35|bf5ce187-5cac-52fc-be9b-ba22c5c6fc01,__NON_PERSON__,Bruce Guettich / Greg Cortopassi,complete,0,open team freestyle,Open Team Freestyle
1982_worlds,1982,Singles Consecutive Kicks,net,1,player,2a6a7c9e-1d8a-4f9a-a8f5-6f3a3c1e9b0f,,Kenneth Shults,,complete,0,singles consecutive kicks,Singles Consecutive Kicks
1982_worlds,1982,Singles Consecutive Kicks,net,2,player,64a7a989-aa2c-5a58-b141-e8378be4a962,,Andy Linder,,complete,0,singles consecutive kicks,Singles Consecutive Kicks
1982_worlds,1982,Singles Consecutive Kicks,net,3,player,66a5ee0b-abd2-5b24-9d53-5c4f6e3fee14,,Gary Lautt,,complete,0,singles consecutive kicks,Singles Consecutive Kicks
1982_worlds,1982,Singles Net,net,1,player,2a6a7c9e-1d8a-4f9a-a8f5-6f3a3c1e9b0f,,Kenneth Shults,,complete,0,singles net,Singles Net
1982_worlds,1982,Singles Net,net,2,player,92b0ee3b-efaa-545a-b07e-30ab6d8ebeb0,,Bill Hayne,,complete,0,singles net,Singles Net
1982_worlds,1982,Singles Net,net,3,player,886e5b99-bd46-5707-a490-a2e938b09a35,,Bruce Guettich,,complete,0,singles net,Singles Net
1982_worlds,1982,Women's Doubles Net,net,1,team,,cbf84862-04b1-5408-9e43-49b9818ed9aa|77f0f32d-98bf-5742-8228-4e06ac07bd9d,__NON_PERSON__,Carolyn Ramondie / Lori Jean Conover,complete,0,women s dbls net,Women's Dbls Net
1982_worlds,1982,Women's Doubles Net,net,2,team,,2b77bf53-5fb8-57a3-a5c0-aa9b0b08434e|1f2d14aa-31e7-5d1f-a338-9ae43af68af5,__NON_PERSON__,Rita Buckley / Alex Frazier,complete,0,women s dbls net,Women's Dbls Net
