event_id,year,event_name,date,location,host_club,event_type,results_raw,placements_json,rejected_division_headers
069f7909e7,1980,1980 Mike Marshall Memorial,1980,,,OTHER,"FBW [UNKNOWN_p050.jpg]: Open Dbls Consecutive
1. Kenny Shults / Mike Harding

FBW [UNKNOWN_p050.jpg]: Open Dbls Net
1. John Stalberger / Max Smith Jr.
2. Mag Hughes / Walt Mason
3. Gale Bigler / Dave Frazier

FBW [UNKNOWN_p050.jpg]: Open Sgls Consecutive
1. Kenny Shults

FBW [UNKNOWN_p050.jpg]: Open Sgls Net
1. John Stalberger
2. Walt Mason
3. Kenny Shults","{""source_types"": ""FBW"", ""validation_status"": ""SINGLE_SOURCE"", ""num_placements"": ""10""}",[]
bb975bff1d,1980,1980 NHSA,1980,,,NHSA_NATIONALS,"OLD_RESULTS [OLD_RESULTS.txt]: Doubles Consecutive Kicks
1. Ken Shults / Mike Harding

OLD_RESULTS [OLD_RESULTS.txt]: Doubles Net
1. John Stalberger / Max Smith
2. Walt Mason / Mag Hughes
3. Gale Bigler / Dave Frazier

OLD_RESULTS [OLD_RESULTS.txt]: Singles Consecutive Kicks
1. Ken Shults

OLD_RESULTS [OLD_RESULTS.txt]: Singles Net
1. John Stalberger
2. Walt Mason
3. Ken Shults","{""source_types"": ""OLD_RESULTS"", ""validation_status"": ""SINGLE_SOURCE"", ""num_placements"": ""8""}",[]
8396ba09ac,1980,1980 National Footbag Championships,1980,"Clackamas, Oregon",,US_NATIONALS,"FBW [UNKNOWN_p021.jpg]: Open Singles
1. John Stalberger
2. Ken Eldrick","{""source_types"": ""FBW"", ""validation_status"": ""SINGLE_SOURCE"", ""num_placements"": ""2""}",[]
5c386b7dea,1980,1980 World Footbag Championships,1980,"Portland, Oregon",,WORLD_CHAMPIONSHIPS,"IFAB [IFAB_WORLDS_HISTORY_p050.jpg]: Open Singles
1. John Stalberger","{""source_types"": ""IFAB"", ""validation_status"": ""SINGLE_SOURCE"", ""num_placements"": ""1""}",[]
bc88796233,1981,1981 Mike Marshall Memorial,1981,,,OTHER,"FBW [UNKNOWN_p050.jpg]: Open Dbls Net
1. Mag Hughes / Billy Hayne
2. John Stalberger / Max Smith Jr.
3. Kenny Shults / Walt Mason

FBW [UNKNOWN_p050.jpg]: Open Sgls Consecutive
1. Gary Laut

FBW [UNKNOWN_p050.jpg]: Open Sgls Net
1. John Stalberger
2. Kenny Shults
3. Dave Hill

FBW [UNKNOWN_p050.jpg]: Open Team Consecutive
1. Gary Laut / Jim Caveney / Kalia Klaban

FBW [UNKNOWN_p050.jpg]: Women's Dbls Net
1. Rita Buckley / Misty Helme
2. ?
3. Lori Jean Conover / Jennifer Reese

FBW [UNKNOWN_p050.jpg]: Women's Sgls Consecutive
1. Kalia Klaban","{""source_types"": ""FBW"", ""validation_status"": ""SINGLE_SOURCE"", ""num_placements"": ""13""}",[]
b9540daaab,1981,1981 NHSA,1981,,,NHSA_NATIONALS,"OLD_RESULTS [OLD_RESULTS.txt]: Doubles Net
1. Mag Hughes / Bill Hayne
2. John Stalberger / Max Smith
3. Ken Shults / Walt Mason

OLD_RESULTS [OLD_RESULTS.txt]: Intermediate Doubles Net
1. Mike Harding / Mark Daniels

OLD_RESULTS [OLD_RESULTS.txt]: Intermediate Singles Consecutive Kicks
1. Max Smith

OLD_RESULTS [OLD_RESULTS.txt]: Intermediate Singles Net
1. Mike Harding

OLD_RESULTS [OLD_RESULTS.txt]: Singles Consecutive Kicks
1. Gary Lautt

OLD_RESULTS [OLD_RESULTS.txt]: Singles Net
1. John Stalberger
2. Ken Shults
3. Dave Hill

OLD_RESULTS [OLD_RESULTS.txt]: Team Consecutive Kicks
1. Kalia Klaban / Gary Lautt / Jim Caveney

OLD_RESULTS [OLD_RESULTS.txt]: Women's Doubles Net
1. Rita Buckley / Misty Helms
2. unknown
3. Lori Jean Conover / Jennifer Reese

OLD_RESULTS [OLD_RESULTS.txt]: Women's Singles Consecutive Kicks
1. Kalia Klaban","{""source_types"": ""OLD_RESULTS"", ""validation_status"": ""SINGLE_SOURCE"", ""num_placements"": ""15""}",[]
af9e865ed5,1981,1981 World Footbag Championships,1981,"Portland, Oregon",,WORLD_CHAMPIONSHIPS,"FBW [UNKNOWN_p021.jpg]: Open Singles
1. John Stalberger
2. Mike Marshall","{""source_types"": ""FBW"", ""validation_status"": ""SINGLE_SOURCE"", ""num_placements"": ""2""}",[]
1e36e7ca92,1982,1982 NHSA,1982,,,NHSA_NATIONALS,"FBW [UNKNOWN_p050.jpg]: Mixed Dbls Net
1. Mag Hughes / Alex Frazier
2. Billy Hayne / Cheryl Hughes
3. Greg Cortopassi / Rita Buckley

FBW [UNKNOWN_p050.jpg]: Open Dbls Net
1. Mag Hughes / Billy Hayne
2. Kenny Shults / Walt Mason
3. Fred Kipley / Gary Preston

FBW [UNKNOWN_p050.jpg]: Open Golf
1. Mike Harding
2. Kenny Shults
3. Greg Cortopassi

FBW [UNKNOWN_p050.jpg]: Open Sgls Consecutive
1. Kenny Shults
2. Andy Linder
3. Gary Laut

FBW [UNKNOWN_p050.jpg]: Open Sgls Freestyle
1. Gary Laut

FBW [UNKNOWN_p050.jpg]: Open Sgls Net
1. Kenny Shults
2. Billy Hayne
3. Bruce Guettich

FBW [UNKNOWN_p050.jpg]: Open Team Freestyle
1. Bruce Guettich / Greg Cortopassi

FBW [UNKNOWN_p050.jpg]: Women's Dbls Net
1. Carolyn Ramondie / Lori Jean Tarr
2. Rita Buckley / Alex Frazier
3. Karen Uppinghouse / Cheryl Hughes

FBW [UNKNOWN_p050.jpg]: Women's Sgls Net
1. Cheryl Hughes
2. Carolyn Ramondie
3. Karen Gunther

OLD_RESULTS [OLD_RESULTS.txt]: (unspecified)
1. Greg Cortopassi / Bruce Guettich
2. Gary Lautt
3. Jack Schoolcraft / Reed Gray

OLD_RESULTS [OLD_RESULTS.txt]: Doubles Net
1. Mag Hughes / Bill Hayne
2. Ken Shults / Walt Mason
3. Fred Kippley / Gary Preston

OLD_RESULTS [OLD_RESULTS.txt]: Freestyle
1. Greg Cortopassi / Bruce Guettich
2. Gary Lautt
3. Jack Schoolcraft / Reed Gray

OLD_RESULTS [OLD_RESULTS.txt]: Golf
1. Mike Harding
2. Ken Shults
3. Greg Cortopassi

OLD_RESULTS [OLD_RESULTS.txt]: Intermediate Doubles Net
1. Steve Femmel / Ted Johnson

OLD_RESULTS [OLD_RESULTS.txt]: Intermediate Freestyle
1. Bill Langbehn

OLD_RESULTS [OLD_RESULTS.txt]: Intermediate Singles Net
1. Steve Femmel

OLD_RESULTS [OLD_RESULTS.txt]: Mixed Doubles Net
1. Alex Frazier / Mag Hughes
2. Cheryl Hughes / Bill Hayne
3. Rita Buckley / Greg Cortopassi

OLD_RESULTS [OLD_RESULTS.txt]: Singles Consecutive Kicks
1. Ken Shults
2. Andy Linder
3. Gary Lautt

OLD_RESULTS [OLD_RESULTS.txt]: Singles Net
1. Ken Shults
2. Bill Hayne
3. Bruce Guettich

OLD_RESULTS [OLD_RESULTS.txt]: Women's Doubles Net
1. Lori Jean Conover / Carolyn Ramondie
2. Rita Buckley / Alex Frazier
3. Cheryl Hughes / Karen Uppinghouse

OLD_RESULTS [OLD_RESULTS.txt]: Women's Singles Net
1. Cheryl Hughes
2. Carolyn Ramondie
3. Karen Gunther","{""source_types"": ""FBW|OLD_RESULTS"", ""validation_status"": ""CONFIRMED_MULTI_SOURCE"", ""num_placements"": ""53""}",[]
e41e20722d,1982,1982 Western Regionals,1982,"Seattle, WA",,US_REGIONALS,"FBW [UNKNOWN_p022.jpg]: Open Doubles
1. John Stalberger / Mike Marshall","{""source_types"": ""FBW"", ""validation_status"": ""SINGLE_SOURCE"", ""num_placements"": ""1""}",[]
f771c4ef26,1982,1982 World Footbag Championships,1982,"Portland, Oregon",,WORLD_CHAMPIONSHIPS,"FBW [FBW_V02_N01_p017.jpg]: Open Singles
1. John Stalberger","{""source_types"": ""FBW"", ""validation_status"": ""SINGLE_SOURCE"", ""num_placements"": ""1""}",[]
