trick_name,sort_name,adds,rank,player,player_id,record_value,date_normalized,video,time_clip,record_id
2-Bag Juggle,Juggle (2-bag) (ss),,1,Taishi Ishida,b7d020fd-3376-5224-9aa6-d56ae56ad9cb,75,2021-05-25,https://youtu.be/XeJHACfaU2Q?t=103,1:43,passback_0001_2_bag_juggle
ATW,ATW (in),2,1,Krzysztof Sobotka,edad1160-ea50-5050-a4ea-930d31faace5,100,2011-07-06,https://youtu.be/zhrbljcVSvE?t=9,0:09,passback_0015_atw
Alpine Blurry Whirl,Stepping Whirl (op) (ducking),6,1,David Clavens,033a8589-0c98-5729-a8b4-068c4efcf025,4,2012-05-11,https://youtu.be/NWEsbDJw5Lc?t=136,2:16,passback_0002_alpine_blurry_whirl
Alpine Magellan,Pixie Legover (ss) (diving),4,1,Jakub Worek,0da84e00-c9f5-5d23-82b6-9ec1e759c74c,15,2018-05-15,https://www.youtube.com/watch?v=NzTDp2IvJYE,,passback_0003_alpine_magellan
Alpine PLO,Pixie Legover (op) (ducking),4,1,Krzysztof Sobotka,edad1160-ea50-5050-a4ea-930d31faace5,24,2011-07-06,https://youtu.be/JQMLJirIic0?t=11,0:11,passback_0007_alpine_plo
Alpine Paste,Pixie Pickup (op) (ducking),4,1,Derek Littlefield,720e2139-027a-5e14-ab81-e82e84c1c44b,6,2025-02-23,https://youtu.be/UcSxoF3Moag?t=74,1:14,passback_0004_alpine_paste
Alpine Paste,Pixie Pickup (op) (ducking),4,2,Derek Littlefield,720e2139-027a-5e14-ab81-e82e84c1c44b,4,2022-04-13,https://www.instagram.com/p/CcTRQ0xOmLL/?img_index=3,3,passback_0005_alpine_paste
Alpine Pigbeater,Pixie Eggbeager (ducking) (op),5,1,Jakub Worek,0da84e00-c9f5-5d23-82b6-9ec1e759c74c,3,2020-03-01,https://www.facebook.com/jakub.worek.5/videos/10213551042290800/,,passback_0006_alpine_pigbeater
Alpine Smog,Pixie DLO (op) (ducking),5,1,Jakub Worek,0da84e00-c9f5-5d23-82b6-9ec1e759c74c,3,2018-06-27,https://www.youtube.com/watch?v=wNuFpxbEUVA,,passback_0008_alpine_smog
Alpine Smudge,Pixie Illusion (ducking) (op),4,1,Derek Littlefield,720e2139-027a-5e14-ab81-e82e84c1c44b,2,2025-02-27,https://www.instagram.com/p/DGlbm3quyxE/?img_index=4,4,passback_0009_alpine_smudge
