record_id,discipline,record_type,category,subcategory,trick_name,sort_name,record_value,unit,adds,player,player_id,date_normalized,approx_date,event_id,video,time_clip,source,source_url,verification_status,confidence,notes
passback_0001_2_bag_juggle,freestyle,trick_specific,consecutive_completions,juggling,2-Bag Juggle,Juggle (2-bag) (ss),75,count,,Taishi Ishida,b7d020fd-3376-5224-9aa6-d56ae56ad9cb,2021-05-25,,,https://youtu.be/XeJHACfaU2Q?t=103,1:43,passback,https://www.passbackfootbag.com/records,video_linked,medium,
passback_0002_alpine_blurry_whirl,freestyle,trick_specific,consecutive_completions,trick_specific,Alpine Blurry Whirl,Stepping Whirl (op) (ducking),4,count,6,David Clavens,033a8589-0c98-5729-a8b4-068c4efcf025,2012-05-11,,,https://youtu.be/NWEsbDJw5Lc?t=136,2:16,passback,https://www.passbackfootbag.com/records,video_linked,medium,
passback_0003_alpine_magellan,freestyle,trick_specific,consecutive_completions,trick_specific,Alpine Magellan,Pixie Legover (ss) (diving),15,count,4,Jakub Worek,0da84e00-c9f5-5d23-82b6-9ec1e759c74c,2018-05-15,,,https://www.youtube.com/watch?v=NzTDp2IvJYE,,passback,https://www.passbackfootbag.com/records,video_linked,medium,
passback_0004_alpine_paste,freestyle,trick_specific,consecutive_completions,trick_specific,Alpine Paste,Pixie Pickup (op) (ducking),6,count,4,Derek Littlefield,720e2139-027a-5e14-ab81-e82e84c1c44b,2025-02-23,,,https://youtu.be/UcSxoF3Moag?t=74,1:14,passback,https://www.passbackfootbag.com/records,video_linked,medium,
passback_0005_alpine_paste,freestyle,trick_specific,consecutive_completions,trick_specific,Alpine Paste,Pixie Pickup (op) (ducking),4,count,4,Derek Littlefield,720e2139-027a-5e14-ab81-e82e84c1c44b,2022-04-13,,,https://www.instagram.com/p/CcTRQ0xOmLL/?img_index=3,3,passback,https://www.passbackfootbag.com/records,video_linked,medium,
passback_0006_alpine_pigbeater,freestyle,trick_specific,consecutive_completions,trick_specific,Alpine Pigbeater,Pixie Eggbeager (ducking) (op),3,count,5,Jakub Worek,0da84e00-c9f5-5d23-82b6-9ec1e759c74c,2020-03-01,,,https://www.facebook.com/jakub.worek.5/videos/10213551042290800/,,passback,https://www.passbackfootbag.com/records,video_linked,medium,
passback_0007_alpine_plo,freestyle,trick_specific,consecutive_completions,trick_specific,Alpine PLO,Pixie Legover (op) (ducking),24,count,4,Krzysztof Sobotka,edad1160-ea50-5050-a4ea-930d31faace5,2011-07-06,,,https://youtu.be/JQMLJirIic0?t=11,0:11,passback,https://www.passbackfootbag.com/records,video_linked,medium,
passback_0008_alpine_smog,freestyle,trick_specific,consecutive_completions,trick_specific,Alpine Smog,Pixie DLO (op) (ducking),3,count,5,Jakub Worek,0da84e00-c9f5-5d23-82b6-9ec1e759c74c,2018-06-27,,,https://www.youtube.com/watch?v=wNuFpxbEUVA,,passback,https://www.passbackfootbag.com/records,video_linked,medium,
passback_0009_alpine_smudge,freestyle,trick_specific,consecutive_completions,trick_specific,Alpine Smudge,Pixie Illusion (ducking) (op),2,count,4,Derek Littlefield,720e2139-027a-5e14-ab81-e82e84c1c44b,2025-02-27,,,https://www.instagram.com/p/DGlbm3quyxE/?img_index=4,4,passback,https://www.passbackfootbag.com/records,video_linked,medium,
passback_0010_assassin,freestyle,trick_specific,consecutive_completions,trick_specific,Assassin,Pixie Mirage (op) (ducking),14,count,4,Tuukka Antikainen,dfd9c592-0f50-582b-8e8c-fcb60d9c2bb8,2011-12-01,,,https://youtu.be/PHA9IqbW6JA?t=260,4:20,passback,https://www.passbackfootbag.com/records,video_linked,medium,
