record_id,discipline,record_type,category,subcategory,trick_name,sort_name,record_value,unit,adds,player,player_id,date_normalized,approx_date,event_id,video,time_clip,source,source_url,verification_status,confidence,notes,review_reason
passback_0001_2_bag_juggle,freestyle,trick_specific,consecutive_completions,juggling,2-Bag Juggle,Juggle (2-bag) (ss),75,count,,Taishi Ishida,b7d020fd-3376-5224-9aa6-d56ae56ad9cb,2021-05-25,,,https://youtu.be/XeJHACfaU2Q?t=103,1:43,passback,https://www.passbackfootbag.com/records,video_linked,medium,,subcategory_juggling
passback_0005_alpine_paste,freestyle,trick_specific,consecutive_completions,trick_specific,Alpine Paste,Pixie Pickup (op) (ducking),4,count,4,Derek Littlefield,720e2139-027a-5e14-ab81-e82e84c1c44b,2022-04-13,,,https://www.instagram.com/p/CcTRQ0xOmLL/?img_index=3,3,passback,https://www.passbackfootbag.com/records,video_linked,medium,,ambiguous_time_clip
passback_0009_alpine_smudge,freestyle,trick_specific,consecutive_completions,trick_specific,Alpine Smudge,Pixie Illusion (ducking) (op),2,count,4,Derek Littlefield,720e2139-027a-5e14-ab81-e82e84c1c44b,2025-02-27,,,https://www.instagram.com/p/DGlbm3quyxE/?img_index=4,4,passback,https://www.passbackfootbag.com/records,video_linked,medium,,ambiguous_time_clip
passback_0011_assassin_ss,freestyle,trick_specific,consecutive_completions,trick_specific,Assassin (ss),Pixie Mirage (ss) (diving),5,count,4,Derek Littlefield,720e2139-027a-5e14-ab81-e82e84c1c44b,2021-10-31,,,https://www.instagram.com/p/CVsfQXRrpOm/?img_index=8,8,passback,https://www.passbackfootbag.com/records,video_linked,medium,,ambiguous_time_clip
passback_0013_atomic_pickup,freestyle,trick_specific,consecutive_completions,trick_specific,Atomic Pickup,Atomic Pickup (op),4,count,3,Derek Littlefield,720e2139-027a-5e14-ab81-e82e84c1c44b,,,,https://www.instagram.com/p/DGlbm3quyxE/?img_index=4,5,passback,https://www.passbackfootbag.com/records,video_linked,medium,,ambiguous_time_clip | improbable_or_unparseable_date
passback_0017_barrage,freestyle,trick_specific,consecutive_completions,trick_specific,Barrage,Barrage (op),20,count,3,Norek,,2010-03-17,,,https://www.youtube.com/watch?v=1sZy4gc5rr0,,passback,https://www.passbackfootbag.com/records,video_linked,medium,,unmatched_player_id
passback_0020_blender,freestyle,trick_specific,consecutive_completions,trick_specific,Blender,Blender (ss),13,count,4,Kenzo Ogawa,,2008-01-21,,,https://youtu.be/HDyc0jHz5OY?t=66,1:06,passback,https://www.passbackfootbag.com/records,video_linked,medium,,unmatched_player_id
passback_0024_blurry_whirl,freestyle,trick_specific,consecutive_completions,trick_specific,Blurry Whirl,Stepping Whirl (op),35,count,5,Norek,,2009-11-02,,,https://www.youtube.com/watch?v=Zmv5ydko6gk,,passback,https://www.passbackfootbag.com/records,video_linked,medium,,unmatched_player_id
passback_0026_bs_paste,freestyle,trick_specific,consecutive_completions,trick_specific,BS Paste,Pixie Pickup (op) (symp),6,count,3,SkyLon Smith,,2014-08-28,,,https://www.youtube.com/watch?v=Ij-LgWB1PH8,,passback,https://www.passbackfootbag.com/records,video_linked,medium,,unmatched_player_id
passback_0032_datw,freestyle,trick_specific,consecutive_completions,trick_specific,DATW,ATW (in) (double),29,count,3,Norek,,2010-03-17,,,https://www.youtube.com/watch?v=CfyBwCc1ifA,,passback,https://www.passbackfootbag.com/records,video_linked,medium,,unmatched_player_id
