trick_name,sort_name,adds,top_record_id,top_record_value,top_holder,record_count,holders_count,first_date,latest_date,holders
2-Bag Juggle,Juggle (2-bag) (ss),,passback_0001_2_bag_juggle,75,Taishi Ishida,1,1,2021-05-25,2021-05-25,Taishi Ishida
ATW,ATW (in),2,passback_0015_atw,100,Krzysztof Sobotka,1,1,2011-07-06,2011-07-06,Krzysztof Sobotka
Alpine Blurry Whirl,Stepping Whirl (op) (ducking),6,passback_0002_alpine_blurry_whirl,4,David Clavens,1,1,2012-05-11,2012-05-11,David Clavens
Alpine Magellan,Pixie Legover (ss) (diving),4,passback_0003_alpine_magellan,15,Jakub Worek,1,1,2018-05-15,2018-05-15,Jakub Worek
Alpine PLO,Pixie Legover (op) (ducking),4,passback_0007_alpine_plo,24,Krzysztof Sobotka,1,1,2011-07-06,2011-07-06,Krzysztof Sobotka
Alpine Paste,Pixie Pickup (op) (ducking),4,passback_0004_alpine_paste,6,Derek Littlefield,2,1,2022-04-13,2025-02-23,Derek Littlefield
Alpine Pigbeater,Pixie Eggbeager (ducking) (op),5,passback_0006_alpine_pigbeater,3,Jakub Worek,1,1,2020-03-01,2020-03-01,Jakub Worek
Alpine Smog,Pixie DLO (op) (ducking),5,passback_0008_alpine_smog,3,Jakub Worek,1,1,2018-06-27,2018-06-27,Jakub Worek
Alpine Smudge,Pixie Illusion (ducking) (op),4,passback_0009_alpine_smudge,2,Derek Littlefield,1,1,2025-02-27,2025-02-27,Derek Littlefield
Assassin,Pixie Mirage (op) (ducking),4,passback_0010_assassin,14,Tuukka Antikainen,1,1,2011-12-01,2011-12-01,Tuukka Antikainen
Assassin (ss),Pixie Mirage (ss) (diving),4,passback_0011_assassin_ss,5,Derek Littlefield,1,1,2021-10-31,2021-10-31,Derek Littlefield
Atomic Legover,Atomic Legover (op),3,passback_0012_atomic_legover,18,Jay Boychuk,1,1,2012-04-14,2012-04-14,Jay Boychuk
Atomic Pickup,Atomic Pickup (op),3,passback_0013_atomic_pickup,4,Derek Littlefield,1,1,,,Derek Littlefield
Atomsmasher,Atomic Mirage (op),4,passback_0014_atomsmasher,28,Mathias Blau,1,1,2012-10-13,2012-10-13,Mathias Blau
BS Magellan,Pixie Legover (ss) (symp),3,passback_0025_bs_magellan,15,Jim Penske,1,1,2019-02-04,2019-02-04,Jim Penske
BS Paste,Pixie Pickup (op) (symp),3,passback_0026_bs_paste,6,SkyLon Smith,1,1,2014-08-28,2014-08-28,SkyLon Smith
Barfly,Double down (op),4,passback_0016_barfly,53,Anssi Sundberg,1,1,2013-07-09,2013-07-09,Anssi Sundberg
Barrage,Barrage (op),3,passback_0017_barrage,20,Norek,1,1,2010-03-17,2010-03-17,Norek
Bladerunner,Atomic Eggbeater (op),5,passback_0018_bladerunner,4,Jindra Smola,1,1,2016-02-28,2016-02-28,Jindra Smola
Blazing Butterfly,Whirling Butterfly (ss),4,passback_0019_blazing_butterfly,18,Jim Penske,1,1,2008-01-14,2008-01-14,Jim Penske
Blender,Blender (ss),4,passback_0020_blender,13,Kenzo Ogawa,1,1,2008-01-21,2008-01-21,Kenzo Ogawa
Blink,Swirling Toe (op) (rev),2,passback_0021_blink,10,Nick Polini,1,1,2015-05-09,2015-05-09,Nick Polini
Blurriest,Stepping Double Down (op),5,passback_0022_blurriest,16,David Clavens,1,1,2009-12-20,2009-12-20,David Clavens
Blurry Drifter,Stepping Drifter (op),5,passback_0023_blurry_drifter,16,Nathan Pipenberg,1,1,2014-01-26,2014-01-26,Nathan Pipenberg
Blurry Whirl,Stepping Whirl (op),5,passback_0024_blurry_whirl,35,Norek,1,1,2009-11-02,2009-11-02,Norek
