slide_num,source_file,issue,page_label,year_guess,source_type,has_results,has_worlds_data,notes
1,Footbag World Vol. 10 No. 1.jpeg,Vol. 10 No. 1,p1,1991,FBW_IMAGE,,,
2,Footbag World Vol. 10 No. 2 page 1a.jpeg,Vol. 10 No. 2,p1a,1991,FBW_IMAGE,,,
3,Footbag World Vol. 10 No. 2 page 1b.jpeg,Vol. 10 No. 2,p1b,1991,FBW_IMAGE,,,
4,Footbag World Vol. 10 No. 2 page 2.jpeg,Vol. 10 No. 2,p2,1991,FBW_IMAGE,,,
5,Footbag World Vol. 10 No. 2 page 3.jpeg,Vol. 10 No. 2,p3,1991,FBW_IMAGE,,,
6,Footbag World Vol. 11 No. 1.jpeg,Vol. 11 No. 1,p1,1992,FBW_IMAGE,,,
7,Footbag World Vol. 11 No. 2 page 1.jpeg,Vol. 11 No. 2,p1,1992,FBW_IMAGE,,,
8,Footbag World Vol. 11 No. 2 page 2.jpeg,Vol. 11 No. 2,p2,1992,FBW_IMAGE,,,
9,Footbag World Vol. 12 No. 2 page 1.jpeg,Vol. 12 No. 2,p1,1993,FBW_IMAGE,,,
10,Footbag World Vol. 12 No. 2 page 2.jpeg,Vol. 12 No. 2,p2,1993,FBW_IMAGE,,,
11,Footbag World Vol. 13 No. 1.jpeg,Vol. 13 No. 1,p1,1994,FBW_IMAGE,,,
12,Footbag World Vol. 13 No. 2 page 1.jpeg,Vol. 13 No. 2,p1,1994,FBW_IMAGE,,,
13,Footbag World Vol. 13 No. 2 page 2.jpeg,Vol. 13 No. 2,p2,1994,FBW_IMAGE,,,
14,Footbag World Vol. 14 No. 1.jpeg,Vol. 14 No. 1,p1,1995,FBW_IMAGE,,,
15,Footbag World Vol. 14 No. 2 page 1.jpeg,Vol. 14 No. 2,p1,1995,FBW_IMAGE,,,
16,Footbag World Vol. 14 No. 2 page 2.jpeg,Vol. 14 No. 2,p2,1995,FBW_IMAGE,,,
17,Footbag World Vol. 2 No. 1.jpeg,Vol. 2 No. 1,p1,1980,FBW_IMAGE,,,
18,Footbag World Vol. 2 No. 3.jpeg,Vol. 2 No. 3,p1,1980–1981,FBW_IMAGE,,,
19,Footbag World Vol. 3 No. 1.jpeg,Vol. 3 No. 1,p1,1981,FBW_IMAGE,,,
