filename,path,format,width_px,height_px,orientation,likely_multicolumn,file_size_kb,notes
FBW_V02_N01_p001.png,early_data/preprocessed_pages/FBW_V02_N01_p001.png,PNG,640,480,landscape,maybe,571.1,
FBW_V02_N03_p001.png,early_data/preprocessed_pages/FBW_V02_N03_p001.png,PNG,640,480,landscape,maybe,392.0,
FBW_V03_N01_p001.png,early_data/preprocessed_pages/FBW_V03_N01_p001.png,PNG,640,480,landscape,maybe,445.6,
FBW_V03_N02_p001.png,early_data/preprocessed_pages/FBW_V03_N02_p001.png,PNG,640,480,landscape,maybe,461.4,
FBW_V03_N02_p002.png,early_data/preprocessed_pages/FBW_V03_N02_p002.png,PNG,640,480,landscape,maybe,542.8,
FBW_V03_N03_p001.png,early_data/preprocessed_pages/FBW_V03_N03_p001.png,PNG,640,480,landscape,maybe,463.1,
FBW_V04_N01_p001.png,early_data/preprocessed_pages/FBW_V04_N01_p001.png,PNG,640,480,landscape,maybe,437.2,
FBW_V04_N02_p001.png,early_data/preprocessed_pages/FBW_V04_N02_p001.png,PNG,640,480,landscape,maybe,523.2,
FBW_V04_N02_p002.png,early_data/preprocessed_pages/FBW_V04_N02_p002.png,PNG,640,480,landscape,maybe,526.8,
FBW_V04_N03_p001.png,early_data/preprocessed_pages/FBW_V04_N03_p001.png,PNG,640,480,landscape,maybe,476.8,
FBW_V05_N01_p001.png,early_data/preprocessed_pages/FBW_V05_N01_p001.png,PNG,640,480,landscape,maybe,462.6,
FBW_V05_N02_p001.png,early_data/preprocessed_pages/FBW_V05_N02_p001.png,PNG,640,480,landscape,maybe,495.8,
FBW_V05_N02_p002.png,early_data/preprocessed_pages/FBW_V05_N02_p002.png,PNG,640,480,landscape,maybe,393.5,
FBW_V05_N02_p003.png,early_data/preprocessed_pages/FBW_V05_N02_p003.png,PNG,640,480,landscape,maybe,496.8,
FBW_V06_N01_p001.png,early_data/preprocessed_pages/FBW_V06_N01_p001.png,PNG,640,480,landscape,maybe,421.5,
FBW_V06_N01_p002.png,early_data/preprocessed_pages/FBW_V06_N01_p002.png,PNG,640,480,landscape,maybe,425.0,
FBW_V06_N02_p001.png,early_data/preprocessed_pages/FBW_V06_N02_p001.png,PNG,640,480,landscape,maybe,476.5,
FBW_V06_N02_p002.png,early_data/preprocessed_pages/FBW_V06_N02_p002.png,PNG,640,480,landscape,maybe,482.9,
FBW_V06_N03_p001.png,early_data/preprocessed_pages/FBW_V06_N03_p001.png,PNG,640,480,landscape,maybe,444.7,
FBW_V07_N01_p001.png,early_data/preprocessed_pages/FBW_V07_N01_p001.png,PNG,640,480,landscape,maybe,472.6,
FBW_V07_N01_p002.png,early_data/preprocessed_pages/FBW_V07_N01_p002.png,PNG,640,480,landscape,maybe,494.5,
FBW_V07_N02_p001.png,early_data/preprocessed_pages/FBW_V07_N02_p001.png,PNG,640,480,landscape,maybe,451.1,
FBW_V07_N03_p001.png,early_data/preprocessed_pages/FBW_V07_N03_p001.png,PNG,640,480,landscape,maybe,466.3,
FBW_V07_N03_p002.png,early_data/preprocessed_pages/FBW_V07_N03_p002.png,PNG,640,480,landscape,maybe,485.1,
FBW_V07_N03_p003.png,early_data/preprocessed_pages/FBW_V07_N03_p003.png,PNG,640,480,landscape,maybe,481.3,
FBW_V08_N01_p001.png,early_data/preprocessed_pages/FBW_V08_N01_p001.png,PNG,640,480,landscape,maybe,447.1,
FBW_V08_N02_p001.png,early_data/preprocessed_pages/FBW_V08_N02_p001.png,PNG,640,480,landscape,maybe,485.8,
FBW_V08_N02_p003.png,early_data/preprocessed_pages/FBW_V08_N02_p003.png,PNG,640,480,landscape,maybe,491.3,
FBW_V08_N02_p004.png,early_data/preprocessed_pages/FBW_V08_N02_p004.png,PNG,640,480,landscape,maybe,545.2,
FBW_V09_N01_p001.png,early_data/preprocessed_pages/FBW_V09_N01_p001.png,PNG,640,480,landscape,maybe,474.1,
FBW_V09_N02_p001.png,early_data/preprocessed_pages/FBW_V09_N02_p001.png,PNG,640,480,landscape,maybe,507.4,
FBW_V09_N02_p002.png,early_data/preprocessed_pages/FBW_V09_N02_p002.png,PNG,640,480,landscape,maybe,540.4,
FBW_V09_N02_p003.png,early_data/preprocessed_pages/FBW_V09_N02_p003.png,PNG,640,480,landscape,maybe,492.4,
FBW_V10_N01_p001.png,early_data/preprocessed_pages/FBW_V10_N01_p001.png,PNG,640,480,landscape,maybe,489.2,
FBW_V10_N02_p001a.png,early_data/preprocessed_pages/FBW_V10_N02_p001a.png,PNG,640,480,landscape,maybe,438.2,
FBW_V10_N02_p001b.png,early_data/preprocessed_pages/FBW_V10_N02_p001b.png,PNG,640,480,landscape,maybe,438.2,
FBW_V10_N02_p002.png,early_data/preprocessed_pages/FBW_V10_N02_p002.png,PNG,640,480,landscape,maybe,481.7,
FBW_V10_N02_p003.png,early_data/preprocessed_pages/FBW_V10_N02_p003.png,PNG,640,480,landscape,maybe,450.5,
FBW_V11_N01_p001.png,early_data/preprocessed_pages/FBW_V11_N01_p001.png,PNG,640,480,landscape,maybe,440.8,
FBW_V11_N02_p001.png,early_data/preprocessed_pages/FBW_V11_N02_p001.png,PNG,640,480,landscape,maybe,403.9,
FBW_V11_N02_p002.png,early_data/preprocessed_pages/FBW_V11_N02_p002.png,PNG,640,480,landscape,maybe,440.5,
