canonical_event_id,year,normalized_event_type,event_name,location,validation_status,num_sources,source_types,sources,num_disciplines,num_placements,other_events_same_year,review_question,DECISION,DECISION_NOTES
bb975bff1d,1980,NHSA_NATIONALS,1980 NHSA,,SINGLE_SOURCE,1,OLD_RESULTS,OLD_RESULTS:1980 NHSA,4,12,OTHER (069f7909); US_NATIONALS (8396ba09); WORLD_CHAMPIONSHIPS (5c386b7d),Same year has other events (NHSA_NATIONALS this group). Could any be the same event?,,
069f7909e7,1980,OTHER,1980 Mike Marshall Memorial,,SINGLE_SOURCE,1,FBW,FBW:1980 Mike Marshall Memorial,6,12,NHSA_NATIONALS (bb975bff); US_NATIONALS (8396ba09); WORLD_CHAMPIONSHIPS (5c386b7d),Same year has other events (OTHER this group). Could any be the same event?,,
8396ba09ac,1980,US_NATIONALS,1980 National Footbag Championships,"Clackamas, Oregon",SINGLE_SOURCE,1,FBW,FBW:1980 National Footbag Championships,1,2,OTHER (069f7909); NHSA_NATIONALS (bb975bff); WORLD_CHAMPIONSHIPS (5c386b7d),Same year has other events (US_NATIONALS this group). Could any be the same event?,,
5c386b7dea,1980,WORLD_CHAMPIONSHIPS,1980 World Footbag Championships,"Portland, Oregon",SINGLE_SOURCE,1,IFAB,IFAB:1980 World Footbag Championships,1,1,OTHER (069f7909); NHSA_NATIONALS (bb975bff); US_NATIONALS (8396ba09),Same year has other events (WORLD_CHAMPIONSHIPS this group). Could any be the same event?,,
b9540daaab,1981,NHSA_NATIONALS,1981 NHSA,,SINGLE_SOURCE,1,OLD_RESULTS,OLD_RESULTS:1981 NHSA,9,23,OTHER (bc887962); WORLD_CHAMPIONSHIPS (af9e865e),Same year has other events (NHSA_NATIONALS this group). Could any be the same event?,,
bc88796233,1981,OTHER,1981 Mike Marshall Memorial,,SINGLE_SOURCE,1,FBW,FBW:1981 Mike Marshall Memorial,7,19,NHSA_NATIONALS (b9540daa); WORLD_CHAMPIONSHIPS (af9e865e),Same year has other events (OTHER this group). Could any be the same event?,,
af9e865ed5,1981,WORLD_CHAMPIONSHIPS,1981 World Footbag Championships,"Portland, Oregon",SINGLE_SOURCE,1,FBW,FBW:1981 World Footbag Championships,1,2,OTHER (bc887962); NHSA_NATIONALS (b9540daa),Same year has other events (WORLD_CHAMPIONSHIPS this group). Could any be the same event?,,
1e36e7ca92,1982,NHSA_NATIONALS,1982 NHSA,,CONFIRMED_MULTI_SOURCE,2,FBW|OLD_RESULTS,FBW:1982 NHSA National Championships; OLD_RESULTS:1982 NHSA,21,77,US_REGIONALS (e41e2072); WORLD_CHAMPIONSHIPS (f771c4ef),Verify: are both sources describing the same real-world event?,,
e41e20722d,1982,US_REGIONALS,1982 Western Regionals,"Seattle, WA",SINGLE_SOURCE,1,FBW,FBW:1982 Western Regionals,1,2,NHSA_NATIONALS (1e36e7ca); WORLD_CHAMPIONSHIPS (f771c4ef),Same year has other events (US_REGIONALS this group). Could any be the same event?,,
f771c4ef26,1982,WORLD_CHAMPIONSHIPS,1982 World Footbag Championships,"Portland, Oregon",SINGLE_SOURCE,1,FBW,FBW:1982 World Footbag Championships,1,1,NHSA_NATIONALS (1e36e7ca); US_REGIONALS (e41e2072),Same year has other events (WORLD_CHAMPIONSHIPS this group). Could any be the same event?,,
