Most Used Freestyle Tricks,,,,,
#,Trick,ADD,Mentions,Players,Events
1,whirl,3,150,86,54
2,pixie,modifier,121,75,55
3,swirl,3,96,44,49
4,blurry whirl,5,89,53,47
5,torque,4,78,49,44
6,ducking,modifier,59,43,32
7,ripwalk,4,58,45,37
8,butterfly,3,56,48,33
9,spinning,modifier,55,31,38
10,legover,2,51,31,24
11,mirage,2,48,39,29
12,dimwalk,4,45,38,27
13,symposium,modifier,38,27,24
14,blender,4,36,22,27
15,eggbeater,3,33,23,26
16,atomic,modifier,33,24,27
17,ducking butterfly,4,33,26,20
18,food processor,6,30,19,21
19,blur,4,28,26,24
20,drifter,3,28,16,22
21,stepping,modifier,28,24,21
22,paradox,modifier,24,16,16
23,blurriest,5,23,21,19
24,clipper,2,22,17,15
25,osis,3,21,19,19
,,,,,
Most Influential Connector Tricks,,,,,
#,Trick,ADD,Connections,Players,Events
1,whirl,3,99,86,54
2,blurry whirl,5,70,53,47
3,ripwalk,4,61,45,37
4,butterfly,3,44,48,33
5,torque,4,39,49,44
6,dimwalk,4,38,38,27
7,swirl,3,34,44,49
8,mirage,2,30,39,29
9,ducking butterfly,4,29,26,20
10,legover,2,27,31,24
11,blur,4,23,26,24
12,eggbeater,3,19,23,26
13,food processor,6,19,19,21
14,drifter,3,19,16,22
15,fusion,5,19,11,16
,,,,,
"From a network perspective, freestyle sequences exhibit a clear directional structure. Blurry whirl functions as the primary launch node, initiating high-difficulty sequences, while whirl serves as the dominant attractor, acting as the most common resolution point. This creates a highly asymmetric flow pattern in which sequences tend to begin with high-complexity rotational entries and resolve into more stable, clipper-based terminations.",,,,,
"The most common two-trick structure — blurry whirl ? whirl — represents an optimal difficulty architecture, combining a high-ADD entry (5 ADD) with a stable resolution (3 ADD), balancing risk and control.",,,,,
,,,,,
Most Common Trick Transitions,,,,,
#,Transition,Count,Players,,
1,blurry whirl ? whirl,17,15,,
2,ripwalk ? whirl,11,10,,
3,whirl ? whirl,10,9,,
4,smear ? dimwalk,7,7,,
5,dimwalk ? ripwalk,6,6,,
6,blurry whirl ? ripwalk,6,5,,
7,dimwalk ? whirl,5,5,,
8,blurry whirl ? paradox torque,5,5,,
9,fusion ? eggbeater,5,4,,
10,torque ? whirl,4,3,,
11,eggbeater ? torque,4,4,,
12,ripwalk ? blur,4,4,,
13,swirl ? swirl,4,1,,
14,ducking butterfly ? torque,4,4,,
15,ripwalk ? mirage,4,3,,
16,whirl ? superfly,3,3,,
17,butterfly ? ripwalk,3,3,,
18,blurry whirl ? blurry whirl,3,3,,
19,butterfly ? blurry whirl,3,2,,
20,ducking butterfly ? whirl,3,3,,
,,,,,
Hardest Documented Sequences,,,,,
#,Player,Year,ADD,Length,Sequence
1,Greg Solis,2008,22,7,butterfly > whirl > osis > dimwalk > osis > butterfly > swirl
2,Stefan Siegert,2005,18,5,blurry whirl > ripwalk > whirl > pixie > paradox whirl
3,Cody Rushing,2008,18,5,blur > dimwalk > swirl > smear > dimwalk
4,DANIEL CADAVID,2021,18,5,dimwalk > osis > dimwalk > spinning osis > whirl
5,Kyle Hewitt,2007,16,4,ripwalk > blurry whirl > smear > dimwalk
6,Brad Nelson,2002,15,3,blurry whirl > paradox torque > paradox blender
7,Jake Wren,2007,15,3,blurriest > spinning whirl > blurry whirl
8,Byrin Wylie,2007,15,3,blurry whirl > blurry whirl > blurriest
9,Marcin Bujko,2010,15,3,spinning osis > food processor > mobius
10,Chris Dean,2013,15,3,ducking butterfly > food processor > mobius
,,,,,
Most Diverse Players,,,,,
#,Player,Unique Tricks,Years Active,,
1,Mariusz Wilk,30,2008–2019,,
2,Honza Weber,22,2004–2021,,
3,Julien Appolonio,20,2007–2007,,
4,Jan Honza Weber,20,2008–2008,,
5,Stefan Siegert,19,2005–2012,,
6,Jim Penske,18,2006–2015,,
7,Byrin Wylie,16,2005–2007,,
8,Matthias Lino Schmidt,16,2012–2013,,
9,Damian Gielnicki,14,2006–2022,,
10,Milan Benda,12,2007–2014,,
11,Nick Landes,11,2004–2009,,
12,Andreas Nawrath,11,2012–2018,,
13,Evan Gatesman,10,2006–2016,,
14,Filip Wojcik,10,2014–2022,,
15,Miquel Clemente,10,2008–2008,,
,,,,,
Evolution of Difficulty,,,,,
,Era,Chains,Avg ADD,,
,2001–2003,29,3.52,,
,2004–2006,93,3.46,,
,2007–2009,118,3.3,,
,2010–2015,53,3.26,,
,2016–2025,82,3.12,,
,,,,,
"This plateau suggests that freestyle did not continue to increase in raw technical difficulty after the mid-2000s. Instead, progress shifted toward consistency, execution quality, and the number of players capable of reaching the established ceiling, indicating a transition from technical expansion to competitive depth.",,,,,
"In this mature phase, innovation occurs primarily through recombination of existing components, rather than the introduction of fundamentally new trick structures.",,,,,
,,,,,
European Dominance,,,,,
"The concentration of both podium finishes and high-difficulty sequence data among European players indicates that the competitive center of freestyle shifted geographically during this period. While early innovation was driven largely by North American players, the post-2005 era is characterized by European dominance in both performance and participation density.",,,,,
,,,,,
ADD System,,,,,
