event_id,year,Tournament Name,Date,Location,Event Type,Host Club,placements_count,results_lines,event_source
857852604,1997,Southern California Footbag Championships,"April 5-6, 1997","Hermosa Beach, California, United States",freestyle,,6,11,
857874500,1997,University of Oregon Footbag Tournament,"April 19-20, 1997","Oregon Eugene, Oregon, United States",golf,,20,29,
857875120,1997,Western Regional Footbag Championships,"May 24-26, 1997","Palo Alto, California, United States",mixed,,42,80,
857875468,1997,U.S. OPEN FOOTBAG NET CHAMPIONSHIPS,"June 21-22, 1997","Tom McCall Waterfront Park Portland, Oregon, USA",net,,0,67,
857876215,1997,State Games of Oregon Footbag Tournament,"July 12-13, 1997","College Gresham, Oregon, United States",net,,26,41,
857876517,1997,The 18th Annual WORLD FOOTBAG CHAMPIONSHIPS,"August 11-17, 1997","Portland, Oregon, United States",worlds,,84,133,
857876870,1997,Eugene Celebration Footbag Tournament,"September 20-21, 1997","Park Eugene, Oregon, United States",net,,25,32,
857879540,1997,The 15th Annual EAST COAST FOOTBAG CHAMPIONSHIPS,"April 26-27, 1997","University of Maryland College Park, Maryland, USA",mixed,,36,57,
857880054,1997,Bedford (Australia) Indoor Footbag Championships,"June 8, 1997","Australia, Australia",net,,8,11,
857880964,1997,13th Annual MIDWEST REGIONAL FOOTBAG CHAMPIONSHIPS,"June 13-15, 1997","Mt. Prospect, Illinois, United States",mixed,,50,86,
857881519,1997,11th Annual Vancouver Open (and Worlds Warm-Up),"August 2-3, 1997","BC, Canada",net,,32,53,
857881898,1997,Funtastik Summer Classic,"August 30-September 1, 1997","Island Harrisburg, Pennsylvania, United States",mixed,,38,65,
859400929,1997,Montreal International Footbag Championships,"July 19-20, 1997","Quebec, Canada",mixed,,27,52,
859657310,1997,New York Footbag EXPLOSION,"June 28-29, 1997","New York, New York, United States",freestyle,,11,18,
859787898,1997,HEART OF FOOTBAG Freestyle Tournament,"February 15-16, 1997","Gym Portland, Oregon, United States",freestyle,,37,54,
859913311,1997,Air-A-Zona State Footbag Championships,"January 18-19, 1997","Park Scottsdale, Arizona, United States",net,,12,21,
859923755,1997,California State Footbag Championships,"July 5-6, 1997","Santa Rosa, California, United States",mixed,,22,54,
860356126,1997,14th Annual Emerald City Open Footbag Championships,"June 7-8, 1997","Island Seattle, Washington, United States",net,,50,83,
860944937,1997,1997 Mountain Dew's Kansas Footbag Open,"May 17-18, 1997","Watson Park Wichita, Kansas, USA",golf,,0,7,
865043841,1997,The Ultimate Chaos Outdoor Footbag Flying Disc Festival,"September 27-28, 1997","Playfields Carbondale, Illinois, United States",mixed,,19,34,
873922005,1997,FOOTBAG SM 97 / Finnish Footbag Championships '97,"November 29, 1997","Helsinki, Finland",mixed,,12,21,
876331623,1998,Southern California Footbag Championships,"April 4-5, 1998","Hermosa Beach, California, United States",mixed,,31,48,
876336655,1998,Air-A-Zona 2nd Annual Footbag Net Championships,"January 17-18, 1998","Park Scottsdale, Arizona, United States",net,,64,82,
876356874,1998,WESTERN REGIONAL FOOTBAG CHAMPIONSHIPS,"May 23-25, 1998","Palo Alto, California, United States",mixed,,147,197,
876590022,1997,1997 Seattle Fall Indoor Tournament,"November 8-9, 1997","Center Seattle, Washington, United States",golf,,16,25,
876591529,1998,1998 WORLD FOOTBAG CHAMPIONSHIPS,"July 13-19, 1998","Quebec, Canada",worlds,,33,93,
877061793,1998,U. S. Open Footbag Net Championships,"June 20-21, 1998","Park Portland, Oregon, United States",net,,44,64,
877848852,1997,Auburn U.F.O. Fall Festival,"November 8-9, 1997","Park Auburn, Alabama, United States",mixed,,20,40,
879319107,1998,1998 Southern Regional Footbag Championships,"April 25-26, 1998","Park Richardson, Texas, United States",mixed,,50,83,
881872990,1998,The 3rd Annual Chaos Indoor Footbag Festival,"February 7-8, 1998","SIUC Carbondale, Illinois, United States",mixed,,18,33,
883135865,1998,1998 Winter Windchill Warm-Up (l'Hivernal),"March 28-29, 1998","QC, Canada",net,,12,23,
884112176,1998,The 1st Annual Fighting Illini Footbag Festival,"April 17-19, 1998","Playfields Champaign, Illinois, United States",mixed,,12,25,
886044392,1998,12th Annual Vancouver Open Footbag Net Tournament,"August 22-23, 1998","B.C., Canada",net,,21,61,
888294869,1998,15th Annual Emerald City Open,"June 6-7, 1998","Mercer Island, Washington, United States",net,,42,73,
892446131,1998,Kansas Footbag Open,"May 16-17, 1998","Park Wichita, Kansas, United States",golf,,4,26,
899077904,1998,Northern Illinois Footbag Open,"August 8-9, 1998","Malta, Illinois, United States",mixed,,19,39,
899722892,1998,Finnish Footbag Open 1998,"September 26-27, 1998","Helsinki, Finland",mixed,,18,33,
901349509,1998,18th Annual Beaver Open,"September 5-7, 1998","Park Salem, Oregon, United States",net,,11,22,
901687367,1998,13th Annual Funtastik Summer Classic Footbag Tournament,"September 5-7, 1998","Island Harrisburg, Pennsylvania, United States",mixed,,36,66,
903468009,1999,Southern California Footbag Championships,"April 10-11, 1999","CA, 90254",mixed,,23,42,
903632480,1999,3rd Annual Air-A-Zona Footbag Net Championships,"January 16-17, 1999","Field Tempe, Arizona, United States",net,,37,55,
909186885,1999,1999 Southern Regional Footbag Championships,"April 24-25, 1999","Dallas, Texas, United States",golf,,37,48,
910551956,1999,1999 Western Regional Footbag Championships,"May 29-31, 1999","Palo Alto, California, United States",mixed,,105,141,
912467534,1999,12th Annual U.S. Open Footbag Net Championships,"August 13-15, 1999","Park Portland, Oregon, United States",net,,37,55,
