year,division_category,division_canon,place,competitor_type,person_canon,team_display_name,coverage_flag
2026,net,Open Singles Net,1,player,Egoitz Campo,,complete
2026,net,Open Singles Net,2,player,Daniel Barrientos,,complete
2026,net,Open Singles Net,3,player,Joseba Zubiaurre,,complete
2026,net,Open Singles Net,4,player,Ariana Mungia,,complete
2026,net,Open Singles Net,5,player,Arrate Elorrieta,,complete
2025,freestyle,Battles,1,player,Jakub Mosciszewski,,mostly_complete
2025,freestyle,Battles,2,player,Maciej Niczyporuk,,mostly_complete
2025,freestyle,Battles,3,player,Pawel Nowak,,mostly_complete
2025,freestyle,Battles,4,player,Mathieu Gauthier,,mostly_complete
2025,freestyle,Battles,5,player,Santeri Karvinen,,mostly_complete
2025,freestyle,Battles,5,player,Tuomas Riisalo,,mostly_complete
2025,freestyle,Battles,7,player,Guillermo Ramirez,,mostly_complete
2025,freestyle,Battles,7,player,Sergio Garcia,,mostly_complete
2025,freestyle,Battles,9,player,Philliph Valencia,,mostly_complete
2025,freestyle,Circle,1,player,Christopher Schillem,,complete
2025,freestyle,Circle,2,player,Pekka Raitio,,complete
2025,freestyle,Circle,3,player,Santeri Karvinen,,complete
2025,freestyle,Circle Contest,1,player,Maciej Niczyporuk,,mostly_complete
2025,freestyle,Circle Contest,2,player,Jakub Mosciszewski,,mostly_complete
2025,freestyle,Circle Contest,3,player,Pawel Nowak,,mostly_complete
2025,freestyle,Circle Contest,4,player,Mathieu Gauthier,,mostly_complete
2025,freestyle,Circle Contest,5,player,Nis Petersen,,mostly_complete
2025,freestyle,Circle Contest,5,player,Sergio Garcia,,mostly_complete
2025,freestyle,Circle Contest,7,player,Guillermo Ramirez,,mostly_complete
2025,freestyle,Circle Contest,7,player,Philliph Valencia,,mostly_complete
2025,freestyle,Circle Contest,7,player,Tuomas Riisalo,,mostly_complete
2025,freestyle,Freestyle Battle,1,player,Christopher Schillem,,complete
2025,freestyle,Freestyle Battle,2,player,Patrik Cerny,,complete
2025,freestyle,Freestyle Battle,3,player,Pawe Nowak,,complete
2025,freestyle,Freestyle Battle,4,player,Santeri Karvinen,,complete
2025,freestyle,Freestyle Battle,5,player,Marco Hartig,,complete
2025,freestyle,Freestyle Overall,1,player,Jakub Mosciszewski,,complete
2025,freestyle,Freestyle Overall,2,player,Maciej Niczyporuk,,complete
2025,freestyle,Freestyle Overall,3,player,Mathieu Gauthier,,complete
2025,freestyle,Intermediate Freestyle Battle,1,player,Tom Jenkins,,complete
2025,freestyle,Intermediate Freestyle Battle,2,player,Garrett Bischoff,,complete
2025,freestyle,Intermediate Freestyle Battles,1,player,Ryan Miller,,complete
2025,freestyle,Intermediate Freestyle Battles,2,player,Alan Eneev,,complete
2025,freestyle,Intermediate Freestyle Battles,3,player,Jordan Mahaffey,,complete
2025,freestyle,Intermediate Freestyle Battles,4,player,Loren Dobson,,complete
2025,freestyle,Intermediate Freestyle Routines,1,player,Ken Moller,,complete
2025,freestyle,Open Battle,1,player,Jakub Mosciszewski,,complete
2025,freestyle,Open Battle,2,player,Maciej Niczyporuk,,complete
2025,freestyle,Open Battle,3,player,Pawe Nowak,,complete
2025,freestyle,Open Battle,4,player,Damian Gielnicki,,complete
2025,freestyle,Open Battle,5,player,Arkadiusz Stanek,,complete
2025,freestyle,Open Battle,6,player,Rados Turek,,complete
2025,freestyle,Open Battle,7,player,Filip Wojcik,,complete
2025,freestyle,Open Battle,8,player,Rafal Kaleta,,complete
2025,freestyle,Open Battle,9,player,Jakub Worek,,complete
2025,freestyle,Open Battle,10,player,Przemyslaw Pietrzycki,,complete
2025,freestyle,Open Battle,11,player,Kuba Grabarczyk,,complete
2025,freestyle,Open Freestyle Battle,1,player,Josh Gayhart,,complete
2025,freestyle,Open Freestyle Battle,2,player,Dante Diotallevi,,complete
2025,freestyle,Open Freestyle Battle,3,player,Peter Bowler,,complete
2025,freestyle,Open Freestyle Battle,4,player,Dave Byers,,complete
2025,freestyle,Open Freestyle Battles,1,player,Dustin Rhodes,,complete
2025,freestyle,Open Freestyle Battles,2,player,Nick Landes,,complete
2025,freestyle,Open Freestyle Battles,3,player,Kevin Hogan,,complete
2025,freestyle,Open Freestyle Battles,4,player,Dante Diotavelli,,complete
2025,freestyle,Open Freestyle Battles,5,player,Brian Sherrill,,complete
2025,freestyle,Open Freestyle Battles,6,player,Derek Littlefield,,complete
2025,freestyle,Open Freestyle Battles,7,player,Chris Dean,,complete
2025,freestyle,Open Freestyle Battles,8,player,Happy Om,,complete
2025,freestyle,Open Freestyle Battles,9,player,Kyle Corff,,complete
2025,freestyle,Open Freestyle Routines,1,player,Brian Sherrill,,complete
2025,freestyle,Open Freestyle Routines,2,player,Dustin Rhodes,,complete
2025,freestyle,Open Freestyle Routines,3,player,Nick Landes,,complete
2025,freestyle,Open Freestyle Routines,4,player,Cass Taylor,,complete
2025,freestyle,Open Freestyle Routines,5,player,Kevin Hogan,,complete
2025,freestyle,Open Freestyle Routines,6,player,Jason Varvaro,,complete
2025,freestyle,Open Freestyle Routines,7,player,Kyle Corff,,complete
2025,freestyle,Open Freesytle Routines,1,player,Dante Diotallevi,,complete
2025,freestyle,Open Freesytle Routines,2,player,Jason Varvaro,,complete
2025,freestyle,Open Freesytle Routines,3,player,Drew Martin,,complete
2025,freestyle,Open Freesytle Routines,4,player,Ben Babyak,,complete
2025,freestyle,Open Request,1,player,Jakub Mosciszewski,,complete
2025,freestyle,Open Request,2,player,Arkadiusz Stanek,,complete
2025,freestyle,Open Request,3,player,Maciej Niczyporuk,,complete
2025,freestyle,Open Request,4,player,Rados Turek,,complete
2025,freestyle,Open Request,5,player,Damian Gielnicki,,complete
2025,freestyle,Open Request,6,player,Pawe Nowak,,complete
2025,freestyle,Open Request,7,player,Jakub Worek,,complete
2025,freestyle,Open Request,8,player,Bartosz Bubula,,complete
2025,freestyle,Open Request,9,player,Przemyslaw Pietrzycki,,complete
2025,freestyle,Open Request,10,player,Rafal Kaleta,,complete
2025,freestyle,Open Request,11,player,Maciej Pietrzycki,,complete
2025,freestyle,Open Request,12,player,Kacper Kudyniuk,,complete
2025,freestyle,Open Request,13,player,Kuba Grabarczyk,,complete
2025,freestyle,Open Request,14,player,Sylwia Bubula,,complete
2025,freestyle,Open Routines,1,player,Patrik Cerny,,complete
2025,freestyle,Open Routines,1,player,Jakub Mosciszewski,,complete
2025,freestyle,Open Routines,2,player,Andreas Nawrath,,complete
2025,freestyle,Open Routines,2,player,Damian Gielnicki,,complete
2025,freestyle,Open Routines,3,player,Pawe Nowak,,complete
2025,freestyle,Open Routines,3,player,Arkadiusz Stanek,,complete
2025,freestyle,Open Routines,4,player,Marco Hartig,,complete
2025,freestyle,Open Routines,4,player,Maciej Niczyporuk,,complete
2025,freestyle,Open Routines,5,player,Filip Wojcik,,complete
2025,freestyle,Open Sick 3,1,player,Maciej Niczyporuk,,complete
2025,freestyle,Open Sick 3,2,player,Jakub Mosciszewski,,complete
2025,freestyle,Open Sick 3,3,player,Rafal Kaleta,,complete
2025,freestyle,Open Sick 3,4,player,Damian Gielnicki,,complete
2025,freestyle,Open Sick 3,5,player,Pawe Nowak,,complete
2025,freestyle,Open Sick 3,6,player,Arkadiusz Stanek,,complete
2025,freestyle,Open Sick 3,7,player,Jakub Worek,,complete
2025,freestyle,Open Sick 3,8,player,Filip Wojcik,,complete
2025,freestyle,Open Sick 3,9,player,Rados Turek,,complete
2025,freestyle,Open Singles,1,player,Tuomas Karki,,complete
2025,freestyle,Open Singles,2,player,Pawel Rozek,,complete
2025,freestyle,Open Singles,3,player,Ivan Stanev,,complete
2025,freestyle,Open Singles,4,player,Wiktor Debski,,complete
2025,freestyle,Open Singles,5,player,Grischa Tellenbach,,complete
2025,freestyle,Open Singles,6,player,Sam Maleki,,complete
2025,freestyle,Open Singles,7,player,Lena Mlakar,,complete
2025,freestyle,Open Singles,8,player,Radoslav Rusev,,complete
2025,freestyle,Open Singles,9,player,Santeri Karvinen,,complete
2025,freestyle,Open Singles,10,player,Marcin Czech,,complete
2025,freestyle,Open Singles,11,player,Mon Thike,,complete
2025,freestyle,Open Singles,12,player,Pavel Hejra,,complete
2025,freestyle,Open Singles,13,player,Andreas Beimel,,complete
2025,freestyle,Open Singles,15,player,Mikko Lepisto,,complete
2025,freestyle,Open Singles,16,player,David Jezek,,complete
2025,freestyle,Open Singles Routines,1,player,Mathieu Gauthier,,complete
2025,freestyle,Open Singles Routines,2,player,Sebastian Ceballos,,complete
2025,freestyle,Open Singles Routines,3,player,Jakub Mosciszewski,,complete
2025,freestyle,Open Singles Routines,4,player,Maciej Niczyporuk,,complete
2025,freestyle,Open Singles Routines,5,player,Pawel Nowak,,complete
2025,freestyle,Open Singles Routines,6,player,Scott Davidson,,complete
2025,freestyle,Open Singles Routines,7,player,Drew Martin,,complete
2025,freestyle,Open Singles Routines,8,player,Nis Petersen,,complete
2025,freestyle,Open Singles Routines,9,player,Caroline Birch,,complete
2025,freestyle,Open Singles Routines,9,player,Philliph Valencia,,complete
2025,freestyle,Request,1,player,Pekka Raitio,,complete
2025,freestyle,Request,2,player,Santeri Karvinen,,complete
2025,freestyle,Request,3,player,Christopher Schillem,,complete
2025,freestyle,Request Contest,1,player,Christopher Schillem,,complete
2025,freestyle,Request Contest,1,player,Christopher Schillem,,complete
2025,freestyle,Request Contest,2,player,Santeri Karvinen,,complete
2025,freestyle,Request Contest,2,player,Dominik Šimků,,complete
2025,freestyle,Request Contest,3,player,Andreas Nawrath,,complete
2025,freestyle,Request Contest,3,player,Jakub Mosciszewski,,complete
2025,freestyle,Request Contest,4,player,Marco Hartig,,complete
2025,freestyle,Request Contest,4,player,Maciej Niczyporuk,,complete
2025,freestyle,Request Contest,5,player,Rafal Kaleta,,complete
2025,freestyle,Request Contest,5,player,Santeri Karvinen,,complete
2025,freestyle,Routines,1,player,Aleksi Airinen,,complete
2025,freestyle,Routines,2,player,Tuomas Riisalo,,complete
2025,freestyle,Routines,3,player,Mikko Lepisto,,complete
2025,freestyle,Shred 30,1,player,Jakub Mosciszewski,,complete
2025,freestyle,Shred 30,2,player,Santeri Karvinen,,complete
2025,freestyle,Shred 30,3,player,Maciej Niczyporuk,,complete
2025,freestyle,Shred 30,4,player,Mathieu Gauthier,,complete
2025,freestyle,Shred 30,5,player,Pawe Nowak,,complete
2025,freestyle,Shred 30,6,player,Tuomas Riisalo,,complete
2025,freestyle,Shred 30,7,player,Guillermo Ramirez,,complete
2025,freestyle,Shred 30,8,player,Sergio Garcia,,complete
2025,freestyle,Shred 30,9,player,Scott Davidson,,complete
2025,freestyle,Shred 30,10,player,Philliph Valencia,,complete
2025,freestyle,Sick 3,1,player,Cristopher Schillem,,complete
2025,freestyle,Sick 3,1,player,Jakub Mosciszewski,,complete
2025,freestyle,Sick 3,1,player,Pekka Raitio,,complete
2025,freestyle,Sick 3,2,player,Maciej Niczyporuk,,complete
2025,freestyle,Sick 3,2,player,Christopher Schillem,,complete
2025,freestyle,Sick 3,3,player,Pawe Nowak,,complete
2025,freestyle,Sick 3,3,player,Pawel Nowak,,complete
2025,freestyle,Sick 3,3,player,Santeri Karvinen,,complete
2025,freestyle,Sick 3,4,player,Sergio Garcia,,complete
2025,freestyle,Sick 3,5,player,Mathieu Gauthier,,complete
2025,freestyle,Women's Freestyle,1,player,Caroline Birch,,complete
2025,golf,Footbag Golf,1,player,Andi Wolff,,complete
2025,golf,Footbag Golf,2,player,Sebastian Ceballos,,complete
2025,golf,Footbag Golf,3,player,Marcin Czech,,complete
2025,golf,Footbag Golf,4,player,Maciej Niczyporuk,,complete
2025,golf,Footbag Golf,5,player,Germain Uzcategui,,complete
2025,golf,Footbag Golf,6,player,Angel Vivas,,complete
2025,golf,Footbag Golf,7,player,Gianni Almanza Amaya,,complete
2025,golf,Footbag Golf,8,player,Christopher Schillem,,complete
2025,golf,Footbag Golf,9,player,Mikko Lepisto,,complete
2025,golf,Footbag Golf,10,player,Mathieu Gauthier,,complete
2025,golf,Footbag Golf,11,player,Caroline Birch,,complete
2025,golf,Footbag Golf,12,player,Baptiste Martin,,complete
2025,golf,Footbag Golf,13,player,Julian Florez Cifuentes,,complete
2025,golf,Footbag Golf,14,player,Sergio Garcia,,complete
2025,golf,Footbag Golf,15,player,Audrey Tumelin,,complete
2025,golf,Footbag Golf,16,player,Tom Kotsakos,,complete
2025,golf,Golf,1,player,Stefan Stuff Nold,,complete
2025,golf,Golf,2,player,Alexander Bartsch,,complete
2025,golf,Golf,3,player,Andi Wolff,,complete
2025,golf,Open Golf,1,player,Damian Budzik,,complete
2025,golf,Open Golf,2,player,Filip Wojcik,,complete
2025,golf,Open Golf,3,player,Pawe Nowak,,complete
2025,net,Intermediate Singles,1,player,Will Mayfield,,complete
2025,net,Intermediate Singles,2,player,Simon Hankamer,,complete
2025,net,Intermediate Singles,3,player,Harper Cleaver,,complete
2025,net,Intermediate Singles,4,player,Arlo Perin,,complete
2025,net,Intermediate Singles Net,1,player,Juan Luca Abt,,complete
2025,net,Intermediate Singles Net,2,player,Elle Shults,,complete
2025,net,Intermediate Singles Net,3,player,Jesse Ross,,complete
2025,net,Intermediate Singles Net,4,player,Olli Kärki,,complete
2025,net,Intermediate Singles Net,5,player,Nassirou Ouro,,complete
2025,net,Intermediate Singles Net,6,player,Caroline Birch,,complete
2025,net,Intermediate Singles Net,7,player,Costa Depoilly,,complete
2025,net,Intermediate Singles Net,8,player,Victoria Grillo Garcia,,complete
2025,net,Last Man Standing,1,player,Jakub Mosciszewski,,complete
2025,net,Last Man Standing,2,player,Filip Wojcik,,complete
2025,net,Last Man Standing,3,player,Pawe Nowak,,complete
2025,net,Last Man Standing,4,player,Arkadiusz Stanek,,complete
2025,net,Last Man Standing,5,player,Damian Gielnicki,,complete
2025,net,Last Man Standing,6,player,Jakub Worek,,complete
2025,net,Last Man Standing,7,player,Maciej Niczyporuk,,complete
2025,net,Master Singles Net,1,player,Eurik Lindner,,complete
2025,net,Master Singles Net,2,player,Russell Arseneault,,complete
2025,net,Master Singles Net,3,player,Tanja Abt,,complete
2025,net,Master Singles Net,4,player,Nassirou Ouro,,complete
2025,net,Open Big One,1,player,Rafal Kaleta,,complete
2025,net,Open Big One,2,player,Jakub Mosciszewski,,complete
2025,net,Open Big One,3,player,Maciej Niczyporuk,,complete
2025,net,Open Big One,4,player,Arkadiusz Stanek,,complete
2025,net,Open Big One,5,player,Pawe Nowak,,complete
2025,net,Open Big One,6,player,Filip Wojcik,,complete
2025,net,Open Big One,7,player,Przemyslaw Pietrzycki,,complete
2025,net,Open Big One,8,player,Jakub Worek,,complete
2025,net,Open Single Net,1,player,Micha Klimczak,,complete
2025,net,Open Single Net,2,player,Kuba Grabarczyk,,complete
2025,net,Open Single Net,3,player,Marcin Staron,,complete
2025,net,Open Single Net,4,player,Damian Budzik,,complete
2025,net,Open Single Net,5,player,Maciej Pietrzycki,,complete
2025,net,Open Single Net,6,player,Marcin Czech,,complete
2025,net,Open Single Net,7,player,Micha Rog,,complete
2025,net,Open Single Net,8,player,Lukasz Domin,,complete
2025,net,Open Single Net,9,player,Maciej Niczyporuk,,complete
2025,net,Open Single Net,10,player,Rados Turek,,complete
2025,net,Open Singles,1,player,Germain Uzcategui,,complete
2025,net,Open Singles,2,player,Juan Bernardo Palacios Lemos,,complete
2025,net,Open Singles,3,player,Gianni Almanza Amaya,,complete
