event_id,year,division_canon,division_category,placements_present,min_place,max_place,expected_span,missing_places,coverage_ratio,coverage_flag,rejected_rows,quarantine_rows,excluded_rows,evidence_total,gap_class,priority_score
1135116604,2006,Open Singles Freestyle,freestyle,18,1,54,54,36,0.3333333333333333,sparse,0,0,0,0,possibly_recoverable,24.0
1105087209,2005,Open Singles Routines,freestyle,11,1,43,43,32,0.2558139534883721,sparse,0,0,0,0,possibly_recoverable,23.8
1194517448,2008,Open Singles Freestyle,freestyle,16,1,49,49,33,0.32653061224489793,sparse,0,0,0,0,possibly_recoverable,22.2
1102576153,2005,Open Singles Freestyle,freestyle,18,1,49,49,31,0.3673469387755102,sparse,0,0,0,0,possibly_recoverable,19.6
1547415984,2019,Battle Contest,freestyle,8,1,33,33,25,0.24242424242424243,sparse,0,0,0,0,possibly_recoverable,18.9
1293877677,2011,Open Circle Contest,freestyle,10,1,36,36,26,0.2777777777777778,sparse,0,0,0,0,possibly_recoverable,18.8
1069929277,2004,Open Singles Freestyle,freestyle,18,1,47,47,29,0.3829787234042553,sparse,0,0,0,0,possibly_recoverable,17.9
1163784775,2007,Open Singles Freestyle,freestyle,15,1,41,41,26,0.36585365853658536,sparse,0,0,0,0,possibly_recoverable,16.5
1265745512,2010,Open Circle Contest,freestyle,10,1,33,33,23,0.30303030303030304,sparse,0,0,0,0,possibly_recoverable,16.0
1293877677,2011,Open Request Contest,freestyle,14,1,38,38,24,0.3684210526315789,sparse,0,0,0,0,possibly_recoverable,15.2
1323272493,2012,Open Circle Contest,unknown,10,1,30,30,20,0.3333333333333333,sparse,0,0,0,0,possibly_recoverable,13.3
1417735560,2015,Open Circle Contest,freestyle,10,1,29,29,19,0.3448275862068966,sparse,0,0,0,0,possibly_recoverable,12.4
1219405634,2008,Circle Contest,freestyle,9,1,23,23,14,0.391304347826087,sparse,0,0,0,0,possibly_recoverable,8.5
1366240051,2013,Doubles Open,net,3,3,11,9,6,0.3333333333333333,sparse,0,0,0,0,possibly_recoverable,4.0
1323272493,2012,Request Contest,freestyle,17,1,41,41,24,0.4146341463414634,partial,0,0,0,0,document_only,14.0
1042821772,2003,Open Singles Freestyle 38 Player,freestyle,15,1,36,36,21,0.4166666666666667,partial,0,0,0,0,document_only,12.2
1293877677,2011,Open Singles Routines,freestyle,15,1,36,36,21,0.4166666666666667,partial,0,0,0,0,document_only,12.2
1269266785,2010,Circle Contest,freestyle,11,1,27,27,16,0.4074074074074074,partial,0,0,0,0,document_only,9.5
1042821772,2003,Intermediate Singles Freestyle 33 Player,freestyle,14,1,31,31,17,0.45161290322580644,partial,0,0,0,0,document_only,9.3
876336655,1998,Open Singles,net,10,1,25,25,15,0.4,partial,0,0,0,0,document_only,9.0
1265745512,2010,Open Singles Routines,freestyle,15,1,32,32,17,0.46875,partial,0,0,0,0,document_only,9.0
1137942486,2006,Open Singles Net,net,15,1,31,31,16,0.4838709677419355,partial,0,0,0,0,document_only,8.3
1293877677,2011,Open 2-Square,sideline,8,1,20,20,12,0.4,partial,0,0,0,0,document_only,7.2
1235653935,2009,Open Circle Contest,freestyle,9,1,21,21,12,0.42857142857142855,partial,0,0,0,0,document_only,6.9
1547415984,2019,Request Contest,freestyle,13,1,26,26,13,0.5,partial,0,0,0,0,document_only,6.5
1265745512,2010,Open 2-Square,sideline,7,1,17,17,10,0.4117647058823529,partial,0,0,0,0,document_only,5.9
1336988107,2012,2 Square,sideline,7,1,17,17,10,0.4117647058823529,partial,0,0,0,0,document_only,5.9
1487797845,2017,Open Battles,freestyle,7,1,17,17,10,0.4117647058823529,partial,0,0,0,0,document_only,5.9
1163784775,2007,Intermediate Singles Freestyle,freestyle,13,1,25,25,12,0.52,partial,0,0,0,0,document_only,5.8
1361207019,2013,Open Circle Contest,freestyle,10,1,21,21,11,0.47619047619047616,partial,0,0,0,0,document_only,5.8
1417735560,2015,Open Singles Routines,freestyle,13,1,25,25,12,0.52,partial,0,0,0,0,document_only,5.8
1103724325,2005,Singles Net,net,8,1,18,18,10,0.4444444444444444,partial,0,0,0,0,document_only,5.6
1231432184,2009,Open Singles Freestyle,freestyle,13,1,24,24,11,0.5416666666666666,partial,0,0,0,0,document_only,5.0
1231432184,2009,Open Singles Routines,freestyle,13,1,24,24,11,0.5416666666666666,partial,0,0,0,0,document_only,5.0
1035277529,2003,Intermediate Singles Net,net,11,1,21,21,10,0.5238095238095238,partial,0,0,0,0,document_only,4.8
1203604560,2008,Mini-Net / Foot-C,net,8,1,17,17,9,0.47058823529411764,partial,0,0,0,0,document_only,4.8
919703711,1999,Open Singles,net,13,1,23,23,10,0.5652173913043478,partial,0,0,0,0,document_only,4.3
1089373321,2004,Open Singles Freestyle,freestyle,15,1,25,25,10,0.6,partial,0,0,0,0,document_only,4.0
1297811412,2011,Open Circle Contest,freestyle,8,1,16,16,8,0.5,partial,0,0,0,0,document_only,4.0
1519215398,2018,Open Circle,freestyle,8,1,16,16,8,0.5,partial,0,0,0,0,document_only,4.0
1194517448,2008,Intermediate Singles Freestyle,freestyle,12,1,21,21,9,0.5714285714285714,partial,0,0,0,0,document_only,3.9
1269266785,2010,Open Singles Freestyle,freestyle,12,1,21,21,9,0.5714285714285714,partial,0,0,0,0,document_only,3.9
1449259560,2016,Open Singles Routines,freestyle,12,1,21,21,9,0.5714285714285714,partial,0,0,0,0,document_only,3.9
941418343,2000,Mixed Doubles Net,net,9,1,17,17,8,0.5294117647058824,complete,0,0,0,0,document_only,3.8
1336988107,2012,Circle Contest,freestyle,9,1,17,17,8,0.5294117647058824,partial,0,0,0,0,document_only,3.8
1391189882,2014,Open Circle Contest,freestyle,9,1,17,17,8,0.5294117647058824,partial,0,0,0,0,document_only,3.8
1417735560,2015,Open Shred:30,freestyle,9,1,17,17,8,0.5294117647058824,partial,0,0,0,0,document_only,3.8
1278603677,2010,Open Circle Contest,freestyle,7,1,14,14,7,0.5,partial,0,0,0,0,document_only,3.5
876356874,1998,Open Singles Net,net,15,1,24,24,9,0.625,partial,0,0,0,0,document_only,3.4
1297811412,2011,Request Contest,freestyle,11,1,19,19,8,0.5789473684210527,partial,0,0,0,0,document_only,3.4
980969461,2001,Open Singles Freestyle,freestyle,17,1,26,26,9,0.6538461538461539,partial,0,0,0,0,document_only,3.1
1090569022,2004,Simple Net,net,9,1,16,16,7,0.5625,partial,0,0,0,0,document_only,3.1
876356874,1998,Open Mixed Doubles Net,net,6,2,13,12,6,0.5,partial,0,0,0,0,document_only,3.0
1102576153,2005,Intermediate Freestyle,freestyle,13,1,21,21,8,0.6190476190476191,partial,0,0,0,0,document_only,3.0
915561090,1999,Open Singles Freestyle,freestyle,10,1,17,17,7,0.5882352941176471,partial,0,0,0,0,document_only,2.9
1219405634,2008,Open Freestyle Routines,freestyle,14,1,22,22,8,0.6363636363636364,partial,0,0,0,0,document_only,2.9
1135116604,2006,Open Singles Net,net,39,1,51,51,12,0.7647058823529411,mostly_complete,0,0,0,0,document_only,2.8
1251990500,2009,Open 2-Square,sideline,7,1,13,13,6,0.5384615384615384,partial,0,0,0,0,document_only,2.8
1278603677,2010,Open 2-Square,sideline,7,1,13,13,6,0.5384615384615384,partial,0,0,0,0,document_only,2.8
1318673467,2011,Open Circle Contest,freestyle,7,1,13,13,6,0.5384615384615384,partial,0,0,0,0,document_only,2.8
1328094862,2012,Open Circle Contest,freestyle,7,1,13,13,6,0.5384615384615384,partial,0,0,0,0,document_only,2.8
1376036018,2013,Circle Contest,freestyle,7,1,13,13,6,0.5384615384615384,partial,0,0,0,0,document_only,2.8
1668541701,2022,Open Singles Golf,golf,4,1,9,9,5,0.4444444444444444,partial,0,0,0,0,document_only,2.8
1235653935,2009,Open Singles Freestyle,freestyle,14,1,21,21,7,0.6666666666666666,partial,0,0,0,0,document_only,2.3
1298627369,2011,Open Footbag Golf,golf,10,1,16,16,6,0.625,partial,0,0,0,0,document_only,2.2
