effective_person_id,person_canon,player_ids_seen,player_names_seen,aliases,alias_statuses,notes,source,person_canon_clean,person_canon_clean_reason,quarantine_reason,quarantine_evidence
00bdcbfa-31e8-5cfc-89f6-0d5b0fbff276,Karim Daouk Arthur Ledain,,Karim Daouk Arthur Ledain,,,,data_only,Karim Daouk Arthur Ledain,,two_people_concat,split_known:Karim Daouk || Arthur Ledain
127d47b3-4e54-5722-ac7e-4d3924876f9c,Francois Leh Kevin Jenkins,,Francois Leh (BC) Kevin Jenkins,,,,data_only,Francois Leh Kevin Jenkins,strip_parens_punct,two_people_concat,split_known:Francois Leh || Kevin Jenkins
3f315972-9f3b-5b99-ad28-9f6519a78999,Vera DeBaere Ann Lasken,,Vera DeBaere (BC) Ann Lasken,,,,data_only,Vera DeBaere Ann Lasken,strip_parens_punct,two_people_concat,split_known:Vera DeBaere || Ann Lasken
4bb6c192-daa1-51e5-ba3a-f6cf5135a8e2,Jody Welch Julie Symons,,Jody Welch (CA) Julie Symons,,,,data_only,Jody Welch Julie Symons,strip_parens_punct,two_people_concat,split_known:Jody Welch || Julie Symons
55053329-4cc3-596a-a372-605b07aa302c,Dave Bernard Chris Routh,,Dave Bernard (OR) Chris Routh (AZ),,,,data_only,Dave Bernard Chris Routh,strip_parens_punct,two_people_concat,split_known:Dave Bernard || Chris Routh
7d7d6623-4c34-54ef-933f-50edf155b492,Martin Côté Martin Graton,7d7d6623-4c34-54ef-933f-50edf155b492,Martin Côté Martin Graton,,,,overrides+data,Martin Côté Martin Graton,,two_people_concat,split_known:Martin Côté || Martin Graton
807cae79-dc10-5a59-931e-6ce97e4753c4,Grischa Tellenbach Damian Budzik,,Grischa Tellenbach ? Damian Budzik,,,,data_only,Grischa Tellenbach Damian Budzik,strip_parens_punct,two_people_concat,split_known:Grischa Tellenbach || Damian Budzik
88dd8571-98ad-50fc-9323-7b84896b0888,Jon Hayduk Sean Flynn,,Jon Hayduk (BC) Sean Flynn,,,,data_only,Jon Hayduk Sean Flynn,strip_parens_punct,two_people_concat,split_known:Jon Hayduk || Sean Flynn
90bc6a1f-9ac3-57e1-9041-1720eeac7b93,Scott Milne Jim Derricott,,Scott Milne (BC) Jim Derricott (BC),,,,data_only,Scott Milne Jim Derricott,strip_parens_punct,two_people_concat,split_known:Scott Milne || Jim Derricott
a05e7b3b-41cc-50fa-acfc-b063d276630a,Julie Symons Yossarian Kelley,,Julie Symons (CA) Yossarian Kelley (WA),,,,data_only,Julie Symons Yossarian Kelley,strip_parens_punct,two_people_concat,split_known:Julie Symons || Yossarian Kelley
b6bfce7f-622a-575d-9bb7-df92dc30bd0b,Grischa Tellenbach Vincent Rousseau,,Grischa Tellenbach ? Vincent Rousseau,,,,data_only,Grischa Tellenbach Vincent Rousseau,strip_parens_punct,two_people_concat,split_known:Grischa Tellenbach || Vincent Rousseau
c8be4a5a-2e85-5097-a5d1-696c920f2451,Yves Kreil Antonio Fritsch,,Yves Kreil ? Antonio Fritsch,,,,data_only,Yves Kreil Antonio Fritsch,strip_parens_punct,two_people_concat,split_known:Yves Kreil || Antonio Fritsch
cdfcbb2c-bc10-5156-a355-22eb3dd6d2c9,Jody Welch Danny Borsky,,Jody Welch (CA) Danny Borsky (BC),,,,data_only,Jody Welch Danny Borsky,strip_parens_punct,two_people_concat,split_known:Jody Welch || Danny Borsky
d15d74fe-47f7-5330-aafc-3150d35ca1f5,Eurik Lindner Markus Kaspczak,,Eurik Lindner ? Markus Kaspczak,,,,data_only,Eurik Lindner Markus Kaspczak,strip_parens_punct,two_people_concat,split_known:Eurik Lindner || Markus Kaspczak
e4c6537a-af58-556e-8055-e3b35d0e5a4a,Jim Fitzgerald Adam Hutchinson,,Jim Fitzgerald (OR) Adam Hutchinson,,,,data_only,Jim Fitzgerald Adam Hutchinson,strip_parens_punct,two_people_concat,split_known:Jim Fitzgerald || Adam Hutchinson
ea22aafe-66c7-5c14-9fbe-9664d8150db3,Scott Milne Chard Cook,,Scott Milne (BC) Chard Cook,,,,data_only,Scott Milne Chard Cook,strip_parens_punct,two_people_concat,split_known:Scott Milne || Chard Cook
