alias,canonical,alias_count,canonical_count_in_pf,alias_years,canonical_years,shared_events,shared_event_ids_sample,alias_event_ids_sample,canonical_event_ids_sample,score,reasons
Abram,Abram Santana,1,3,2002,"2007,2008,2010",0,,1018812342,"1163784775,1194517448,1265745512",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Alex,Alex Bartsch,1,3,2025,"2010,2011,2014",0,,1739036206,"1260368810,1293877677,1391189882",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Alex Smith,alex smith,2,0,"1998,1999",,0,,"899077904,915561090",,5,"initial_variant,rare_alias"
Alexander Kermit Zamotin,Alexander kermit Zamotin,2,0,2004,,0,,"1076876907,1092044099",,5,"initial_variant,rare_alias"
André,André Calado Coroado,1,2,2008,"2024,2025",0,,1195677906,"1709070838,1740419380",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Arkady Kemp Lobankov,Arkady kemp Lobankov,12,0,2004..2019 (10 yrs),,0,,"1076876907,1092044099,1093955766,1102576153,1135116604",,4,initial_variant
Arthur,Arthur Ledain,1,74,2005,2003..2018 (16 yrs),1,1103297805,1103297805,"1050745947,1064849293,1080138513,1089373321,1103297805",8,"prefix_match,token_subset,shared_events=1,rare_alias,canon_more_common"
Arturo Pi Ango,Arturo Pi ango,4,0,"2010,2011,2012",,0,,"1285989828,1301104070,1314328055,1335761071",,4,initial_variant
Augustin,Augustin Tiffaud,1,6,2005,2006,0,,1103297805,1134914723,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Baker,Matt Baker,1,8,2003,"1998,2000,2001,2002",0,,1035277529,"1028233308,884112176,941418343,979089216,996293200",9,"suffix_match,token_subset,rare_alias,canon_more_common"
Becca English-Ross,Becca English Ross,19,0,1997..2025 (8 yrs),,0,,"1295842442,1320803601,1458772302,1738446800,1741024635",,4,initial_variant
Ben,Ben Appold,1,2,2016,2010,0,,1449259560,1267718326,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Ben Alston,Big Ben Alston,1,1,2012,2008,0,,1323272493,1218721346,9,"suffix_match,token_subset,rare_alias,canon_more_common"
Boris De Nantes,Boris de nantes,1,0,2004,,0,,1090569022,,5,"initial_variant,rare_alias"
Brain Dennis,brain dennis,1,0,2006,,0,,1155788760,,5,"initial_variant,rare_alias"
Brayan Bosa,Brayan Bosa Bedoya,1,12,2023,"2009,2012,2023",1,1678957450,1678957450,"1258513500,1346947092,1678957450",8,"prefix_match,token_subset,shared_events=1,rare_alias,canon_more_common"
Brunet,Marc Brunet,1,27,2003,2004..2013 (10 yrs),0,,1035277529,"1069929277,1090569022,1103724325,1135116604,1148374547",9,"suffix_match,token_subset,rare_alias,canon_more_common"
