event_id,year,event_name,event_type,sport,division,placement,player_text_raw,player_names_split,team_flag,score_text,source_line
1043096425,1985,East Coast Championships - 3rd Annual - 1985,mixed,,,1,Eric Wulff (6164),Eric Wulff (6164),,,1.	Eric Wulff (6164)
1043096425,1985,East Coast Championships - 3rd Annual - 1985,mixed,,,2,Rob McCloskey (4216),Rob McCloskey (4216),,,2.	Rob McCloskey (4216)
1043096425,1985,East Coast Championships - 3rd Annual - 1985,mixed,,,3,Adam Eisner (3350),Adam Eisner (3350),,,3.	Adam Eisner (3350)
1043096425,1985,East Coast Championships - 3rd Annual - 1985,mixed,,,1,Eric Wulff/Russ Willi (3044),Eric Wulff|Russ Willi (3044),1,,1.	Eric Wulff/Russ Willi (3044)
1043096425,1985,East Coast Championships - 3rd Annual - 1985,mixed,,,2,Adam Eisner/Rob McCloskey (702),Adam Eisner|Rob McCloskey (702),1,,2.	Adam Eisner/Rob McCloskey (702)
1043096425,1985,East Coast Championships - 3rd Annual - 1985,mixed,,,3,Joe Solonoski/Dave Piehota (272),Joe Solonoski|Dave Piehota (272),1,,3.	Joe Solonoski/Dave Piehota (272)
1043096425,1985,East Coast Championships - 3rd Annual - 1985,mixed,,,1,Charlie Hallowell,Charlie Hallowell,,,1.	Charlie Hallowell
1043096425,1985,East Coast Championships - 3rd Annual - 1985,mixed,,,2,Jim Dickey,Jim Dickey,,,2.	Jim Dickey
1043096425,1985,East Coast Championships - 3rd Annual - 1985,mixed,,,3,Scott Hartyl,Scott Hartyl,,,3.	Scott Hartyl
1043096425,1985,East Coast Championships - 3rd Annual - 1985,mixed,,,1,Mark Cicchetti/Dale Crawford,Mark Cicchetti|Dale Crawford,1,,1.	Mark Cicchetti/Dale Crawford
1043096425,1985,East Coast Championships - 3rd Annual - 1985,mixed,,,2,Brian Buen,Brian Buen,,,2.	Brian Buen
1043096425,1985,East Coast Championships - 3rd Annual - 1985,mixed,,,3,Eric Wulff,Eric Wulff,,,3.	Eric Wulff
1043096425,1985,East Coast Championships - 3rd Annual - 1985,mixed,,,1,Sue Vassalotti/Peter Chandler,Sue Vassalotti|Peter Chandler,1,,1.	Sue Vassalotti/Peter Chandler
1043096425,1985,East Coast Championships - 3rd Annual - 1985,mixed,,,2,Cathey Guenther/Lee Guenther,Cathey Guenther|Lee Guenther,1,,2.	Cathey Guenther/Lee Guenther
1043096425,1985,East Coast Championships - 3rd Annual - 1985,mixed,,,3,Ruth Osterman/Rick Kaufman,Ruth Osterman|Rick Kaufman,1,,3.	Ruth Osterman/Rick Kaufman
1043096425,1985,East Coast Championships - 3rd Annual - 1985,mixed,,,1,Steve Femmel/Dave Connell,Steve Femmel|Dave Connell,1,,1.	Steve Femmel/Dave Connell
1043096425,1985,East Coast Championships - 3rd Annual - 1985,mixed,,,2,Lee Guenther/Charlie Hallowell,Lee Guenther|Charlie Hallowell,1,,2.	Lee Guenther/Charlie Hallowell
1043096425,1985,East Coast Championships - 3rd Annual - 1985,mixed,,,3,Dale Crawford/Mark Cicchetti,Dale Crawford|Mark Cicchetti,1,,3.	Dale Crawford/Mark Cicchetti
1043096425,1985,East Coast Championships - 3rd Annual - 1985,mixed,,,1,Mark Lavalle,Mark Lavalle,,,1.	Mark Lavalle
1043096425,1985,East Coast Championships - 3rd Annual - 1985,mixed,,,2,Rich Carlo,Rich Carlo,,,2.	Rich Carlo
1043096425,1985,East Coast Championships - 3rd Annual - 1985,mixed,,,3,Mike Gonzales,Mike Gonzales,,,3.	Mike Gonzales
1043096425,1985,East Coast Championships - 3rd Annual - 1985,mixed,,,1,Mark Lavelle/Rich Carlo,Mark Lavelle|Rich Carlo,1,,1.	Mark Lavelle/Rich Carlo
1043096425,1985,East Coast Championships - 3rd Annual - 1985,mixed,,,2,Rob McCloskey/Jack Lentz,Rob McCloskey|Jack Lentz,1,,2.	Rob McCloskey/Jack Lentz
1043096425,1985,East Coast Championships - 3rd Annual - 1985,mixed,,,3,Rick Scaffel/John Nodtvedt,Rick Scaffel|John Nodtvedt,1,,3.	Rick Scaffel/John Nodtvedt
1043096425,1985,East Coast Championships - 3rd Annual - 1985,mixed,,,1,Sue Vasolotti,Sue Vasolotti,,,1.	Sue Vasolotti
1043096425,1985,East Coast Championships - 3rd Annual - 1985,mixed,,,2,Ruth Osterman,Ruth Osterman,,,2.	Ruth Osterman
1043096425,1985,East Coast Championships - 3rd Annual - 1985,mixed,,,3,Cathy Guenther,Cathy Guenther,,,3.	Cathy Guenther
1057126024,1986,East Coast Footbag Championships - 4th Annual - 1986,mixed,,,1,Rob McCloskey (8533) ? Event Record,Rob McCloskey (8533) ? Event Record,,,1.	Rob McCloskey (8533) ? Event Record
1057126024,1986,East Coast Footbag Championships - 4th Annual - 1986,mixed,,,2,Bob Nicholson (7155),Bob Nicholson (7155),,,2.	Bob Nicholson (7155)
1057126024,1986,East Coast Footbag Championships - 4th Annual - 1986,mixed,,,3,Eric Wulff (5556),Eric Wulff (5556),,,3.	Eric Wulff (5556)
1057126024,1986,East Coast Footbag Championships - 4th Annual - 1986,mixed,,,1,Andy Linder/Rob McCloskey (2014),Andy Linder|Rob McCloskey (2014),1,,1.	Andy Linder/Rob McCloskey (2014)
1057126024,1986,East Coast Footbag Championships - 4th Annual - 1986,mixed,,,2,Constance Reed/Jimmy Caveny (1342),Constance Reed|Jimmy Caveny (1342),1,,2.	Constance Reed/Jimmy Caveny (1342)
1057126024,1986,East Coast Footbag Championships - 4th Annual - 1986,mixed,,,3,Adam Eisner/Dennis Griffin (234),Adam Eisner|Dennis Griffin (234),1,,3.	Adam Eisner/Dennis Griffin (234)
