event_id,year,event_name,division,place,field,issue_type,value
1092073845,2004,Czech Championships 2004,Doubles Freestyle,1,team_display_name,embedded_question_mark,Va?ek Klouda / Honza Weber
1111735438,2005,Greater Rochester Area Shred Symposium and RIT Juggle-IN,Shred 30,3,team_display_name,solo_in_doubles,Tom Mosher / ?
1114277529,2005,Czech Footbag Championships,Freestyle Dvojice,1,team_display_name,embedded_question_mark,Vá?ka Kouda / Honza Weber
1137937282,2006,Czech Footbag Championships,Rutina Intermediate,1,team_display_name,embedded_question_mark,Va?ek Klouda / Honza Weber
1163784775,2007,2007 IFPA WORLD FOOTBAG CHAMPIONSHIPS,Intermediate Doubles Net,1,team_display_name,embedded_question_mark,Dominic O?Brien / P.J. Daigle
1163784775,2007,2007 IFPA WORLD FOOTBAG CHAMPIONSHIPS,Mixed Doubles Net,9,team_display_name,embedded_question_mark,Kerstin Anhuth / Dominic O?Brien
1176318174,2007,2007 U.S. Open Footbag Championships,"""B"" Division Doubles Net",2,team_display_name,solo_in_doubles,Brett Milliken / ?Crazy? Mike Craig
1204006435,2008,The 2008 Pro Kicker Windchill,Open Doubles,5,team_display_name,embedded_question_mark,Dominic O?Brien / Dominique Soulard
1204009603,2008,The 2008 Pro Kicker Montreal Footbag Championships,Open Doubles,9,team_display_name,embedded_question_mark,Dominic O?Brien / Dominique Soulard
1228946926,2008,Czech Footbag Championships,Sick 3,6,team_display_name,embedded_question_mark,Dominik ?imků / Kry?tof Maléř
1234761224,2009,Kick Volley 01,Open Doubles,5,team_display_name,embedded_question_mark,Yves Archambault / Dominic O?Brien
1245793403,2009,Funtastik Summer Classic,Pro Doubles Net,2,team_display_name,embedded_question_mark,PF Daigle / D O?Brien
