event_id,event_name,year,sport,division,mirror_place_range,sheet_place_range,missing_places,extra_places,issue_type
1043096425,East Coast Championships - 3rd Annual - 1985,1985,,,1-3,,"1,2,3",,missing_middle
1057126024,East Coast Footbag Championships - 4th Annual - 1986,1986,,,1-3,,"1,2,3",,missing_middle
1057175925,East Coast Footbag Championships - 8th Annual - 1990,1990,,,1-3,,"1,2,3",,missing_middle
1057345914,East Coast Footbag Championships - 1991 - 9th Annual,1991,,,1-3,,"1,2,3",,missing_middle
857852604,Southern California Footbag Championships,1997,,Open Singles Routines,1-5,1-5,4,,truncated_tail
857852604,Southern California Footbag Championships,1997,,Intermediate Singles Routines,1-3,1-2,3,,truncated_tail
857874500,University of Oregon Footbag Tournament,1997,,The Results,1-4,,"1,2,3,4",,missing_middle
857876870,Eugene Celebration Footbag Tournament,1997,,,1-199,,1-199 (13 places),,truncated_tail
857879540,The 15th Annual EAST COAST FOOTBAG CHAMPIONSHIPS,1997,,Open Singles Routines,1-8,1-4,"5,6,7,8",,truncated_tail
857880054,Bedford (Australia) Indoor Footbag Championships,1997,,,1-5,,"1,2,3,4,5",,missing_middle
857880054,Bedford (Australia) Indoor Footbag Championships,1997,,Results from the five minute timed consecutives were as follows,1-3,,"1,2,3",,missing_middle
857880964,13th Annual MIDWEST REGIONAL FOOTBAG CHAMPIONSHIPS,1997,,,1-6,,"1,2,3,4,5,6",,missing_middle
857880964,13th Annual MIDWEST REGIONAL FOOTBAG CHAMPIONSHIPS,1997,Dropless,,1-4,,"1,2,3,4",,missing_middle
857881519,11th Annual Vancouver Open (and Worlds Warm-Up),1997,,,1-4,,"1,2,3,4",,missing_middle
859400929,Montreal International Footbag Championships,1997,,,47,,47,,missing_middle
859787898,HEART OF FOOTBAG Freestyle Tournament,1997,,EVENTS,1-8,,"1,2,3,4,5,6,7,8",,missing_middle
859923755,California State Footbag Championships,1997,,MIXED DOUBLES NET,1-8,1-5,"7,8",,truncated_tail
860356126,14th Annual Emerald City Open Footbag Championships,1997,,,1-199,,"1,2,3,4,199",,truncated_tail
865043841,The Ultimate Chaos Outdoor Footbag Flying Disc Festival,1997,,,1-4,,"1,2,3,4",,missing_middle
873922005,FOOTBAG SM 97 / Finnish Footbag Championships '97,1997,,,1-6,,"1,2,3,4,5,6",,missing_middle
877848852,Auburn U.F.O. Fall Festival,1997,,Here's how is came down,1-3,,"1,2,3",,missing_middle
876331623,Southern California Footbag Championships,1998,,RESULTS,1-45,,1-45 (14 places),,truncated_tail
876336655,Air-A-Zona 2nd Annual Footbag Net Championships,1998,,Open Mixed Doubles,1-7,1-5,"6,7",,truncated_tail
876356874,WESTERN REGIONAL FOOTBAG CHAMPIONSHIPS,1998,,,105,,105,,missing_middle
876356874,WESTERN REGIONAL FOOTBAG CHAMPIONSHIPS,1998,,Here's how it came down,199,,199,,missing_middle
876356874,WESTERN REGIONAL FOOTBAG CHAMPIONSHIPS,1998,,Competitor Breakdown,1-24,,1-24 (16 places),,truncated_tail
876356874,WESTERN REGIONAL FOOTBAG CHAMPIONSHIPS,1998,,FREESTYLE,1-9,,"1,2,3,4,5,6,7,8,9",,missing_middle
876356874,WESTERN REGIONAL FOOTBAG CHAMPIONSHIPS,1998,Sudden death,,1-2,,"1,2",,missing_middle
879319107,1998 Southern Regional Footbag Championships,1998,,,1-6,,"1,2,3,4,5,6",,missing_middle
883135865,1998 Winter Windchill Warm-Up (l'Hivernal),1998,,,1-3,,"1,2,3",,missing_middle
884112176,The 1st Annual Fighting Illini Footbag Festival,1998,,,2-3,,"2,3",,missing_middle
886044392,12th Annual Vancouver Open Footbag Net Tournament,1998,,,1-12,,"1,2,3,12",,truncated_tail
888294869,15th Annual Emerald City Open,1998,,,1-15,,"1,2,3,4,15",,truncated_tail
892446131,Kansas Footbag Open,1998,,,2-10,,"2,3,10",,truncated_tail
899077904,Northern Illinois Footbag Open,1998,,,1-3,,"1,2,3",,missing_middle
901349509,18th Annual Beaver Open,1998,,Unsanctioned Late-Night Fire-Bag Net,1,1-3,,"2,3",extra_in_sheet
901349509,18th Annual Beaver Open,1998,,Bizz Buzz,1-3,,"1,2,3",,missing_middle
901349509,18th Annual Beaver Open,1998,,Cribbage,1-3,,"1,2,3",,missing_middle
903468009,Southern California Footbag Championships,1999,,Freestyle Finals in Safeway Parking Garage,1-3,,"1,2,3",,missing_middle
903468009,Southern California Footbag Championships,1999,,Net Finals in Heavy Downpour,1-3,,"1,2,3",,missing_middle
903632480,3rd Annual Air-A-Zona Footbag Net Championships,1999,,Intermediate Singles,1-6,1-4,"5,6",,truncated_tail
909186885,1999 Southern Regional Footbag Championships,1999,Timed Consecutives,,1-3,,"1,2,3",,missing_middle
910551956,1999 Western Regional Footbag Championships,1999,,,199,,199,,missing_middle
910551956,1999 Western Regional Footbag Championships,1999,,Participants,24-89,,"24,89",,truncated_tail
910551956,1999 Western Regional Footbag Championships,1999,,Awards,1,,1,,missing_middle
910551956,1999 Western Regional Footbag Championships,1999,,OPEN RESULTS,1-19,,1-19 (13 places),,truncated_tail
910551956,1999 Western Regional Footbag Championships,1999,,INTERMEDIATE RESULTS,1-13,,"1,2,3,4,5,6,9,10,13",,truncated_tail
910551956,1999 Western Regional Footbag Championships,1999,,NOVICE RESULTS,1-4,,"1,2,3,4",,missing_middle
913061034,Finnish Freestyle Festival '99,1999,,,1-6,,"1,2,3,4,5,6",,missing_middle
916193231,1999 Montreal International Footbag Championship,1999,,,1-4,,"1,2,3,4",,missing_middle
917278465,EUROPEAN FOOTBAG OPEN,1999,,,1-8,,"1,2,3,4,5,6,7,8",,missing_middle
917741782,2nd Annual Illini Footbag Festival,1999,,,1-3,,"1,2,3",,missing_middle
919703711,13th Annual Vancouver Open Footbag Net Tournament,1999,,,1-23,,1-23 (15 places),,truncated_tail
919885513,Montreal Windchill (l'HIVERNAL),1999,,,1-4,,"1,2,3,4",,missing_middle
924977661,16th Annual Emerald City Open,1999,,,1-4,,"1,2,3,4",,missing_middle
933870505,Finnish Footbag Open Championships 1999,1999,,,1-10,,"1,2,3,4,5,6,7,8,9,10",,missing_middle
937727262,California State Footbag Championships,1999,,Mixed Net,1-4,1-5,,5,extra_in_sheet
937727262,California State Footbag Championships,1999,,Yellow Belt Division,1-5,,"1,2,3,4,5",,missing_middle
937727262,California State Footbag Championships,1999,,Beginners,1-3,,"1,2,3",,missing_middle
937854594,Turku Tournee 1999,1999,,,1-4,,"1,2,3,4",,missing_middle
942013549,German Footbag Freestyle Battle 99,1999,,Final,1-8,,"1,2,3,4,5,6,7,8",,missing_middle
941418343,WORLD FOOTBAG CHAMPIONSHIPS,2000,,Open Singles Routines,1-34,1-47,24,"35,37,38,39,40,41,42,45,46,47",tie_lost
944242404,Todexon Cup Freestyle Tournament,2000,,,1-8,,"1,2,3,4,5,6,7,8",,missing_middle
946940201,East Coast Footbag Championships,2000,,OPEN SINGLES NET,1-3,2-3,1,,missing_middle
947026077,The 2nd Annual Philly Open Footbag Championships,2000,,,2,,2,,missing_middle
947026077,The 2nd Annual Philly Open Footbag Championships,2000,,Here are the links for the pictures,1-3,,"1,2,3",,missing_middle
947026077,The 2nd Annual Philly Open Footbag Championships,2000,,Open Events,1-3,,"1,2,3",,missing_middle
947026077,The 2nd Annual Philly Open Footbag Championships,2000,,Intermediate Events,1-3,,"1,2,3",,missing_middle
947026077,The 2nd Annual Philly Open Footbag Championships,2000,,Novice Events,1-3,,"1,2,3",,missing_middle
947196813,New Zealand Footbag Championships,2000,,,1-9,,"1,2,3,5,6,7,9",,truncated_tail
948198763,European Footbag Championships 2000,2000,,,1-11,,1-11 (11 places),,missing_middle
948198763,European Footbag Championships 2000,2000,,European rankings for open freestyle,1-7,1-3,"4,5,6,7",,truncated_tail
