unresolved_person_id,unresolved_canon,token_count,appearances,match_person_id,match_canon,score,confidence_tier,decision,notes
b274fbcc-9283-5e2e-9c68-704f3212796e,Yves Kreil,2,50,826a0e03-c3b6-500b-83b1-e517fa61a77c,Yves Kreil Antonio Fritsch,90.0,MEDIUM,reject,
,Lisa Uebele ? Kerstin Anhuth,5,2,8e17712f-7c8d-5c61-93e2-85d061117be2,Kerstin Anhuth,90.0,MEDIUM,reject,
,Ninni Liukko ? Piia Tantarimäki,5,2,9aca54b3-8989-5d9e-8ca3-b5420d233d8f,Ninni Liukko,90.0,MEDIUM,reject,
,Piia Tantarimäki ? Uli Haase,5,1,1dc7bf3f-8a4d-57b0-912b-b6626fb29cfb,Piia Tantarimäki,90.0,MEDIUM,reject,
,Petr Stejskal ? Pavel Cerveny,5,1,23462c9a-29d4-578f-9cfc-19d9ba086f45,Pavel Cerveny,90.0,MEDIUM,reject,
,Nicolas de Zeeuw ? Miquel Clemente,6,1,2eaccb7b-430c-5678-b982-9415b20b24cf,Miquel Clemente,90.0,MEDIUM,reject,
,Pablo ?,2,1,85d173f6-bf80-5266-af8a-50bac2c7d80d,Juan Pablo Duarte,90.0,MEDIUM,reject,
0e1a4885-170e-5d5f-bfdf-23b848fd032c,PAVEL HEJRA-PETR FUCIK,3,1,fb09d2be-a773-5bc1-9da3-60cbabff4338,Pavel Hejra,90.0,MEDIUM,reject,
231b7366-7876-583d-a59b-f2ce3dc09a22,PAVEL HEJRA-PATRIK CERNY,3,1,700e0ec0-94b9-5de3-b9a9-8d40a3645de3,Patrik Cerny,90.0,MEDIUM,reject,
,Ninni Liukko ? Yassin Khateeb,5,1,9aca54b3-8989-5d9e-8ca3-b5420d233d8f,Ninni Liukko,90.0,MEDIUM,reject,
99ae954b-4698-583f-bcb0-789cd5e8599b,Pascal T,2,1,3ee1e348-8cd4-57f0-9677-a6c3cdccb466,Pascal Tomecek,90.0,MEDIUM,reject,
,Reid ??,2,1,1b07552f-0f87-5fb7-82e8-44937656a640,Reid Hargrove,90.0,MEDIUM,reject,
,Yan ?,2,1,46b456e7-497e-53b9-924f-6f72b8d414cb,Artur Grigoryan,90.0,MEDIUM,reject,
,Yassin Khateeb ? Markus Portenkirchner,5,1,2a5b8319-06ac-5238-b203-b8df84f91cad,Markus Portenkirchner,90.0,MEDIUM,reject,
91bdc43c-bb42-5a26-93bf-3d9d08ac4b37,Victor Lezama-Ángel Hernández,3,1,1ff2698f-6676-56d0-9425-d02bc4a12d94,Angel Hernandez,90.0,MEDIUM,reject,
1fc9ba9a-a671-5ffa-b38b-8071f9d1216d,yves kreil,2,1,826a0e03-c3b6-500b-83b1-e517fa61a77c,Yves Kreil Antonio Fritsch,90.0,MEDIUM,reject,
,Rémi ?,2,1,e97530df-f440-5740-8ff4-2206df644d85,Jeremiah Bechard,90.0,MEDIUM,reject,
19b61910-b23c-535c-b43e-c9438cb0f75c,Eduardo Martinez-Diego Chávez,3,1,2d89bf66-c49f-53f1-97e5-2dc7f8d0f613,Diego Chávez,90.0,MEDIUM,reject,
,Dominic O?Brien-Stéphane Tailleur,3,1,2367d506-3a7b-5532-9c55-3f970c46cf8c,Dominic O'Brien,90.0,MEDIUM,reject,
f8720c81-4144-5300-8974-d706aeee7592,Dave Hill,2,1,ece5d70c-5b61-5d08-aa25-aeda95b1cca2,Dave Hillis,90.0,MEDIUM,reject,
,Erik ???,2,1,1bedfc1b-885c-5426-a93f-6fe033fd5f3e,Erik Chang,90.0,MEDIUM,reject,
