event_id,event_name,year,mirror_divisions,sheet_divisions,mirror_total_rows,sheet_total_rows,completeness_ratio,known_cause
1063109533,2003 Philly Area Oktoberfest Freestyle Jam,2003,1,0,1,0,0.0,"no_results_posted: 2003 Philly Oktoberfest Freestyle Jam — social jam, no standings posted"
1070400528,West Coast Xmas Shred,2003,1,0,1,0,0.0,no_results_posted: West Coast Xmas Shred 2003 — only driving directions in <pre> block
1268338685,II Spanish OPEN,2010,1,0,1,0,0.0,"no_results_posted: II Spanish OPEN 2010 — announcement only, no competitive results"
1057773472,23rd Annual Moonin' & Noonin' Beaver Open,2003,3,1,5,2,0.4,"no_results_posted: 23rd Annual Moonin' & Noonin' Beaver Open 2003 — audit detected narrative text ('Also, much honor to the 2003 Beaver Hall of Famer', 'I believe the only undefeated team was') as pseudo-division headers with numbered lines; stage2 correctly captures 2 real placements"
1645621833,IV.Basque Tournament of Footbag Net (Individual),2022,1,1,13,6,0.4615,no_results_posted: IV.Basque Tournament Footbag Net (Individual) 2022 — audit sees 13 rows (seeding + partial + final sections all parsed); stage2 fixed via legacy file to 6 correct final classification placements
1320232300,RNH Contest 2011,2011,1,2,50,24,0.48,seeding_double_count: RNH 2011 — Initial Seeding + Finals double-counted by audit tool
1301675662,2da Copa Venezuela,2011,1,5,90,45,0.5,seeding_double_count: Copa Venezuela 2011 — INITIAL SEEDING + FINAL RESULTS for 5 divs
1297909685,2da Copa Ciencias,2011,1,5,74,37,0.5,seeding_double_count: Copa Ciencias 2011 — same INITIAL SEEDING + FINAL RESULTS pattern
1311699287,3ra Copa X-PRO,2011,1,3,72,36,0.5,seeding_double_count: Copa X-PRO 3ra 2011 — same pattern
1516978874,RNH Contest 2018,2018,1,1,26,13,0.5,seeding_double_count: RNH 2018 — seeding + finals double-count
1163624128,Moonin' & Noonin' Beaver Open Post Turkey Day Blues Footbag Golf!,2006,1,1,2,1,0.5,no_results_posted: Moonin' Beaver Open Post Turkey Day 2006 — verify: likely announcement only
1737312020,Canadian Closed,2025,1,1,2,1,0.5,no_results_posted: Canadian Closed 2025 — verify: likely announcement only
1181021804,ShrEdmonton Freestyle Assembly 2007,2007,2,4,29,15,0.5172,seeding_double_count: ShrEdmonton 2007 — seeding + final double-count
1568289502,Bulgarian Footbag Open Vol.2,2019,2,2,22,12,0.5455,seeding_double_count: Bulgarian Open Vol.2 2019 — seeding + final pattern
1270631935,RNH Contest 2010,2010,3,2,91,51,0.5604,seeding_double_count: RNH 2010 — Initial seeding + Results + Pool sub-sections
1557144269,11th Bembel Cup 2019 - a jam with friends,2019,2,2,20,12,0.6,seeding_double_count: Bembel Cup 2019 — seeding + final pattern
1742511366,VII.Basque Tournament of Footbag Net (Individual),2025,1,1,11,7,0.6364,no_results_posted: VII.Basque Tournament Footbag Net (Individual) 2025 — audit sees 11 rows (date/location lines + numbered pool match results); stage2 fixed via legacy file to 7 correct final classification placements
1200325415,Greater Rochester Area Shred Symposium 2008,2008,7,5,23,15,0.6522,seeding_double_count: Rochester Shred Symposium 2008 — HOTEL/DATES noise + Sick 3 seeding
1634938934,II.Basque Open Footbag Net Tournament (Doubles),2021,1,1,6,4,0.6667,no_results_posted: II.Basque Open Footbag Net Tournament (Doubles) 2021 — audit sees 6 rows (numbered pool lines); real classification has 4 doubles pairs; stage2 correct
1466942562,18th Annual German Footbag Open,2016,2,6,68,48,0.7059,seeding_double_count: 18th German Open 2016 — 'Seeding' section (46 rows) inflates audit count; stage2 correctly captures 48 finals placements from structured HTML h2 headers; Open Singles Net 22-vs-11 gap is seeding vs finals bracket
1148241486,2006 Steel City Shred Off,2006,6,5,21,15,0.7143,seeding_double_count: Steel City Shred Off 2006 — seeding + partial finals
1566500647,I. Basque Tournament of Footbag Net (Individual),2019,1,1,7,5,0.7143,no_results_posted: I.Basque Tournament Footbag Net (Individual) 2019 — audit sees 7 rows (date/registration line parsed as p23); stage2 fixed via legacy file to 5 correct final classification placements
1235149093,RNH Contest 2009,2009,1,7,135,97,0.7185,"seeding_double_count: RNH Contest 2009 — finals (43) at top of pre block, then Initial Seeding + pool brackets; audit counts all 135 numbered lines, stage2 gets 97; correct count is 43 finals only"
1036298726,Colorado Shred Symposium 4,2003,4,6,55,41,0.7455,seeding_double_count: Colorado Shred Symposium 4 2003 — mirror has qualifying-round data mixed with finals; audit counts 55 numbered lines but legacy file correctly captures 41 finals-only placements via RESULTS_FILE_OVERRIDES
857852604,Southern California Footbag Championships,1997,2,2,8,6,0.75,source_corrupt: Southern CA Champs 1997 — ERROR 42109 DB corruption; blank player slots unrecoverable
1079024287,Shercle Session #1,2004,1,3,8,6,0.75,"no_results_posted: Shercle Session #1 2004 — audit counts trick-combo lines with their own '1.' prefix (per-player best-trick entries) as placements; stage2 correctly captures only 6 real ranked placements (Shred30: 2, Sick3: 2, Ironman: 2)"
1677285621,V. Basque Tournament of Footbag Net (Individual),2023,1,1,8,6,0.75,no_results_posted: V.Basque Tournament Footbag Net (Individual) 2023 — audit sees 8 rows ('1. round' + '3rd and 4th position match' match headers counted); stage2 fixed via legacy file to 6 correct placements
1745686591,Footbag Finnish Open 2024 - Singles Net,2025,1,1,8,6,0.75,"no_results_posted: Footbag Finnish Open 2024 — audit counts '5-6' bracket header (starts with '5') and '1st round, Round Robin...' (starts with '1') as 2 extra placements; stage2 fixed via legacy file to 6 real placements (correct)"
1721923932,V.Basque Tournament of Footbag Net (Doubles),2024,2,1,4,3,0.75,"no_results_posted: V.Basque Tournament Footbag Net (Doubles) 2024 — audit sees 4 rows; p2 entry lists 3 players (2 + reserve), stage2 correctly captures 3 teams"
1487797845,19th Annual IFPA European Footbag Championships,2017,6,11,217,167,0.7696,seeding_double_count: 19th IFPA Euro Champs 2017 — Initial Seeding + Semifinal + Finals
1081766954,Russian Open Footbag Series/ Stage 2,2004,1,2,14,11,0.7857,no_results_posted: Russian Open Stage 2 2004 — group-range entries ('5-8') with team names not parseable as individual players; stage2 captures reachable entries only
1172931308,Montreal Spring Jam 2,2007,3,4,20,16,0.8,seeding_double_count: Montreal Spring Jam 2 2007 — 'Best Trick' and 'Best Link' are sub-categories of 'Overall Best Tricks' ranking; audit counts both as separate groups (6 extra rows). Stage2 correctly captures 16 non-redundant placements.
1598616506,II. Basque Tournament of Footbag Net (Individual),2020,1,1,10,8,0.8,no_results_posted: II.Basque Tournament Footbag Net (Individual) 2020 — audit sees 10 rows; numbered pool/match lines inflate count; real final classification has 8; stage2 correct
1564005204,I. Ereaga Footbag Net Tournament (Doubles) 2019,2019,1,1,5,4,0.8,no_results_posted: I.Ereaga Footbag Net Tournament (Doubles) 2019 — audit sees 5 rows; numbered pool/match lines inflate count; real final classification has 4; stage2 correct
1574365921,Basque Open Footbag Net Tournament (Doubles),2019,1,1,5,4,0.8,no_results_posted: Basque Open Footbag Net Tournament (Doubles) 2019 — audit sees 5 rows; numbered pool/match lines inflate count; real final classification has 4; stage2 correct (p4 name has source typo '7' for separator)
1653647467,I. Elorrieta Tournament of Footbag Net (Basque Country),2022,1,1,5,4,0.8,no_results_posted: I.Elorrieta Tournament Footbag Net (Basque Country) 2022 — audit sees 5 rows; numbered pool/match lines inflate count; real final classification has 4; stage2 correct
