event_id,year,event_name,event_type,division_raw,placement_num,player_text,source_line
857852604,1997,Southern California Footbag Championships,freestyle,Open Singles Routines,1,Ryan Donohoe (USA),1. Ryan Donohoe (USA)
857852604,1997,Southern California Footbag Championships,freestyle,Open Singles Routines,2,Eric Windsor (USA),2. Eric Windsor (USA)
857852604,1997,Southern California Footbag Championships,freestyle,Open Singles Routines,3,Ethan Husted (USA),3. Ethan Husted (USA)
857852604,1997,Southern California Footbag Championships,freestyle,Open Singles Routines,4,(),4.   ()
857852604,1997,Southern California Footbag Championships,freestyle,Open Singles Routines,5,John Leys (USA),5. John Leys (USA)
857852604,1997,Southern California Footbag Championships,freestyle,Intermediate Singles Routines,1,Mark DeFilippo (USA),1. Mark DeFilippo (USA)
857852604,1997,Southern California Footbag Championships,freestyle,Intermediate Singles Routines,2,Aaron De Glanville (USA),2. Aaron De Glanville (USA)
857852604,1997,Southern California Footbag Championships,freestyle,Intermediate Singles Routines,3,(),3.   ()
857874500,1997,University of Oregon Footbag Tournament,mixed,The Results,1,"Jim ""Toes"" Fitzgerald (23)                   1. Andy Ronald/ Jeff Johnson","1. Jim ""Toes"" Fitzgerald (23)                   1. Andy Ronald/ Jeff Johnson"
857874500,1997,University of Oregon Footbag Tournament,mixed,The Results,2,Becca English-Ross (27)                      2. Becca English-Ross/Mike Bilan,2. Becca English-Ross (27)                      2. Becca English-Ross/Mike Bilan
857874500,1997,University of Oregon Footbag Tournament,mixed,The Results,3,"Jeff ""Animal"" Johnson (28)             TIE   3. Jim Fitzgerald/ Tricia George","3. Jeff ""Animal"" Johnson (28)             TIE   3. Jim Fitzgerald/ Tricia George"
857874500,1997,University of Oregon Footbag Tournament,mixed,The Results,4,Andy Ronald (29)                             3. Gregg Potts/ Jim Cobb,4. Andy Ronald (29)                             3. Gregg Potts/ Jim Cobb
857874500,1997,University of Oregon Footbag Tournament,mixed,The Results,1,Judy Prokopiak/ Lucas                        1.,1. Judy Prokopiak/ Lucas                        1.
857874500,1997,University of Oregon Footbag Tournament,mixed,The Results,2,2.,2.                                              2.
857874500,1997,University of Oregon Footbag Tournament,mixed,The Results,3,Eli Laird/ Barry Thorsen                     3.,3. Eli Laird/ Barry Thorsen                     3.
857874500,1997,University of Oregon Footbag Tournament,mixed,The Results,4,4.,4.                                              4.
857874500,1997,University of Oregon Footbag Tournament,mixed,The Results,1,Charlie Baldwin                              1. Christy Rapp/ Wendy Curran,1. Charlie Baldwin                              1. Christy Rapp/ Wendy Curran
857874500,1997,University of Oregon Footbag Tournament,mixed,The Results,2,Bobby Heiney                                 2. Iain McKechnie/ Ben Kersens,2. Bobby Heiney                                 2. Iain McKechnie/ Ben Kersens
857874500,1997,University of Oregon Footbag Tournament,mixed,The Results,3,Iain McKechnie                               3. Aaron Gregg/ Bobby Heiney,3. Iain McKechnie                               3. Aaron Gregg/ Bobby Heiney
857874500,1997,University of Oregon Footbag Tournament,mixed,The Results,4,Aaron Gregg                                  4. Will Webb/ Tyler Lynn,4. Aaron Gregg                                  4. Will Webb/ Tyler Lynn
857874500,1997,University of Oregon Footbag Tournament,mixed,The Results,1,Julie Symons,1. Julie Symons
857874500,1997,University of Oregon Footbag Tournament,mixed,The Results,2,Becca English-Ross,2. Becca English-Ross
857874500,1997,University of Oregon Footbag Tournament,mixed,The Results,3,Evanne LaMarche,3. Evanne LaMarche
857874500,1997,University of Oregon Footbag Tournament,mixed,The Results,4,Amy Westberg,4. Amy Westberg
857874500,1997,University of Oregon Footbag Tournament,mixed,The Results,1,Dave Bernard III                             1. Dave Bernard/ Chris Routh,1. Dave Bernard III                             1. Dave Bernard/ Chris Routh
857874500,1997,University of Oregon Footbag Tournament,mixed,The Results,2,"Chris ""Gator"" Routh                          2. Kenny Shults/ Rob Adams","2. Chris ""Gator"" Routh                          2. Kenny Shults/ Rob Adams"
857874500,1997,University of Oregon Footbag Tournament,mixed,The Results,3,Andy Ronald                                  3. Julie Symons/ Alexi Deschenes,3. Andy Ronald                                  3. Julie Symons/ Alexi Deschenes
857874500,1997,University of Oregon Footbag Tournament,mixed,The Results,4,Patrick Aswad                                4. Thomas Loria/ Jim Cobb,4. Patrick Aswad                                4. Thomas Loria/ Jim Cobb
857874500,1997,University of Oregon Footbag Tournament,mixed,The Results,1,Tricia George/ Kenny Shults,1. Tricia George/ Kenny Shults
857874500,1997,University of Oregon Footbag Tournament,mixed,The Results,2,Julie Symons/ Alexi Deschenes,2. Julie Symons/ Alexi Deschenes
857874500,1997,University of Oregon Footbag Tournament,mixed,The Results,3,Evanne La Marche/ Andy Ronald,3. Evanne La Marche/ Andy Ronald
857874500,1997,University of Oregon Footbag Tournament,mixed,The Results,4,Juliet Pendray/ Crass,4. Juliet Pendray/ Crass
857875120,1997,Western Regional Footbag Championships,mixed,Open Singles Routines,1,Peter Irish (USA),1. Peter Irish (USA)
857875120,1997,Western Regional Footbag Championships,mixed,Open Singles Routines,2,Eric Wulff (USA),2. Eric Wulff (USA)
857875120,1997,Western Regional Footbag Championships,mixed,Open Singles Routines,3,Ryan Donohoe (USA),3. Ryan Donohoe (USA)
857875120,1997,Western Regional Footbag Championships,mixed,Open Singles Routines,3,Ahren Gehrman (USA),3. Ahren Gehrman (USA)
857875120,1997,Western Regional Footbag Championships,mixed,Women's Singles Routines,1,Sam Conlon (USA),1. Sam Conlon (USA)
857875120,1997,Western Regional Footbag Championships,mixed,Women's Singles Routines,2,Evanne LaMarche (Canada),2. Evanne LaMarche (Canada)
857875120,1997,Western Regional Footbag Championships,mixed,Women's Singles Routines,3,Lisa Monti (USA),3. Lisa Monti (USA)
857875120,1997,Western Regional Footbag Championships,mixed,Intermediate Singles Routines,1,Iain McKechnie (Canada),1. Iain McKechnie (Canada)
857875120,1997,Western Regional Footbag Championships,mixed,Intermediate Singles Routines,2,Jeff Gran (USA),2. Jeff Gran (USA)
857875120,1997,Western Regional Footbag Championships,mixed,Intermediate Singles Routines,3,Forest Schrodt (USA),3. Forest Schrodt (USA)
857879540,1997,The 15th Annual EAST COAST FOOTBAG CHAMPIONSHIPS,mixed,Open Singles Routines,1,Eric Wulff (USA),1. Eric Wulff (USA)
857879540,1997,The 15th Annual EAST COAST FOOTBAG CHAMPIONSHIPS,mixed,Open Singles Routines,2,Scott Davidson (USA),2. Scott Davidson (USA)
857879540,1997,The 15th Annual EAST COAST FOOTBAG CHAMPIONSHIPS,mixed,Open Singles Routines,3,Toby Robinson (USA),3. Toby Robinson (USA)
857879540,1997,The 15th Annual EAST COAST FOOTBAG CHAMPIONSHIPS,mixed,Open Singles Routines,4,Tu Vu (USA),4. Tu Vu (USA)
857879540,1997,The 15th Annual EAST COAST FOOTBAG CHAMPIONSHIPS,mixed,Open Singles Routines,5,Adrian Verhoef (Canada),5. Adrian Verhoef (Canada)
857879540,1997,The 15th Annual EAST COAST FOOTBAG CHAMPIONSHIPS,mixed,Open Singles Routines,6,(),6.   ()
857879540,1997,The 15th Annual EAST COAST FOOTBAG CHAMPIONSHIPS,mixed,Open Singles Routines,7,David Hillis (USA),7. David Hillis (USA)
857879540,1997,The 15th Annual EAST COAST FOOTBAG CHAMPIONSHIPS,mixed,Open Singles Routines,8,Valeria Davidson (USA),8. Valeria Davidson (USA)
857880054,1997,Bedford (Australia) Indoor Footbag Championships,net,Results from the five minute timed consecutives were as follows,1,John Burrage,1st	John Burrage
857880054,1997,Bedford (Australia) Indoor Footbag Championships,net,Results from the five minute timed consecutives were as follows,2,Trevor Mazzucchelli,2nd	Trevor Mazzucchelli
857880054,1997,Bedford (Australia) Indoor Footbag Championships,net,Results from the five minute timed consecutives were as follows,3,Grant Cobett,3rd	Grant Cobett
859400929,1997,Montreal International Footbag Championships,mixed,OPEN SINGLES NET,1,Emmanuel Bouchard,1. Emmanuel Bouchard
859400929,1997,Montreal International Footbag Championships,mixed,OPEN SINGLES NET,2,Martin Cote,2. Martin Cote
859400929,1997,Montreal International Footbag Championships,mixed,OPEN SINGLES NET,3,Yves Archambault,3. Yves Archambault
859400929,1997,Montreal International Footbag Championships,mixed,OPEN SINGLES NET,3,Alexis Deschenes (tie for 3rd place),3. Alexis Deschenes (tie for 3rd place)
859400929,1997,Montreal International Footbag Championships,mixed,WOMEN'S SINGLES NET,1,Tina Lewis,1. Tina Lewis
859400929,1997,Montreal International Footbag Championships,mixed,WOMEN'S SINGLES NET,2,Amy Westberg,2. Amy Westberg
859400929,1997,Montreal International Footbag Championships,mixed,WOMEN'S SINGLES NET,3,Ann Lasken,3. Ann Lasken
859400929,1997,Montreal International Footbag Championships,mixed,WOMEN'S SINGLES NET,4,Julie Bienvenue,4. Julie Bienvenue
859400929,1997,Montreal International Footbag Championships,mixed,WOMEN'S SINGLES NET,1,Andrew Morgan / Patrick Asswad,1. Andrew Morgan / Patrick Asswad
859400929,1997,Montreal International Footbag Championships,mixed,WOMEN'S SINGLES NET,2,Martin Cote / Martin Graton,2. Martin Cote / Martin Graton
859400929,1997,Montreal International Footbag Championships,mixed,WOMEN'S SINGLES NET,3,Brent Welch / Chris Ott,3. Brent Welch / Chris Ott
859400929,1997,Montreal International Footbag Championships,mixed,WOMEN'S SINGLES NET,3,Yves Archambault / Alexis Deschenes  (tie for 3rd place),3. Yves Archambault / Alexis Deschenes  (tie for 3rd place)
859400929,1997,Montreal International Footbag Championships,mixed,INTERMEDIATE SINGLES NET,1,Jamie Lepley,1. Jamie Lepley
859400929,1997,Montreal International Footbag Championships,mixed,INTERMEDIATE SINGLES NET,2,Eric Cote,2. Eric Cote
859400929,1997,Montreal International Footbag Championships,mixed,INTERMEDIATE SINGLES NET,3,Dominique Soulard,3. Dominique Soulard
859400929,1997,Montreal International Footbag Championships,mixed,INTERMEDIATE SINGLES NET,4,Cory D. Current,4. Cory D. Current
859400929,1997,Montreal International Footbag Championships,mixed,INTERMEDIATE DOUBLES NET,1,Jamie Lepley / Garth Smith,1. Jamie Lepley / Garth Smith
859400929,1997,Montreal International Footbag Championships,mixed,INTERMEDIATE DOUBLES NET,2,Ann Lasken / Cory D. Current,2. Ann Lasken / Cory D. Current
859400929,1997,Montreal International Footbag Championships,mixed,INTERMEDIATE DOUBLES NET,3,Dominique Soulard / Genevieve Bousquet,3. Dominique Soulard / Genevieve Bousquet
859400929,1997,Montreal International Footbag Championships,mixed,INTERMEDIATE DOUBLES NET,3,Pierre-Jacques Daigle / Eric Cote  (tie for 3rd place),3. Pierre-Jacques Daigle / Eric Cote  (tie for 3rd place)
859400929,1997,Montreal International Footbag Championships,mixed,NOVICE SINGLES NET,1,Luc Legault,1. Luc Legault
859400929,1997,Montreal International Footbag Championships,mixed,NOVICE SINGLES NET,2,Pierre-Pascal Gauthier,2. Pierre-Pascal Gauthier
859400929,1997,Montreal International Footbag Championships,mixed,NOVICE SINGLES NET,3,Nathacha Mercure,3. Nathacha Mercure
859400929,1997,Montreal International Footbag Championships,mixed,NOVICE SINGLES NET,4,Michael Wiwchard,4. Michael Wiwchard
859400929,1997,Montreal International Footbag Championships,mixed,NOVICE SINGLES NET,1,Eric Wulff,1. Eric Wulff
859400929,1997,Montreal International Footbag Championships,mixed,NOVICE SINGLES NET,2,Noah Dubreuil,2. Noah Dubreuil
859400929,1997,Montreal International Footbag Championships,mixed,NOVICE SINGLES NET,3,Marc Conti,3. Marc Conti
859400929,1997,Montreal International Footbag Championships,mixed,NOVICE SINGLES NET,1,Vince Bradley / Noah Dubreuil (the only team),1. Vince Bradley / Noah Dubreuil (the only team)
859657310,1997,New York Footbag EXPLOSION,freestyle,Novice Freestyle,1,Kaiser Ahmad,1. Kaiser Ahmad
