event_key,legacy_event_id,year,event_name,city,region,country,issues
event_1997_montreal_international_footbag_championships,859400929,1997,Montreal International Footbag Championships,Montreal,Quebec,Canada,QUEBEC_ACCENT_CHECK
event_1997_new_york_footbag_explosion,859657310,1997,New York Footbag EXPLOSION,New York,New York,United States,DUPLICATE_CITY_REGION
event_1998_12th_annual_vancouver_open_footbag_net_tournament,886044392,1998,12th Annual Vancouver Open Footbag Net Tournament,Vancouver,B.C.,Canada,BAD_REGION_ABBREV
event_1998_1998_world_footbag_championships,876591529,1998,1998 WORLD FOOTBAG CHAMPIONSHIPS,Montreal,Quebec,Canada,QUEBEC_ACCENT_CHECK
event_1998_1998_winter_windchill_warm_up_lhivernal,883135865,1998,1998 Winter Windchill Warm-Up (l'Hivernal),Montreal,Quebec,Canada,QUEBEC_ACCENT_CHECK
event_1999_12th_annual_u_s_open_footbag_net_championships,912467534,1999,12th Annual U.S. Open Footbag Net Championships,Portland,Oregon,USA,COUNTRY_ABBREV
event_1999_1999_montreal_international_footbag_championship,916193231,1999,1999 Montreal International Footbag Championship,Montreal,Quebec,Canada,QUEBEC_ACCENT_CHECK
event_1999_european_footbag_open,917278465,1999,EUROPEAN FOOTBAG OPEN,Berlin,Berlin,Germany,DUPLICATE_CITY_REGION
event_1999_german_footbag_freestyle_battle_99,942013549,1999,German Footbag Freestyle Battle 99,Berlin,Berlin,Germany,DUPLICATE_CITY_REGION
event_1999_montreal_windchill_lhivernal,919885513,1999,Montreal Windchill (l'HIVERNAL),Montreal,Quebec,Canada,QUEBEC_ACCENT_CHECK
event_2000_colorado_shred_symposium,933115858,2000,Colorado Shred Symposium,Boulder,Colorado,USA,COUNTRY_ABBREV
event_2000_footbag_meeting_bern,957778745,2000,Footbag Meeting Bern,Bern,Bern,Switzerland,DUPLICATE_CITY_REGION
event_2000_montreal_international_footbag_championships,952906680,2000,Montreal International Footbag Championships,Montreal,Quebec,Canada,QUEBEC_ACCENT_CHECK
event_2000_new_zealand_footbag_championships,947196813,2000,New Zealand Footbag Championships,Wellington,Wellington,New Zealand,DUPLICATE_CITY_REGION
event_2000_quebec_city_footbag_net_championships,961626997,2000,Quebec City Footbag Net Championships,Quebec City,Quebec,Canada,QUEBEC_ACCENT_CHECK
event_2000_todexon_cup_freestyle_tournament,944242404,2000,Todexon Cup Freestyle Tournament,Prague,Prague,Czech Republic,DUPLICATE_CITY_REGION
event_2001_1st_hungarian_footbag_cup,979816633,2001,1st Hungarian Footbag Cup,Budapest,Budapest,Hungary,DUPLICATE_CITY_REGION
event_2001_1st_montreal_summer_freestyle_challenge,984694623,2001,1st Montreal Summer Freestyle Challenge,Montreal,Quebec,Canada,QUEBEC_ACCENT_CHECK
event_2001_2nd_annual_new_zealand_footbag_championships,973573676,2001,2nd Annual New Zealand Footbag Championships,Auckland,Auckland,New Zealand,DUPLICATE_CITY_REGION
event_2001_european_footbag_championships,980502839,2001,European Footbag Championships,Prague,Prague,Czech Republic,DUPLICATE_CITY_REGION
event_2001_lhivernal_the_windchill_footbag_tournament,972427576,2001,L'Hivernal (The Windchill) Footbag Tournament,Montreal,Quebec,Canada,QUEBEC_ACCENT_CHECK
