event_id,city,region,country,left_display,right_display,year_sheet_location,valid,issue
2001980001,Oregon City,Oregon,United States,"Oregon City, Oregon",United States,"Oregon City, Oregon, United States",Y,
2001981001,Oregon City,Oregon,United States,"Oregon City, Oregon",United States,"Oregon City, Oregon, United States",Y,
2001982001,Oregon City,Oregon,United States,"Oregon City, Oregon",United States,"Oregon City, Oregon, United States",Y,
2001983001,Boulder,Colorado,United States,"Boulder, Colorado",United States,"Boulder, Colorado, United States",Y,
2001983002,Boulder,Colorado,United States,"Boulder, Colorado",United States,"Boulder, Colorado, United States",Y,
2001984001,Boulder,Colorado,United States,"Boulder, Colorado",United States,"Boulder, Colorado, United States",Y,
1043096425,Long Branch,New Jersey,United States,"Long Branch, New Jersey",United States,"Long Branch, New Jersey, United States",Y,
2001985001,Golden,Colorado,United States,"Golden, Colorado",United States,"Golden, Colorado, United States",Y,
1057126024,Long Branch,New Jersey,United States,"Long Branch, New Jersey",United States,"Long Branch, New Jersey, United States",Y,
1057175925,Beachwood,New Jersey,United States,"Beachwood, New Jersey",United States,"Beachwood, New Jersey, United States",Y,
1057345914,Beachwood,New Jersey,United States,"Beachwood, New Jersey",United States,"Beachwood, New Jersey, United States",Y,
857881519,Vancouver,British Columbia,Canada,"Vancouver, British Columbia",Canada,"Vancouver, British Columbia, Canada",Y,
857880964,Mt. Prospect,Illinois,United States,"Mt. Prospect, Illinois",United States,"Mt. Prospect, Illinois, United States",Y,
860356126,Seattle,Washington,United States,"Seattle, Washington",United States,"Seattle, Washington, United States",Y,
876590022,Seattle,Washington,United States,"Seattle, Washington",United States,"Seattle, Washington, United States",Y,
859913311,Scottsdale,Arizona,United States,"Scottsdale, Arizona",United States,"Scottsdale, Arizona, United States",Y,
877848852,Auburn,Alabama,United States,"Auburn, Alabama",United States,"Auburn, Alabama, United States",Y,
857880054,Perth,Western Australia,Australia,Perth,Australia,"Perth, Australia",Y,
859923755,Santa Rosa,California,United States,"Santa Rosa, California",United States,"Santa Rosa, California, United States",Y,
857876870,Eugene,Oregon,United States,"Eugene, Oregon",United States,"Eugene, Oregon, United States",Y,
