event_key,legacy_event_id,year,event_name,orig_city,orig_region,orig_country,new_city,new_region,new_country,changed,rules_applied
1980-worlds-oregon-city-oregon,9905304,1980,1980 World Footbag Championships,Oregon City,,Oregon,Oregon City,,Oregon,no,
1980-worlds-memphis-tennessee,9928572,1980,1980 World Footbag Championships,Memphis,,Tennessee,Memphis,,Tennessee,no,
1980-championships-corvallis-usa,2001980003,1980,Western States Footbag Championships 1980,Corvallis,Oregon,United States,Corvallis,Oregon,United States,no,
1980-worlds-oregon-city-usa,2001980001,1980,World Championships 1980 (NHSA),Oregon City,Oregon,United States,Oregon City,Oregon,United States,no,
1980-worlds-memphis-usa,2001980002,1980,World Footbag Championships 1980 (IFAB),Memphis,Tennessee,United States,Memphis,Tennessee,United States,no,
1981-worlds-rohnert-park-california,9966902,1981,1981 World Footbag Championships,Rohnert Park,,California,Rohnert Park,,California,no,
1981-worlds-portland-oregon,9992129,1981,1981 World Footbag Championships,Portland,,Oregon,Portland,,Oregon,no,
1981-championships-texas-usa,2001981004,1981,Texas State Footbag Championships 1981,,Texas,United States,,Texas,United States,no,
1981-worlds-oregon-city-usa,2001981001,1981,World Championships 1981 (NHSA),Oregon City,Oregon,United States,Oregon City,Oregon,United States,no,
1981-worlds-san-dimas-usa,2001981003,1981,World Footbag Championships 1981 (IFAB/FBW),San Dimas,California,United States,San Dimas,California,United States,no,
1982-worlds-san-diego-california,9901155,1982,1982 World Footbag Championships,San Diego,,California,San Diego,,California,no,
1982-worlds-golden-colorado,9998504,1982,1982 World Footbag Championships,Golden,,Colorado,Golden,,Colorado,no,
1982-open-colorado-usa,2001982004,1982,Rocky Mountain Open 1982,,Colorado,United States,,Colorado,United States,no,
1982-worlds-oregon-city-usa,2001982001,1982,World Championships 1982 (NHSA),Oregon City,Oregon,United States,Oregon City,Oregon,United States,no,
1982-worlds-unknown-city-portland-or,9921901,1982,World Footbag Championships,,,Portland OR,,,Portland OR,no,
1982-worlds-portland-usa,2001982005,1982,World Footbag Championships 1982 (FQ),Portland,Oregon,United States,Portland,Oregon,United States,no,
1982-worlds-san-francisco-usa,2001982003,1982,World Footbag Championships 1982 (IFAB),San Francisco,California,United States,San Francisco,California,United States,no,
1983-worlds-golden-colorado,9904297,1983,1983 World Footbag Championships,Golden,,Colorado,Golden,,Colorado,no,
1983-secret-underground-jam-unknown-city-unknown-country,9934528,1983,Secret Underground Jam,,,,,,,no,
1983-worlds-boulder-usa-2001983001,2001983001,1983,World Championships 1983 (NHSA),Boulder,Colorado,United States,Boulder,Colorado,United States,no,
1983-worlds-boulder-usa-2001983002,2001983002,1983,World Championships 1983 (WFA),Boulder,Colorado,United States,Boulder,Colorado,United States,no,
1983-worlds-oregon-city-usa,2001983005,1983,World Footbag Championships 1983 (IFAB),Oregon City,Oregon,United States,Oregon City,Oregon,United States,no,
1984-worlds-golden-colorado,9924417,1984,1984 World Footbag Championships,Golden,,Colorado,Golden,,Colorado,no,
1984-championships-unknown-city-unknown-country,2001984004,1984,European Footbag Championships 1984,,,,,,,no,
1984-worlds-boulder-usa,2001984001,1984,World Championships 1984,Boulder,Colorado,United States,Boulder,Colorado,United States,no,
1984-worlds-oregon-city-usa,2001984003,1984,World Footbag Championships 1984 (IFAB),Oregon City,Oregon,United States,Oregon City,Oregon,United States,no,
1985-1985-holiday-classic-san-diego-california,9984533,1985,1985 Holiday Classic,San Diego,,California,San Diego,,California,no,
1985-championships-long-branch-usa,1043096425,1985,East Coast Championships - 3rd Annual - 1985,Long Branch,New Jersey,United States,Long Branch,New Jersey,United States,no,
1985-floodbag-finals-vancouver-washington,9972848,1985,Floodbag Finals,Vancouver,,Washington,Vancouver,,Washington,no,
1985-open-boulder-colorado,9918278,1985,Greatest Lakes Footbag Open,Boulder,,Colorado,Boulder,,Colorado,no,
1985-st-valentines-day-fort-collins-colorado,9958186,1985,St. Valentines Day Footbag Massacre,Fort Collins,,Colorado,Fort Collins,,Colorado,no,
1985-wfa-rocky-mountain-kansas-city-missouri,9980521,1985,WFA Rocky Mountain Regionals,Kansas City,,Missouri,Kansas City,,Missouri,no,
1985-nationals-chicago-illinois,9940469,1985,Western National Indoor Footbag Freestyle Championship,Chicago,,Illinois,Chicago,,Illinois,no,
1985-championships-portland-usa,2001985004,1985,Western States Footbag Championships 1985,Portland,Oregon,United States,Portland,Oregon,United States,no,
1985-worlds-golden-usa-2001985001,2001985001,1985,World Championships 1985,Golden,Colorado,United States,Golden,Colorado,United States,no,
1985-worlds-golden-usa-2001985005,2001985005,1985,World Footbag Championships 1985 (FBW),Golden,Colorado,United States,Golden,Colorado,United States,no,
1986-championships-long-branch-usa,1057126024,1986,East Coast Footbag Championships - 4th Annual - 1986,Long Branch,New Jersey,United States,Long Branch,New Jersey,United States,no,
