person_a_id,person_a_name,person_a_appearances,person_b_id,person_b_name,person_b_appearances,shared_last_token,score_first_name,score_total,confidence_bucket,suggested_action,years_a,years_b
7bc685c0-1903-5a2c-a906-a0e98e989516,Robert Lee Mistretta,1,2b39a2d9-e069-5a44-8333-ba58e33b13b5,Robert Mistretta,0,mistretta,1.0000,0.9889,HIGH,LIKELY_ALIAS,1999,
e7a8d967-1cd4-5bb3-a6b4-df3d02f5261f,Guilaume Degat,1,dad697e8-36ed-598e-84b3-8105a2868685,Guillaume Degat,29,degat,0.9778,0.9877,HIGH,LIKELY_ALIAS,2019,2008|2009|2010|2011|2012|2014|2015|2016|2017|2018|2022|2024|2025
f73415ed-f8d8-5b37-a56c-87fb2f93422a,Michael Lamberjohann,11,db93ccb4-3986-5b10-81c8-416cfea6ac09,Michiael Lamberjohann,0,lamberjohann,0.9750,0.9876,HIGH,LIKELY_ALIAS,2009|2011|2012|2013|2016|2017|2019,
995409d3-edde-58b5-806a-029f05ad5047,Barthélémy Meridjen,7,c653acac-232c-57bf-a21f-69168681b046,Bathélémy Meridjen,0,meridjen,0.9733,0.9866,HIGH,LIKELY_ALIAS,2015|2016|2017|2018|2022,
c29c4aa7-5b1e-54d1-9435-2a45edfd669c,Christopher Schillem,63,5a81a6d9-0309-5dc5-aaac-38ef59d8d4ac,Cristopher Schillem,1,schillem,0.9727,0.9865,HIGH,LIKELY_ALIAS,2008|2009|2010|2011|2012|2015|2016|2019|2021|2022|2023|2024|2025,2025
10a39ec4-94c9-5c7b-8f48-7cc8d43ea954,Mathieu Vaillancourt,1,86859993-7c89-5dda-b053-b1f44971fcf6,Matthieu Vaillancourt,1,vaillancourt,0.9708,0.9859,HIGH,LIKELY_ALIAS,2001,2000
be0d9849-db58-5aa2-90cc-df475a8c43bd,Alex Ibardaloza,0,1b7f1d70-1719-533a-957a-1dae6a2dc23e,Alex Zeke Ibardaloza,2,ibardaloza,1.0000,0.9857,HIGH,LIKELY_ALIAS,,2006
431a10dd-7c0b-570c-be3a-e3a4e8a391b9,Mathias Lino Schmidt,1,a729ed87-422a-5f42-bd5f-2ab57de8b232,Mathias Schmidt,2,schmidt,1.0000,0.9857,HIGH,LIKELY_ALIAS,2010,2006|2012
5b56ba95-212f-50c9-8679-c43966fffa44,Marielou Roy,1,501e621b-f61e-561d-bfad-0499c2831637,Marilou Roy,0,roy,0.9750,0.9857,HIGH,LIKELY_ALIAS,2011,
ee1aedfe-c34a-5e70-abf9-44650e1b1859,Patrick Schrickel,10,d6947450-a75f-5dc9-aee6-0de53c118b83,Patrik Schrickel,0,schrickel,0.9714,0.9855,HIGH,LIKELY_ALIAS,2001|2002|2003|2004|2005|2006|2007|2010,
4f1ad079-d875-5f6c-a10c-85f9b0e50fc7,Mathias Feulner,0,4cc88952-38c1-5da8-8e6e-3da2dbf6704d,Matthias Feulner,1,feulner,0.9708,0.9851,HIGH,LIKELY_ALIAS,,2013
8dcb2d11-b913-536d-9308-1844c57aba26,Jeremey Mirken,1,31bd4e75-1a44-56b4-94b3-071cdc8dee82,Jeremy Mirken,32,mirken,0.9714,0.9849,HIGH,LIKELY_ALIAS,2009,2001|2002|2003|2006|2007|2008|2009|2010|2011|2012|2013|2017|2019
e7f08a8a-b913-555d-bd73-081a2b1b53b9,Michael Sauren,0,b6324016-900b-5b30-86d7-5a1d9dde113e,Michal Sauren,1,sauren,0.9714,0.9849,HIGH,LIKELY_ALIAS,,2003
b54020bc-1a1a-5d23-89e1-34617b3514fa,Jim Fitzgerald,3,af0099f9-0c87-581b-af29-8f875064cbb4,Jim Toes Fitzgerald,3,fitzgerald,1.0000,0.9848,HIGH,LIKELY_ALIAS,1997|1998|1999,1997|1998
fb6337dd-c379-5dec-9242-5f9f977250aa,Michael Danek,1,5e37b75c-a609-52d6-bc6f-a327599b56db,Michal Danek,8,danek,0.9714,0.9846,HIGH,LIKELY_ALIAS,2003,2003|2004|2005
60f2f097-5583-5ef1-afc0-d077656d1026,Nicholas Janin,2,4e6f43e2-e696-59ca-81f1-8f45729a2df4,Nicolas Janin,11,janin,0.9708,0.9846,HIGH,LIKELY_ALIAS,2017,2011|2012|2014|2015|2016|2017|2018|2019
f4d65667-f58f-5213-a2a3-6b985aa50dc5,Mathias Blau,23,3bb4acdb-16bf-56d5-bfbe-b2a68982a617,Matthias Blau,4,blau,0.9708,0.9843,HIGH,LIKELY_ALIAS,2011|2012|2013|2014|2015|2018|2019,2006|2019
