event_id,event_name,original_location,normalized_location,reason
1628596712,II. Basque Tournament of Footbag Net (Doubles),"Bilbao, Basque Country","Bilbao, Basque Country, Spain",country_fix: 'Basque Country' → 'Spain'
1547720079,Open de France 2019,"Nantes, FRANCE","Nantes, Pays de la Loire, France",country_fix: 'FRANCE' → 'France'
1562271704,Ohio Footbag Jam,"Ohio, United States","Columbus, Ohio, United States",normalised
912467534,12th Annual U.S. Open Footbag Net Championships,"Oregon, United States","Portland, Oregon, United States",normalised
1587822289,,(empty),"Online, Global, Global",province_as_city_fix
1623054449,2021 IFPA Online World Footbag Freestyle Championships,(empty),"Online, Global, Global",province_as_city_fix
1022992222,Shred Zero Summer Open 2002,"Alberta, Canada","Calgary, Alberta, Canada",province_as_city_fix
1036653244,2003 Shred Zero Summer Open,"Alberta, Canada","Calgary, Alberta, Canada",province_as_city_fix
1151949245,,"Alberta, Canada","Calgary, Alberta, Canada",province_as_city_fix
1181021804,ShrEdmonton Freestyle Assembly 2007,"Alberta, Canada","Edmonton, Alberta, Canada",province_as_city_fix
1208408135,ShrEdmonton Freestyle Assembly 2008,"Alberta, Canada","Edmonton, Alberta, Canada",province_as_city_fix
857880054,Bedford (Australia) Indoor Footbag Championships,"Australia, Australia","Perth, Western Australia, Australia",province_as_city_fix
857881519,11th Annual Vancouver Open (and Worlds Warm-Up),"B.C., Canada","Vancouver, British Columbia, Canada",province_as_city_fix
886044392,12th Annual Vancouver Open Footbag Net Tournament,"B.C., Canada","Vancouver, British Columbia, Canada",province_as_city_fix
919703711,13th Annual Vancouver Open Footbag Net Tournament,"B.C., Canada","Vancouver, British Columbia, Canada",province_as_city_fix
941418343,WORLD FOOTBAG CHAMPIONSHIPS,"B.C., Canada","Vancouver, British Columbia, Canada",province_as_city_fix
990905420,Vancouver Open Footbag Tournament,"B.C., Canada","Vancouver, British Columbia, Canada",province_as_city_fix
1034985978,2003 Canadian Open Footbag Championships,"B.C., Canada","Vancouver, British Columbia, Canada",province_as_city_fix
1079664495,May Day '04,"B.C., Canada","Victoria, British Columbia, Canada",province_as_city_fix
1180496320,20th Annual Vancouver Open Net Footbag Tournament,"B.C., Canada","Vancouver, British Columbia, Canada",province_as_city_fix
1245199707,22nd Annual Vancouver Open Footbag Tournament,"B.C., Canada","Vancouver, British Columbia, Canada",province_as_city_fix
1310408325,24th Annual Vancouver Open & Golf Tournament,"B.C., Canada","Vancouver, British Columbia, Canada",province_as_city_fix
1337309613,25th Annual Vancouver Open Footbag Championships,"B.C., Canada","Vancouver, British Columbia, Canada",province_as_city_fix
1278991986,,"Columbia, Canada","Vancouver, British Columbia, Canada",province_as_city_fix
1124840254,The Hackrifice Open 2005,"Manitoba, Canada","Winnipeg, Manitoba, Canada",province_as_city_fix
1156283186,The Hackrifice Open 2006,"Manitoba, Canada","Winnipeg, Manitoba, Canada",province_as_city_fix
1188233129,The 9th Hackrifice Open 2007,"Manitoba, Canada","Winnipeg, Manitoba, Canada",province_as_city_fix
1208064566,The 10th Annual Hackrifice Open Footbag Championship,"Manitoba, Canada","Winnipeg, Manitoba, Canada",province_as_city_fix
1233718528,The 7th Australian National Footbag Championships,"NSW, Australia","Sydney, New South Wales, Australia",province_as_city_fix
1238728089,2009 Winter Buce League,"NSW, Australia","Sydney, New South Wales, Australia",province_as_city_fix
1234761224,Kick Volley 01,"Quebec, Canada","Montréal, Quebec, Canada",province_as_city_fix
1267920908,KICK VOLLEY 02,"Quebec, Canada","Montréal, Quebec, Canada",province_as_city_fix
1269111845,"The King of the Hill 2010, presented by Aki Québec","Quebec, Canada","Montréal, Quebec, Canada",province_as_city_fix
1272817638,"The AkiSphere 2010, presented by AKIQ","Quebec, Canada","Montréal, Quebec, Canada",province_as_city_fix
1287703732,Kick Volley 03,"Quebec, Canada","Montréal, Quebec, Canada",province_as_city_fix
1301837216,"The King of the Hill 2011, presented by Aki Québec","Quebec, Canada","Montréal, Quebec, Canada",province_as_city_fix
1301837824,"The AkiSphere 2011, presented by AKIQ","Quebec, Canada","Montréal, Quebec, Canada",province_as_city_fix
1327693335,Kick Volley 04,"Quebec, Canada","Montréal, Quebec, Canada",province_as_city_fix
987985282,,"Queensland, Australia","Townsville, Queensland, Australia",province_as_city_fix
1025084282,1st Queensland Footbag Challenge,"Queensland, Australia","Logan City, Queensland, Australia",province_as_city_fix
988325277,Saskatchewan Footbag Championships,"Saskatchewan, Canada","Regina, Saskatchewan, Canada",province_as_city_fix
1032602594,Victorian Footbag Championships,"Victoria, Australia","Melbourne, Victoria, Australia",province_as_city_fix
1061453080,Australian East Coast Regionals,"Victoria, Australia","Melbourne, Victoria, Australia",province_as_city_fix
1121753561,2006 Australian Footbag Championships,"Victoria, Australia","Melbourne, Victoria, Australia",province_as_city_fix
996293200,Australian Footbag Championships,"Wales, Australia","Sydney, New South Wales, Australia",province_as_city_fix
1035817350,New South Wales Footbag Championships,"Wales, Australia","Sydney, New South Wales, Australia",province_as_city_fix
1071060801,Aachen Indoor Open 2004,"Aachen, Germany","Aachen, North Rhine-Westphalia, Germany",region_added
1106561176,,"Aachen, Germany","Aachen, North Rhine-Westphalia, Germany",region_added
1179679872,German Footbag Championships 2007,"Aachen, Germany","Aachen, North Rhine-Westphalia, Germany",region_added
1183654670,1st South American IFPA Footbag Championships,"Antioquia, Colombia","Medellín, Antioquia, Colombia",region_added
1346947092,6o Suramericano de Footbag,"Antioquia, Colombia","Medellín, Antioquia, Colombia",region_added
1346948712,1o Torneo Nacional de Footbag,"Antioquia, Colombia","Medellín, Antioquia, Colombia",region_added
1399929003,2da Copa Bobston de Footbag Net individual,"Antioquia, Colombia","Medellín, Antioquia, Colombia",region_added
1515176008,Copa Medellin De Footbag,"Antioquia, Colombia","Medellín, Antioquia, Colombia",region_added
1527557123,Suramericano de Footbag Net y Freestyle,"Antioquia, Colombia","Medellín, Antioquia, Colombia",region_added
1537994275,2o Torneo Nacional de Footbag,"Antioquia, Colombia","Medellín, Antioquia, Colombia",region_added
1549597969,4ta Copa BoBston de Footbag 2019,"Antioquia, Colombia","Medellín, Antioquia, Colombia",region_added
1568692191,MedeJam de Footbag 2019,"Antioquia, Colombia","Medellín, Antioquia, Colombia",region_added
1730420667,5ta Copa Bobston de Footbag Net,"Antioquia, Colombia","Medellín, Antioquia, Colombia",region_added
1760495074,6a Copa Bobston de Footbag,"Antioquia, Colombia","Medellín, Antioquia, Colombia",region_added
1487797845,19th Annual IFPA European Footbag Championships,"Aranjuez, Spain","Aranjuez, Community of Madrid, Spain",region_added
948943299,First Annual Arica Open,"Arica, Chile","Arica, Arica y Parinacota, Chile",region_added
977260894,Second Annual Arica Open,"Arica, Chile","Arica, Arica y Parinacota, Chile",region_added
1296449468,,"Atlantico, Colombia","Barranquilla, Atlántico, Colombia",region_added
1378821205,Championnat de France de Footbag 2013,"Atlantique, France","Nantes, Loire-Atlantique, France",region_added
1709496969,Open de France de Footbag 2024,"Atlantique, France","Nantes, Loire-Atlantique, France",region_added
973573676,2nd Annual New Zealand Footbag Championships,"Auckland, New Zealand","Auckland, Auckland, New Zealand",region_added
1011556608,FOOTJAM meets 3BORDERSCUP,"Basel, Switzerland","Basel, Basel-Stadt, Switzerland",region_added
1004370976,Bootfägers Shred,"Basel-Stadt, Switzerland","Basel, Basel-Stadt, Switzerland",region_added
917278465,EUROPEAN FOOTBAG OPEN,"Berlin, Germany","Berlin, Berlin, Germany",region_added
942013549,German Footbag Freestyle Battle 99,"Berlin, Germany","Berlin, Berlin, Germany",region_added
1020262608,,"Berlin, Germany","Berlin, Berlin, Germany",region_added
1094071528,1. Footbag- Net- Jam Berlin 04,"Berlin, Germany","Berlin, Berlin, Germany",region_added
1100728799,FC Footstar's 7th Anniversary,"Berlin, Germany","Berlin, Berlin, Germany",region_added
1161167528,German Footbag Championships 2006,"Berlin, Germany","Berlin, Berlin, Germany",region_added
1195677906,FC Footstar's 10th anniversary,"Berlin, Germany","Berlin, Berlin, Germany",region_added
1226679678,30th Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS,"Berlin, Germany","Berlin, Berlin, Germany",region_added
1254662073,FC Footstar Berlin 12th Birthday Jam,"Berlin, Germany","Berlin, Berlin, Germany",region_added
1282224512,12th Annual German Footbag Championships,"Berlin, Germany","Berlin, Berlin, Germany",region_added
1319622692,14th FC Footstar anniversary,"Berlin, Germany","Berlin, Berlin, Germany",region_added
1349043745,15 Years FC Footstar,"Berlin, Germany","Berlin, Berlin, Germany",region_added
1377192359,15th Annual German Footbag Championships & Open,"Berlin, Germany","Berlin, Berlin, Germany",region_added
1383076667,Sweet Six-Teen - Footstar B-Day 2014,"Berlin, Germany","Berlin, Berlin, Germany",region_added
