year,event_id,tournament_name,date_raw,location_raw,source_sheet,source_cell
1985,1043096425,East Coast Championships - 3rd Annual - 1985,"September 14-15, 1985","Monmouth College Long Branch, New Jersey, USA",1985,B4
1986,1057126024,East Coast Footbag Championships - 4th Annual - 1986,"September 30, 1986","Monmouth College Long Branch, New Jersey, USA",1986,B4
1990,1057175925,East Coast Footbag Championships - 8th Annual - 1990,"August 31, 1990","Mayo Park Beachwood, New Jersey, USA",1990,B4
1991,1057345914,East Coast Footbag Championships - 1991 - 9th Annual,"October 5-6, 1991","Mayo Park Beachwood, NK, USA",1991,B4
1997,857852604,Southern California Footbag Championships,"April 5-6, 1997","Hermosa Valley Park Hermosa Beach, California, USA",1997,B4
1998,876331623,Southern California Footbag Championships,"April 4-5, 1998","Hermosa Valley Park Hermosa Beach, California, USA",1998,B4
1999,903468009,Southern California Footbag Championships,"April 10-11, 1999","Hermosa Valley Park Hermosa Beach, CA",1999,B4
2000,933099911,4th Annual Air-A-Zona Footbag Net Tournament,"January 15-17, 2000","ASU Tempe, Arizona, USA",2000,B4
2001,972427576,L'Hivernal (The Windchill) Footbag Tournament,"February 10-11, 2001","Cegep du Vieux-Montr?al (College of Vieux-Montreal) Montreal, Quebec, Canada",2001,B4
2002,1011291051,Quebec City Footbag Net Championships 2002,"July 12-14, 2002","Plaines of Abraham Quebec City, Quebec, Canada",2002,B4
2003,1031334528,Funtastik Summer Classic Footbag Tournament,"August 30-September 1, 2003","Sunshine Park & City Island Harrisburg, Pennsylvania, USA",2003,B4
2004,1042566573,The 4th Annual Chilly Philly Freestyle Jam,"January 2-3, 2004","Levy Tennis Pavillion Philadelphia, Pennsylvania, USA",2004,B4
2005,1097686137,Swiss Championships 2005,"April 9-10, 2005","Fribourg, Switzerland, Switzerland",2005,B4
2006,1121753561,2006 Australian Footbag Championships,"January 13-15, 2006","Melbourne Sports & Aquatic Centre - Show Court Melbourne, Victoria, Australia",2006,B4
2007,1154685554,9th Annual IFPA European Footbag Championships,"July 19-22, 2007","Vienna, Austria",2007,B4
2008,1189467124,Phoenix Open,"January 19-21, 2008","Snedigar Park Phoenix, Arizona, USA",2008,B4
2009,1225370942,Frankfurt Footbag Open - *Bembel Cup 2009*,"July 11-12, 2009","Frankfurt, Germany",2009,B4
2010,1252451527,Funtastik Summer Classic,"September 4-6, 2010","Harrisburg, Pennsylvania, USA",2010,B4
2011,1287703732,Kick Volley 03,"March 26-27, 2011","Cegep du Vieux-Montreal Montréal, QC, Canada",2011,B4
2012,1319622692,14th FC Footstar anniversary,"January 28-29, 2012","Otto-Ostrowski-Str. Berlin, Germany",2012,B4
2013,1327693335,Kick Volley 04,"June 15-16, 2013","Parc Beaubien, 9?me ave. et Beaubien Montréal, QC, Canada",2013,B4
2014,1383076667,Sweet Six-Teen - Footstar B-Day 2014,"February 1-2, 2014","Berlin, Germany",2014,B4
2015,1408070192,New Year's Footbag Jam,"January 3-4, 2015","TBA Ann Arbor, Michigan, USA",2015,B4
2016,1446571794,FC Footstar's 18th Anniversary,"January 29-31, 2016","Margarethe-von-Witzleben-Schule, Berlin Berlin, Germany",2016,B4
2017,1471686537,38th Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS 2017,"August 6-12, 2017","Oregon Convention Center, additional sites Portland, Oregon, USA",2017,B4
2018,1502997442,Lake Erie Footbag Tournament & Freestyle Jam,"June 9-10, 2018","Frontier Park Erie, Pennsylvania, USA",2018,B4
2019,1529239199,Lake Erie Footbag Tournament,"June 8-9, 2019","Frontier Park Erie, Pennsylvania, USA",2019,B4
2020,1580328152,Bulgarian Footbag Championships 2020,"June 20-22, 2020","Park ""Ayazmo"", Mitropolit Metodiy Kusev, Stara Zagora Stara Zagora, Bulgaria, Bulgaria",2020,B4
2021,1614772897,Bulgarian Footbag Open 2021,"May 22-24, 2021","Stara Zagora, Bulgaria",2021,B4
2022,1565425638,Swiss Footbag Open 2022,"October 29-30, 2022","Lausanne, Vaud, Switzerland",2022,B4
2023,1664206719,2023 US Open,"June 9-11, 2023","Perry Square: 571, Erie, PA, United States",2023,B4
2024,1706036811,43rd Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS 2024,"July 29-August 3, 2024","Park Lalancette Montreal, Quebec, Canada",2024,B4
2025,1736265216,Footbag Finnish Open 2024,"January 11, 2025","Mandatum Center Helsinki, Finland",2025,B4
2026,1764237004,Swiss Footbag Open 2026,"October 10-11, 2026","Centre Omnisports des Bergières Lausanne, Vaud, Switzerland",2026,B4
