person_canon,effective_person_id,member_id,match_confidence,match_method,source_url,notes
Aaro Wichmann,b7a11079-a08c-5010-9f3f-35e35e46e966,53085,high,NORMALIZED_NAME_MATCH,http://www.footbag.org/members/profile/53085,matched from 2 result(s)
Aaron Dean,ee4a31bf-24fa-5566-b19b-7f7a40e12d22,12568,high,EXACT_NAME_MATCH,http://www.footbag.org/members/profile/12568,matched from 49 result(s)
Aaron Gregg,0bf96614-8396-5c18-bdb0-501af1fa9c81,14084,high,EXACT_NAME_MATCH,http://www.footbag.org/members/profile/14084,matched from 49 result(s)
Aaron Orton,766ba8a6-f9b8-5be2-b501-6a034451d8ac,65570,high,NORMALIZED_NAME_MATCH,http://www.footbag.org/members/profile/65570,matched from 49 result(s)
Abram Santana,cae9fcaa-a9d1-5992-bc64-d79fd7f5d5f3,73200,high,EXACT_NAME_MATCH,http://www.footbag.org/members/profile/73200,matched from 4 result(s)
Adam Cieszkiel,fc0e50ee-c392-5d00-a7f1-be70b324c749,66198,high,EXACT_NAME_MATCH,http://www.footbag.org/members/profile/66198,matched from 47 result(s)
Adam Dziewior,57477659-5d12-5993-a43e-5a03384ccdff,79664,high,EXACT_NAME_MATCH,http://www.footbag.org/members/profile/79664,matched from 47 result(s)
Adam Fox,d87e8f79-2fff-589a-b1ce-8f07371cf4d9,52600,high,NORMALIZED_NAME_MATCH,http://www.footbag.org/members/profile/52600,matched from 48 result(s)
Adam Greenwood,de72051a-f92e-5e3c-b161-af9028b11492,65857,high,NORMALIZED_NAME_MATCH,http://www.footbag.org/members/profile/65857,matched from 47 result(s)
Adam Norton,5e6c732e-5dbd-5994-81a2-179c2934de5e,43280,high,NORMALIZED_NAME_MATCH,http://www.footbag.org/members/profile/43280,matched from 48 result(s)
Adam Sitarski,b463ecda-35db-59ba-b166-4adbad9b4224,69629,high,NORMALIZED_NAME_MATCH,http://www.footbag.org/members/profile/69629,matched from 47 result(s)
Adrian Bartoszuk,ac609395-74de-5986-ace2-80b11fdb9c50,79045,high,EXACT_NAME_MATCH,http://www.footbag.org/members/profile/79045,matched from 44 result(s)
Adrian Dick,aa5f0e41-79db-5da1-a7dd-d47f3bd16cc2,12048,high,MANUAL_RULE,http://www.footbag.org/members/profile/12048,pre-existing legacyid from Persons_Truth
Adrian Garcia,4016e3be-276e-521c-a74e-c80a7ce6cd11,14553,high,EXACT_NAME_MATCH,http://www.footbag.org/members/profile/14553,matched from 48 result(s)
Adrian Pohl,486c9db6-e1e7-5324-b092-8f4158ddb923,66527,high,EXACT_NAME_MATCH,http://www.footbag.org/members/profile/66527,matched from 44 result(s)
Adrian Verhoef,2824a5fd-45b1-5923-9bcc-a35d9a475770,27737,high,NORMALIZED_NAME_MATCH,http://www.footbag.org/members/profile/27737,matched from 45 result(s)
Adrienne Dukes,f2fb7161-f6ed-5a0a-84e6-0e22ddd8397a,69774,high,MANUAL_RULE,http://www.footbag.org/members/profile/69774,pre-existing legacyid from Persons_Truth
Agata Górska,a93806d5-4742-5d09-ae97-36b2744b697b,72818,high,EXACT_NAME_MATCH,http://www.footbag.org/members/profile/72818,matched from 5 result(s)
