year,n_chains,n_players,avg_sequence_add,median_sequence_add,p75_sequence_add,p90_sequence_add,max_sequence_add,avg_avg_add,avg_max_add
2001,5,5,9.4,9.0,11.0,12.2,13,3.383,4.0
2002,12,12,10.0,10.0,12.25,13.0,15,3.653,4.167
2003,12,12,7.667,8.0,8.0,8.9,11,3.445,4.083
2004,26,14,8.115,7.5,10.0,13.0,13,3.474,4.269
2005,26,15,8.769,8.5,10.0,13.0,18,3.613,4.462
2006,40,32,7.5,8.0,9.0,10.0,11,3.362,4.05
2007,56,30,8.089,8.0,11.0,12.5,16,3.202,4.107
2008,41,15,8.39,8.0,10.0,12.0,22,3.148,3.976
2009,17,13,9.294,11.0,11.0,12.4,13,4.049,4.706
2010,11,7,6.091,6.0,7.0,9.0,15,2.545,3.727
2011,1,1,4.0,4.0,4.0,4.0,4,2.0,4.0
2012,9,9,7.444,7.0,8.0,8.8,12,3.5,4.444
2013,13,11,8.615,9.0,10.0,13.2,15,3.679,4.769
2014,9,8,7.444,8.0,9.0,10.4,12,3.204,4.0
2015,9,8,8.444,9.0,11.0,11.8,15,3.5,4.111
2016,11,9,8.273,7.0,10.0,12.0,13,3.5,4.364
2017,6,4,9.167,9.5,12.0,13.5,15,3.167,4.5
2018,20,14,7.1,7.0,9.0,11.0,13,2.933,4.2
2019,9,9,8.222,8.0,9.0,10.4,12,3.593,4.667
2021,31,20,7.419,7.0,9.5,12.0,18,3.046,3.774
2022,1,1,6.0,6.0,6.0,6.0,6,3.0,3.0
2025,2,2,4.0,4.0,4.5,4.8,5,2.0,4.0
