year,pixie,ducking,spinning,atomic,symposium,total_resolved_mentions,pixie_rate,ducking_rate,spinning_rate,atomic_rate,symposium_rate
2001,5,0,0,0,0,31,16.13,0.0,0.0,0.0,0.0
2002,4,0,0,0,0,39,10.26,0.0,0.0,0.0,0.0
2003,3,1,0,0,1,39,7.69,2.56,0.0,0.0,2.56
2004,6,4,3,1,1,88,6.82,4.55,3.41,1.14,1.14
2005,9,2,4,3,4,107,8.41,1.87,3.74,2.8,3.74
2006,13,3,10,1,3,154,8.44,1.95,6.49,0.65,1.95
2007,12,11,16,3,11,288,4.17,3.82,5.56,1.04,3.82
2008,14,8,1,4,3,213,6.57,3.76,0.47,1.88,1.41
2009,5,2,3,4,0,74,6.76,2.7,4.05,5.41,0.0
2010,4,2,4,2,4,60,6.67,3.33,6.67,3.33,6.67
2011,2,1,0,0,0,9,22.22,11.11,0.0,0.0,0.0
2012,4,4,0,2,1,48,8.33,8.33,0.0,4.17,2.08
2013,1,2,1,2,3,46,2.17,4.35,2.17,4.35,6.52
2014,1,2,2,3,2,43,2.33,4.65,4.65,6.98,4.65
2015,5,2,0,0,2,42,11.9,4.76,0.0,0.0,4.76
2016,3,0,1,0,0,27,11.11,0.0,3.7,0.0,0.0
2017,2,0,2,1,2,30,6.67,0.0,6.67,3.33,6.67
2018,7,5,3,4,0,71,9.86,7.04,4.23,5.63,0.0
2019,4,1,1,2,0,50,8.0,2.0,2.0,4.0,0.0
2021,12,7,2,1,0,97,12.37,7.22,2.06,1.03,0.0
2022,5,1,2,0,0,27,18.52,3.7,7.41,0.0,0.0
2025,0,1,0,0,1,11,0.0,9.09,0.0,0.0,9.09
