person_id,person_canon,unique_tricks,total_tricks,diversity_ratio,compound_tricks,modifier_tokens,top_tricks,year_first,year_last
4ad82639-801d-5c4b-aae6-f07e5dfe67d2,Mariusz Wilk,30,63,0.476,22,8,legover | whirl | clipper | drifter | mirage,2008,2019
0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,22,43,0.512,18,4,whirl | pixie | ducking | fog | blender,2004,2021
2f3d1d48-2e06-57f0-bca0-5211c668f88f,Julien Appolonio,20,48,0.417,15,5,legover | whirl | ducking | symposium | paradox,2007,2007
4451a36c-41ca-55ab-87f3-d364b6f485ee,Jan Honza Weber,20,42,0.476,14,6,pixie | swirl | legover | paradox | whirl,2008,2008
78d0c91f-b1ec-572e-855b-a7d3f706f8b7,Stefan Siegert,19,39,0.487,14,5,swirl | blurry whirl | pixie | whirl | ripwalk,2005,2012
4d04edec-6cd0-582d-b4e1-e8ead070a8c8,Jim Penske,18,42,0.429,13,5,swirl | spinning | food processor | torque | whirl,2006,2015
bf5ce745-18b5-50b5-87a5-b2af6ffbf21c,Byrin Wylie,16,30,0.533,12,4,torque | whirl | blurry whirl | blender | blurriest,2005,2007
f52e0fe8-4eff-5532-9af4-14124f1e92ee,Matthias Lino Schmidt,16,17,0.941,11,5,swirl | paradox drifter | paradox | whirl | blurriest,2012,2013
ac1268dc-a961-568f-860e-63e9ea815c01,Damian Gielnicki,14,46,0.304,6,8,swirl | spinning | torque | drifter | atomic,2006,2022
0b3204c8-7e99-586e-aeb2-4186d0901fe3,Milan Benda,12,23,0.522,11,1,blurry whirl | fusion | whirl | eggbeater | torque,2007,2014
48268322-19d9-5180-aac2-241293167d21,Nick Landes,11,19,0.579,7,4,whirl | spinning | ducking butterfly | drifter | gyro,2004,2009
4beb2ce2-19e8-5443-9b5b-e221febea787,Andreas Nawrath,11,13,0.846,9,2,blurry whirl | butterfly | paradox whirl | dimwalk | clipper,2012,2018
be7a8e7f-f052-5c31-b27b-47d4fee9a265,Evan Gatesman,10,22,0.455,8,2,swirl | fusion | pickup | paradox | whirl,2006,2016
