person_id,person_canon,style_mentions_total,distinct_style_terms,atomic,barraging,blazing,ducking,gyro,pixie,spinning,stepping,symposium,tapping
ac1268dc-a961-568f-860e-63e9ea815c01,Damian Gielnicki,19,8,3,0,0,1,1,1,8,1,3,1
4ad82639-801d-5c4b-aae6-f07e5dfe67d2,Mariusz Wilk,14,7,1,0,0,2,3,2,0,3,2,1
0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,14,4,0,0,0,5,0,6,2,1,0,0
2f3d1d48-2e06-57f0-bca0-5211c668f88f,Julien Appolonio,13,4,0,0,0,4,0,4,0,0,4,1
4451a36c-41ca-55ab-87f3-d364b6f485ee,Jan Honza Weber,11,5,1,0,0,3,1,5,0,0,1,0
4d04edec-6cd0-582d-b4e1-e8ead070a8c8,Jim Penske,11,5,0,1,0,1,1,2,6,0,0,0
9fccb3a3-3408-518a-aacb-43d9678fcce4,Pawel Nowak,9,5,4,0,0,1,0,0,2,0,1,1
8859edda-82f6-5013-97d0-1057cb8bdd3b,Arkadiusz Stanek,8,6,2,0,0,2,1,1,1,0,1,0
78d0c91f-b1ec-572e-855b-a7d3f706f8b7,Stefan Siegert,8,4,2,0,0,0,0,4,0,1,1,0
401af1f3-a976-5403-9740-210e2849f159,Maciej Niczyporuk,7,3,0,0,0,0,0,5,1,0,1,0
48268322-19d9-5180-aac2-241293167d21,Nick Landes,6,3,0,0,0,1,2,0,3,0,0,0
04a43526-37ba-5ea0-a01c-8e357a694c42,Felix Zenger,6,2,0,0,0,0,0,0,4,0,2,0
bf5ce745-18b5-50b5-87a5-b2af6ffbf21c,Byrin Wylie,5,3,0,0,0,2,1,0,2,0,0,0
c29c4aa7-5b1e-54d1-9435-2a45edfd669c,Christopher Schillem,5,3,2,0,0,2,0,0,0,1,0,0
6d948954-90cb-5446-9a60-9d4ca0ef4734,Filip Wojcik,5,3,0,0,0,1,0,3,0,1,0,0
e53e759e-e2e1-589b-a5b2-4c95e89b8e8c,Rory Dawson,5,3,0,0,0,1,0,3,0,1,0,0
c90a00eb-95d7-5375-a769-b71cbce34d87,Jakob Wagner,5,2,0,0,0,1,0,4,0,0,0,0
437d9bc1-f872-5687-9191-689dccedb6d0,Michal Biarda,5,2,0,0,0,1,0,4,0,0,0,0
e719220a-29e0-5844-869b-58c53a0b88b9,Bartosz Bubula,4,4,1,0,0,1,0,1,0,0,1,0
f52e0fe8-4eff-5532-9af4-14124f1e92ee,Matthias Lino Schmidt,4,4,1,0,0,1,0,0,1,0,1,0
98ce4e04-05ca-56ca-b8c6-83f51c164c89,Vaclav Klouda,4,4,1,0,0,1,0,0,1,0,1,0
16aae952-d265-5e4d-81b8-5474f6c43802,Jorden Moir,4,3,0,0,0,0,1,0,0,2,1,0
6c912402-7d0e-580d-938c-7c6542c48bb1,Kevin Regamey,4,3,1,0,0,0,0,1,0,0,2,0
700e0ec0-94b9-5de3-b9a9-8d40a3645de3,Patrik Cerny,4,3,0,0,0,1,0,2,1,0,0,0
8a15006e-bc85-5621-bbe6-66090397b7d2,Przemyslaw Pietrzycki,4,3,1,0,0,0,0,2,0,1,0,0
cb047679-c1ef-5ab8-8944-999ca66d1ea3,CARLOS RAMIREZ,4,2,0,0,0,0,0,3,0,1,0,0
033a8589-0c98-5729-a8b4-068c4efcf025,David Clavens,4,2,0,0,1,0,0,0,3,0,0,0
862e03c6-8d7a-5d53-9571-016904a7b7b2,Gary Yao,4,2,0,0,0,2,0,2,0,0,0,0
9f9142e1-95ac-511a-b996-7873698c7818,Kyle Hewitt,4,2,1,0,0,0,0,0,0,0,3,0
4f0fcdbc-8dfe-51fc-b92c-b3cda4dd0c00,Marcin Bujko,4,2,0,0,0,0,0,2,2,0,0,0
8983b558-9cb9-5a25-bb28-589435a8f34e,Serge Kaldany,4,2,0,0,0,2,0,2,0,0,0,0
5a81a6d9-0309-5dc5-aaac-38ef59d8d4ac,Cristopher Schillem,3,3,0,0,0,1,0,0,0,1,1,0
0c1d57ac-f8a6-5c3e-a66f-eac82c8a5df4,Jindrich Smola,3,3,1,0,0,1,0,1,0,0,0,0
23c6748c-39f8-5ecd-ae9c-c3d83c0bfec6,Luis Monhollon,3,3,0,0,0,1,1,0,1,0,0,0
3568ce18-bf1b-55b6-aefd-61f65f55b08c,Jakub Grabarczyk,3,2,2,1,0,0,0,0,0,0,0,0
ee569024-9b98-5ae0-8f39-8f0a97d99dfa,Lasse Salmenhaara,3,2,0,0,0,1,0,2,0,0,0,0
05e1eec0-b3f1-5728-8ad2-831de4fc204f,Marco Hartig,3,2,0,0,0,0,0,1,0,2,0,0
fc3cfa03-7ddb-52e1-905b-d60f3b4a3616,Martin Nový,3,2,1,0,0,0,0,0,0,0,2,0
ecd47dee-6803-5d73-b31c-dcb9860e767e,Mathieu Gauthier,3,2,0,0,0,0,1,2,0,0,0,0
6afe2e47-df47-5055-bba0-0aa2341d43e0,Max Boucoiran,3,2,0,0,0,0,0,0,2,0,1,0
2eaccb7b-430c-5678-b982-9415b20b24cf,Miquel Clemente,3,2,0,0,0,0,0,2,0,0,0,1
3de01059-2378-5f56-910f-08e61f3294a1,Roy Klein,3,2,0,0,0,1,0,2,0,0,0,0
4beb2ce2-19e8-5443-9b5b-e221febea787,Andreas Nawrath,2,2,0,0,0,0,0,1,1,0,0,0
11542335-67de-5fd2-9d43-5f2b55ea1fef,Brian Sherrill,2,2,0,0,0,0,1,0,1,0,0,0
97dfde65-956c-5842-994d-05a877c49182,Cale McCoy,2,2,0,0,0,1,0,1,0,0,0,0
e8aa88b0-f630-555a-ac0c-60d033607464,Chris Balch,2,2,0,0,0,0,1,1,0,0,0,0
cef01455-9290-53a6-9fab-a9c9dad8fc34,Daryl Canady,2,2,0,0,0,1,0,0,0,0,1,0
4c4087a3-79f1-5d9a-bf12-ab7262d18014,Diego Velazquez,2,2,0,0,0,1,0,1,0,0,0,0
4c3321eb-1528-530b-8f38-c42260d9af08,Donner Oleg,2,2,0,0,0,0,0,1,0,0,0,1
c8aa0d72-fc62-5da2-94ab-b7eabd58ae19,Eric Chang,2,2,0,0,0,1,0,0,0,1,0,0
d31e8ab0-0924-5e2c-b3f8-560279e37c9a,Franck Rémy,2,2,0,0,0,0,0,1,0,1,0,0
2512e04d-9d40-5794-9807-5cbf616df0a6,Gielnicki Damian,2,2,0,0,0,0,0,1,1,0,0,0
1e09ba09-ec4b-5961-8b95-e0d638dc4f5c,Jan Weber,2,2,1,0,0,1,0,0,0,0,0,0
4122d672-aba7-5e34-a94f-df9602413736,Jan Zimmermann,2,2,0,0,0,0,0,1,0,1,0,0
f07b9590-cb35-55ba-8277-3e9c15e177d0,Krystian Bubula,2,2,0,0,0,1,0,0,0,0,1,0
ddf2f704-a4d2-5653-a82a-45987d37645c,Krzysztof Sobótka,2,2,0,0,0,0,0,1,0,1,0,0
f3627296-7396-580c-90ac-ad13b76da7b5,Matthew Kemmer,2,2,0,0,0,0,1,0,0,0,0,1
2eb79ea1-9ae9-512a-83bc-3f4a351650f8,Motorov Pavel,2,2,1,0,0,0,0,0,0,1,0,0
27906256-df7d-5101-8427-d2735d2bda7a,Pomanov Andrey,2,2,0,0,0,1,0,0,1,0,0,0
82c36f56-236f-4496-826b-cf59a6fcc4ed,Rafal Kaleta,2,2,0,0,0,1,0,1,0,0,0,0
b0d9cc85-7974-55b2-918a-538fc48484e4,Saiid Shaheen,2,2,0,0,0,0,1,1,0,0,0,0
e5ae5d7c-8286-5afd-9fc9-1fd50a059ff2,Sam Potter,2,2,0,0,1,0,0,1,0,0,0,0
457cdaa2-3ec3-5aed-b340-708420125d7c,Will Digges,2,2,0,1,0,0,0,1,0,0,0,0
348ea683-38f2-54ab-ad04-db29a37bb687,Zeb Jackson,2,2,0,0,0,1,0,0,1,0,0,0
dfc35597-39c1-5425-8b94-6e24dbc24696,Cass Taylor,2,1,0,0,0,0,0,2,0,0,0,0
