chain_id,event_id,year,person_id,person_canon,attribution_confidence,sequence_index,trick_canon,adds,score_method
1011556608_15,1011556608,2002,4122d672-aba7-5e34-a94f-df9602413736,Jan Zimmermann,context_window,0,butterfly,3.0,direct
1011556608_15,1011556608,2002,4122d672-aba7-5e34-a94f-df9602413736,Jan Zimmermann,context_window,1,stepping,,unscored
1012638214_53,1012638214,2002,31bd4e75-1a44-56b4-94b3-071cdc8dee82,Jeremy Mirken,context_window,0,blurriest,5.0,direct
1012638214_53,1012638214,2002,31bd4e75-1a44-56b4-94b3-071cdc8dee82,Jeremy Mirken,context_window,1,flurry,3.0,direct
1012638214_54,1012638214,2002,31bd4e75-1a44-56b4-94b3-071cdc8dee82,Jeremy Mirken,context_window,0,blurry whirl,5.0,direct
1012638214_54,1012638214,2002,31bd4e75-1a44-56b4-94b3-071cdc8dee82,Jeremy Mirken,context_window,1,paradox symposium whirl,5.0,direct
1012638214_55,1012638214,2002,31bd4e75-1a44-56b4-94b3-071cdc8dee82,Jeremy Mirken,context_window,0,blurry whirl,5.0,direct
1012638214_55,1012638214,2002,31bd4e75-1a44-56b4-94b3-071cdc8dee82,Jeremy Mirken,context_window,1,osis,3.0,direct
1012638214_55,1012638214,2002,31bd4e75-1a44-56b4-94b3-071cdc8dee82,Jeremy Mirken,context_window,2,paradox torque,5.0,direct
1016457376_15,1016457376,2002,,,none,0,butterfly,3.0,direct
1016457376_15,1016457376,2002,,,none,1,mirage,2.0,direct
1016457376_15,1016457376,2002,,,none,2,ducking butterfly,4.0,direct
1016457376_17,1016457376,2002,,,none,0,clipper,2.0,direct
1016457376_17,1016457376,2002,,,none,1,ripwalk,4.0,direct
1016457376_17,1016457376,2002,,,none,2,blur,4.0,direct
1016457376_19,1016457376,2002,,,none,0,pixie,2.0,direct
1016457376_19,1016457376,2002,,,none,1,ducking mirage,3.0,direct
1016457376_19,1016457376,2002,,,none,2,butterfly,3.0,direct
1016457376_43,1016457376,2002,2c16c43d-6111-5231-b813-23f20f6ba7a3,Jonathan Schneider,context_window,0,swirl,3.0,direct
1016457376_43,1016457376,2002,2c16c43d-6111-5231-b813-23f20f6ba7a3,Jonathan Schneider,context_window,1,swirl,3.0,direct
1016457376_43,1016457376,2002,2c16c43d-6111-5231-b813-23f20f6ba7a3,Jonathan Schneider,context_window,2,swirl,3.0,direct
1016457376_43,1016457376,2002,2c16c43d-6111-5231-b813-23f20f6ba7a3,Jonathan Schneider,context_window,3,swirl,3.0,direct
1016457376_45,1016457376,2002,bd9edb36-ddd6-5fa8-b46f-aad4e708716d,Alexander Faber,context_window,0,ripwalk,4.0,direct
1016457376_45,1016457376,2002,bd9edb36-ddd6-5fa8-b46f-aad4e708716d,Alexander Faber,context_window,1,spinning butterfly,4.0,direct
1018925821_2,1018925821,2002,,,none,0,blurry whirl,5.0,direct
1018925821_2,1018925821,2002,,,none,1,paradox torque,5.0,direct
