chain_id,event_id,year,person_id,person_canon,match_type,attribution_confidence,position,modifier_token,prev_token,next_token,note
1011556608_15,1011556608,2002,4122d672-aba7-5e34-a94f-df9602413736,Jan Zimmermann,,context_window,1,stepping,butterfly,,tail_dangler
1016457376_19,1016457376,2002,a2823c8b-27b9-5f22-95cd-58af9770f3a6,Josh Owens,,context_window,0,pixie,,ducking mirage,head_modifier
1038895913_19,1038895913,2003,126a7db1-2603-5589-848f-c0af515660a1,Johnathon Murphy,,context_window,0,pixie,,ripwalk,head_modifier
1038895913_8,1038895913,2003,1fe9531c-8c55-5926-a2c0-74476e4f5768,Jon Lee,,context_window,2,symposium,blur,,tail_dangler
1070734498_23,1070734498,2004,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,,context_window,0,ducking,,blender,head_modifier
1079024287_10,1079024287,2004,04a43526-37ba-5ea0-a01c-8e357a694c42,Felix Zenger,,context_window,2,spinning,whirl,,tail_dangler
1079024287_11,1079024287,2004,04a43526-37ba-5ea0-a01c-8e357a694c42,Felix Zenger,,context_window,1,spinning,whirl,,tail_dangler
1090437706_68,1090437706,2004,23462c9a-29d4-578f-9cfc-19d9ba086f45,Pavel Cerveny,,context_window,0,symposium,,flurry,head_modifier
1102576153_68,1102576153,2005,04a43526-37ba-5ea0-a01c-8e357a694c42,Felix Zenger,,direct,2,spinning,superfly,,tail_dangler
1109682847_9,1109682847,2005,04a43526-37ba-5ea0-a01c-8e357a694c42,Felix Zenger,,direct,1,spinning,whirl,,tail_dangler
1114277529_16,1114277529,2005,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,,direct,0,ducking,,torque,head_modifier
1125936037_117,1125936037,2005,b274fbcc-9283-5e2e-9c68-704f3212796e,Yves Kreil,,direct,1,stepping,torque,,tail_dangler
1125936037_127,1125936037,2005,78d0c91f-b1ec-572e-855b-a7d3f706f8b7,Stefan Siegert,,context_window,0,atomic,,fog,head_modifier
1125936037_132,1125936037,2005,78d0c91f-b1ec-572e-855b-a7d3f706f8b7,Stefan Siegert,,context_window,3,pixie,whirl,paradox whirl,mid_chain
1125936037_134,1125936037,2005,78d0c91f-b1ec-572e-855b-a7d3f706f8b7,Stefan Siegert,,context_window,1,atomic,smear,pixie,mid_chain
1125936037_134,1125936037,2005,78d0c91f-b1ec-572e-855b-a7d3f706f8b7,Stefan Siegert,,context_window,2,pixie,atomic,,tail_dangler
1135116604_124,1135116604,2006,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,,context_window,1,pixie,flurry,,tail_dangler
1135116604_125,1135116604,2006,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,,context_window,0,stepping,,spinning,head_modifier
1135116604_125,1135116604,2006,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,,context_window,1,spinning,stepping,spinning,mid_chain
1135116604_125,1135116604,2006,0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,,context_window,2,spinning,stepping,spinning,mid_chain
1137347261_10,1137347261,2006,162332af-26d3-557e-9bf8-ff21c226fbaf,Dylan Johnson,,context_window,1,pixie,parkwalk,,tail_dangler
1137347261_30,1137347261,2006,91dbdc03-080b-5170-a2b4-6fcbc7b4f053,Justin Dale,,context_window,1,spinning,blurry whirl,,tail_dangler
1149763452_187,1149763452,2006,c90a00eb-95d7-5375-a769-b71cbce34d87,Jakob Wagner,,context_window,0,pixie,,pixie,head_modifier
1149763452_187,1149763452,2006,c90a00eb-95d7-5375-a769-b71cbce34d87,Jakob Wagner,,context_window,1,pixie,,pixie,head_modifier
1149763452_191,1149763452,2006,8983b558-9cb9-5a25-bb28-589435a8f34e,Serge Kaldany,,context_window,0,pixie,,blurriest,head_modifier
1149763452_197,1149763452,2006,d31e8ab0-0924-5e2c-b3f8-560279e37c9a,Franck Rémy,,context_window,0,pixie,,blurry whirl,head_modifier
1149763452_199,1149763452,2006,6afe2e47-df47-5055-bba0-0aa2341d43e0,Max Boucoiran,,context_window,1,symposium,whirl,,tail_dangler
1158263300_42,1158263300,2006,ac1268dc-a961-568f-860e-63e9ea815c01,Damian Gielnicki,,direct,1,spinning,drifter,food processor,mid_chain
1163784775_284,1163784775,2007,457cdaa2-3ec3-5aed-b340-708420125d7c,Will Digges,,context_window,1,barraging,blurry whirl,fog,mid_chain
1163784775_309,1163784775,2007,4d04edec-6cd0-582d-b4e1-e8ead070a8c8,Jim Penske,,context_window,0,spinning,,barfly,head_modifier
1163784775_309,1163784775,2007,4d04edec-6cd0-582d-b4e1-e8ead070a8c8,Jim Penske,,context_window,2,spinning,,barfly,head_modifier
1173467292_29,1173467292,2007,348ea683-38f2-54ab-ad04-db29a37bb687,Zeb Jackson,,direct,0,spinning,,blurry whirl,head_modifier
1173467292_32,1173467292,2007,bf5ce745-18b5-50b5-87a5-b2af6ffbf21c,Byrin Wylie,,direct,2,gyro,paradox blender,,tail_dangler
1173467292_37,1173467292,2007,6c912402-7d0e-580d-938c-7c6542c48bb1,Kevin Regamey,,direct,1,symposium,eggbeater,,tail_dangler
1173467292_44,1173467292,2007,1bfb569c-6400-5fbb-aca1-66b0cfb3abc3,Jacob Wren,,direct,2,spinning,whirl,,tail_dangler
1173467292_49,1173467292,2007,4d04edec-6cd0-582d-b4e1-e8ead070a8c8,Jim Penske,,direct,0,spinning,,spinning,head_modifier
1173467292_49,1173467292,2007,4d04edec-6cd0-582d-b4e1-e8ead070a8c8,Jim Penske,,direct,1,spinning,,spinning,head_modifier
1173467292_54,1173467292,2007,e53e759e-e2e1-589b-a5b2-4c95e89b8e8c,Rory Dawson,,direct,0,stepping,,pixie,head_modifier
1173467292_54,1173467292,2007,e53e759e-e2e1-589b-a5b2-4c95e89b8e8c,Rory Dawson,,direct,1,pixie,stepping,,tail_dangler
1173467292_55,1173467292,2007,23c6748c-39f8-5ecd-ae9c-c3d83c0bfec6,Luis Monhollon,,direct,0,ducking,,gyro,head_modifier
1173467292_55,1173467292,2007,23c6748c-39f8-5ecd-ae9c-c3d83c0bfec6,Luis Monhollon,,direct,1,gyro,ducking,spinning,mid_chain
1173467292_55,1173467292,2007,23c6748c-39f8-5ecd-ae9c-c3d83c0bfec6,Luis Monhollon,,direct,2,spinning,gyro,,tail_dangler
1176650845_12,1176650845,2007,77de2a9d-0785-5fea-bc31-e614ae622492,Benny Kellman,,direct,2,spinning,spinning clipper,,tail_dangler
1181021804_18,1181021804,2007,bf5ce745-18b5-50b5-87a5-b2af6ffbf21c,Byrin Wylie,,direct,2,spinning,whirl,,tail_dangler
1181021804_20,1181021804,2007,de72051a-f92e-5e3c-b161-af9028b11492,Adam Greenwood,,direct,0,atomic,,blur,head_modifier
1183729267_169,1183729267,2007,2f3d1d48-2e06-57f0-bca0-5211c668f88f,Julien Appolonio,,context_window,1,ducking,ducking mirage,paradox,mid_chain
1183729267_169,1183729267,2007,2f3d1d48-2e06-57f0-bca0-5211c668f88f,Julien Appolonio,,context_window,2,paradox,ducking,,tail_dangler
1183729267_171,1183729267,2007,2f3d1d48-2e06-57f0-bca0-5211c668f88f,Julien Appolonio,,context_window,1,ducking,food processor,,tail_dangler
