trick_a,trick_b,count,n_players,n_events,players,example_chain,adds_a,adds_b,pair_add_sum
blurry whirl,whirl,17,15,14,Andrew Grant; Felix Zenger; Franck Rémy; James Risden; Jan Honza Weber; Julien Appolonio; Justin Dale; Lasse Salmenhaara; Liam Johnston; Milan Benda; Miquel Clemente; Ryan Mulroney; Stefan Siegert; Taishi Ishida; Takao Wakou,1038895913_15,5.0,3.0,8
ripwalk,whirl,11,10,11,Andrew Grant; Dustin Rhodes; Honza Weber; Jacob Wren; Johnathon Murphy; Mariusz Wilk; Max Kerkhoff; Milan Benda; Miquel Clemente; Stefan Siegert,1038895913_19,4.0,3.0,7
whirl,whirl,10,9,9,Alex Bernstein; Alexander Trenner; Ben Skaggs; Byrin Wylie; Dustin Rhodes; Ellis Piltz; Evan Gatesman; Ricky Moran; Ryan Mulroney,1038895913_15,3.0,3.0,6
smear,dimwalk,7,7,6,Christoph Alexander; Cody Rushing; Daniel Meyer; Kyle Hewitt; Michael Nielson; Tony Whitney; Zeb Jackson,1149763452_203,3.0,4.0,7
dimwalk,ripwalk,6,6,6,Andrew Grant; Augustin Tiffou; Dustin Rhodes; Jindrich Smola; Søren Nøhr Thomsen; Tomasz Wróbel,1127155729_19,4.0,4.0,8
blurry whirl,ripwalk,6,5,6,Andrew Grant; Dustin Rhodes; Mariusz Wilk; Milan Benda; Stefan Siegert,1124840254_16,5.0,4.0,9
blurry whirl,paradox torque,5,5,4,Andreas Nawrath; Brad Nelson; Chris Dean; Lasse Salmenhaara; Mikko Lepisto,1018925821_2,5.0,5.0,10
dimwalk,whirl,5,5,5,Jakob Wagner; Jan Honza Weber; Répási Csaba; Tony Whitney; Zeb Jackson,1095965765_9,4.0,3.0,7
fusion,eggbeater,5,4,5,Christopher Schillem; Honza Weber; Milan Benda; Santeri Karvinen,1114277529_17,5.0,3.0,8
ripwalk,mirage,5,3,4,Damian Budzik; Dustin Rhodes; Zac Jackson,1090437706_85,4.0,2.0,6
ducking butterfly,torque,4,4,2,David Gil; Jordan Chiu; Michal Ostrowski; Saiid Shaheen,1226679678_202,4.0,4.0,8
eggbeater,torque,4,4,4,Arkadiusz Stanek; Janis Thal; Przemyslaw Pietrzycki; Santeri Karvinen,1460640850_24,3.0,4.0,7
ripwalk,blur,4,4,3,Dan Ednie; Jon Lee; Paully O'Reilly; Répási Csaba,1016457376_17,4.0,4.0,8
torque,whirl,4,3,4,Marcin Bujko; Przemyslaw Pietrzycki; Tomek Ostrowski,1127155729_17,4.0,3.0,7
swirl,swirl,4,1,2,Jonathan Schneider,1016457376_43,3.0,3.0,6
blurry whirl,blurry whirl,3,3,3,Andrew Grant; Byrin Wylie; Milan Benda,1181021804_19,5.0,5.0,10
butterfly,ducking butterfly,3,3,3,Andreas Hoffmann; Dan Klokow; Max Boucoiran,1050745947_31,3.0,4.0,7
butterfly,mirage,3,3,3,Andrew Coleman; Ivan Iakimenko; Mike Stokely,1016457376_15,3.0,2.0,5
butterfly,ripwalk,3,3,3,Christian Mills; Honza Weber; Johnny Sarah,1038895913_10,3.0,4.0,7
ducking butterfly,whirl,3,3,3,Christoph Alexander; Jake Milofsky; Krystian Bubula,1018925821_4,4.0,3.0,7
legover,legover,3,3,3,Jakub Grabarczyk; Joel Roset; Julien Appolonio,1149763452_193,2.0,2.0,4
mirage,butterfly,3,3,3,Chris Miller; Ivan Iakimenko; Jess Archer,1124840254_20,2.0,3.0,5
whirl,blender,3,3,3,Alex Lopez; Honza Weber; Jakob Wagner,1070734498_24,3.0,4.0,7
whirl,superfly,3,3,3,Honza Weber; Piotr Czaja; Stefan Siegert,1070734498_28,3.0,5.0,8
whirl,swirl,3,3,3,Julien Appolonio; Mathieu Gauthier; Matthew Kemmer,1183729267_178,3.0,3.0,6
