trick_canon,adds,total_mentions,direct_mentions,context_mentions,n_players,n_events,year_first,year_last,in_sequences,in_sequences_scored,median_chain_position
whirl,3.0,150,68,82,86,54,2001,2025,94,94,1.0
pixie,2.0,121,62,59,75,55,2001,2022,37,37,1.0
swirl,3.0,96,60,36,44,49,2001,2022,31,31,1.0
blurry whirl,5.0,89,45,44,53,47,2001,2021,70,70,0.0
torque,4.0,78,41,37,49,44,2001,2025,39,39,1.0
ducking,,59,30,29,43,32,2003,2025,21,0,0.0
ripwalk,4.0,58,30,28,45,37,2002,2022,45,45,0.0
butterfly,3.0,56,38,18,48,33,2001,2021,38,38,1.0
spinning,,55,35,20,31,38,2004,2022,30,0,1.0
legover,2.0,51,23,28,31,24,2000,2021,29,29,0.0
mirage,2.0,48,23,25,39,29,2002,2021,25,25,1.0
dimwalk,4.0,45,32,13,38,27,2004,2022,39,39,1.0
symposium,,38,21,17,27,24,2003,2025,14,0,1.0
blender,4.0,36,23,13,22,27,2001,2022,15,15,1.0
eggbeater,3.0,33,14,19,23,26,2001,2025,21,21,1.0
atomic,,33,17,16,24,27,2004,2021,11,0,0.0
ducking butterfly,4.0,33,23,10,26,20,2001,2022,27,27,1.0
food processor,6.0,30,23,7,19,21,2004,2019,17,17,1.0
blur,4.0,28,16,12,26,24,2001,2022,23,23,1.0
drifter,3.0,28,15,13,16,22,2004,2022,17,17,0.0
stepping,,28,12,16,24,21,2002,2025,14,0,0.0
paradox,,24,9,15,16,16,2000,2025,4,0,2.0
blurriest,5.0,23,10,13,21,19,2002,2018,16,16,1.0
clipper,2.0,22,13,9,17,15,1997,2021,13,13,0.0
osis,3.0,21,12,9,19,19,2001,2021,12,12,1.0
gyro,,20,13,7,17,15,2002,2021,4,0,1.0
superfly,5.0,20,11,9,14,18,2004,2016,12,12,1.0
fog,5.0,20,12,8,14,16,2000,2021,15,15,0.0
fusion,5.0,20,16,4,11,16,2005,2019,17,17,0.0
paradox torque,5.0,19,14,5,16,13,2002,2025,12,12,1.0
mobius,5.0,16,14,2,15,15,2005,2025,10,10,2.0
smear,3.0,16,10,6,15,13,2004,2021,12,12,0.5
paradox whirl,4.0,15,9,6,13,13,2002,2014,14,14,1.0
pickup,2.0,15,9,6,10,10,1999,2021,8,8,0.0
spinning osis,4.0,13,7,6,10,11,2003,2021,10,10,1.0
paradox blender,5.0,11,6,5,9,9,2002,2008,6,6,1.0
barfly,4.0,10,7,3,9,10,2003,2025,5,5,1.0
paradox mirage,3.0,10,8,2,7,9,2001,2010,5,5,1.0
ducking osis,4.0,9,7,2,9,8,2007,2022,4,4,1.5
atom smasher,4.0,9,2,7,8,8,2004,2021,8,8,0.0
spinning clipper,3.0,9,6,3,8,9,2003,2021,8,8,1.0
spinning whirl,5.0,9,3,6,8,7,2004,2021,8,8,1.5
ducking clipper,3.0,9,7,2,9,8,2006,2021,8,8,0.0
tapping,,8,5,3,8,7,2004,2021,3,0,1.0
symposium whirl,4.0,7,5,2,7,7,2005,2014,4,4,1.5
ducking mirage,3.0,7,2,5,7,7,2002,2021,6,6,0.5
flurry,3.0,5,3,2,5,5,2002,2006,3,3,1.0
paradox drifter,4.0,4,3,1,4,4,2002,2012,3,3,0.0
blazing,,4,2,2,4,4,2006,2019,0,0,
eclipse,3.0,4,3,1,4,4,2003,2007,0,0,
parkwalk,4.0,4,0,4,4,3,2004,2006,3,3,0.0
double around the world,3.0,3,2,1,2,2,2007,2008,1,1,0.0
tomahawk,5.0,3,0,3,3,3,2006,2008,3,3,1.0
barraging,,3,0,3,3,2,2007,2008,2,0,0.5
around the world,2.0,2,1,1,2,2,2007,2007,0,0,
spinning butterfly,4.0,2,1,1,2,2,2002,2021,2,2,0.5
blurry symposium whirl,6.0,2,1,1,2,2,2001,2013,0,0,
atomic torque,6.0,2,1,1,2,2,2005,2005,1,1,1.0
rev whirl,3.0,2,2,0,1,1,2007,2007,2,2,0.5
atomic butterfly,4.0,1,0,1,1,1,2007,2007,1,1,0.0
guay,2.0,1,1,0,1,1,2006,2006,0,0,
paradox symposium whirl,5.0,1,1,0,1,1,2002,2002,1,1,1.0
paradox symposium torque,,1,1,0,1,1,2010,2010,0,0,
paradox symposium eggbeater,,1,1,0,1,1,2007,2007,0,0,
stepping butterfly,4.0,1,1,0,1,1,2017,2017,0,0,
symposium dlo,4.0,1,0,1,1,1,2008,2008,1,1,1.0
