trick,first_year_seen,last_year_seen,mentions,players_using,events_using,avg_add
blur,2001,2015,23,21,19,9.13
blurry whirl,2001,2021,70,44,40,10.586
butterfly,2001,2021,38,32,24,9.026
ducking butterfly,2001,2021,27,21,14,9.444
eggbeater,2001,2025,21,15,16,7.238
paradox mirage,2001,2008,5,5,4,8.2
pixie,2001,2021,37,28,21,7.351
swirl,2001,2021,31,18,22,9.29
whirl,2001,2022,94,61,44,8.83
blurriest,2002,2018,16,14,12,10.062
clipper,2002,2019,13,10,9,7.077
ducking mirage,2002,2021,6,6,6,5.667
flurry,2002,2006,3,3,3,5.333
mirage,2002,2018,25,20,17,7.08
osis,2002,2021,12,9,10,12.083
paradox blender,2002,2008,6,6,5,10.333
paradox drifter,2002,2012,3,3,3,10.0
paradox symposium whirl,2002,2002,1,1,1,10.0
paradox torque,2002,2025,12,12,8,10.417
paradox whirl,2002,2014,14,12,11,10.214
ripwalk,2002,2021,45,31,27,10.222
spinning butterfly,2002,2021,2,2,2,7.0
stepping,2002,2025,14,12,12,4.0
barfly,2003,2014,5,5,5,8.8
legover,2003,2021,29,21,19,5.862
spinning clipper,2003,2021,8,7,8,7.875
stepping osis,2003,2003,1,1,1,8.0
symposium,2003,2025,14,12,13,4.857
torque,2003,2021,39,31,28,8.282
atom smasher,2004,2021,8,7,7,8.375
blender,2004,2018,15,11,14,9.0
dimwalk,2004,2021,39,33,24,9.692
drifter,2004,2021,17,11,13,7.824
ducking,2004,2025,21,18,16,4.312
food processor,2004,2019,17,12,13,11.0
smear,2004,2021,12,11,9,10.167
spinning,2004,2021,30,18,21,5.125
spinning whirl,2004,2021,8,7,6,12.375
superfly,2004,2016,12,9,11,9.917
atomic,2005,2019,11,9,9,4.556
atomic torque,2005,2005,1,1,1,10.0
fog,2005,2021,15,10,11,9.467
fusion,2005,2019,17,10,15,9.176
spinning osis,2005,2021,10,7,8,10.1
ducking clipper,2006,2021,8,8,6,6.75
parkwalk,2006,2006,3,3,2,7.0
pickup,2006,2021,8,6,6,7.0
stepping drifter,2006,2006,1,1,1,4.0
tomahawk,2006,2008,3,2,3,10.0
atomic butterfly,2007,2007,1,1,1,7.0
barraging,2007,2008,2,2,2,7.0
double around the world,2007,2007,1,1,1,6.0
gyro,2007,2021,4,4,3,5.667
gyro whirl,2007,2007,1,1,1,4.0
mobius,2007,2021,10,8,10,12.2
paradox,2007,2025,4,3,3,5.5
rev whirl,2007,2007,2,1,1,6.0
symposium whirl,2007,2013,4,4,4,9.0
tapping,2007,2021,3,3,3,4.667
ducking osis,2008,2021,4,4,3,10.0
ducking whirl,2008,2018,3,2,3,6.667
symposium dlo,2008,2008,1,1,1,4.0
