trick_canon,trick_type,mentions,resolved_mentions,unique_players,unique_events,first_year,last_year,sample_event,sample_line
whirl,full_trick,388,208,117,95,2001,2025,,"1. Pekka Raitio, Järvenpää, Finland - Blurry symposium whirl"
pixie,style_term,155,80,57,72,2001,2022,,Haze > pixie butterfly > stepping mirage
ducking,style_term,153,87,65,73,2001,2025,,- pixie butterfly>pdx mirage>ducking butterfly
butterfly,full_trick,136,82,60,61,2001,2022,,"2. Timo Aarnio, Järvenpää, Finland - Diving Butterfly"
blurry whirl,full_trick,130,78,50,66,2001,2021,,blurriest > blurry whirl > paradox symposium whirl
torque,full_trick,128,70,50,66,2001,2025,,3. Jeremy Benton (Blurry Whirl > Osis > Paradox Torque)
spinning,style_term,117,60,36,59,2002,2022,,"and cover their children's eyes (swirling spinning set!!!) and PST's own ""Flash"""
swirl,full_trick,115,74,39,58,2001,2022,,- whirling swirl>whirling swirl>whirling swirl(>whirling swirl)
ripwalk,full_trick,92,53,41,54,2001,2022,,- clipper>ripwalk>blur
symposium,style_term,67,40,33,38,2001,2025,,"1. Pekka Raitio, Järvenpää, Finland - Blurry symposium whirl"
legover,full_trick,64,36,30,30,2000,2021,,"Witchdoctor, Pixie Ducking Mirage, Pixie Double Legover"
dimwalk,full_trick,63,38,30,39,2003,2022,,1. Ben Scarborough DimWalk> Leg Over> Clip Abshire Footbag
osis,full_trick,61,35,29,40,2001,2022,,3. Jeremy Benton (Blurry Whirl > Osis > Paradox Torque)
blender,full_trick,61,34,22,41,2001,2022,,"1. Lasse Salmenhaara, Helsinki, Finland - Ripped warrior -> Pdx blender!!!!!"
drifter,full_trick,52,30,20,39,2002,2022,,2nd: Greg Nelson (Paradox Drifter>Paradox Whirl>Paradox Torque)
atomic,style_term,45,25,20,37,2001,2021,,symposium quantum set that mad my jaw drop; and Ian Brill came with his atomic
eggbeater,full_trick,45,23,13,35,2001,2025,,tap > eggbeater > tap down
blur,full_trick,40,21,19,34,2001,2022,,- clipper>ripwalk>blur
stepping,style_term,39,21,18,28,2002,2025,,Haze > pixie butterfly > stepping mirage
blurriest,full_trick,39,19,18,31,2001,2018,,blurriest > blurry whirl > paradox symposium whirl
food processor,full_trick,38,27,18,28,2001,2019,,- Ducking Dimwalk > Food Processor > PS Whirl
mobius,full_trick,32,19,15,26,2002,2025,,Sick 1 award goes to Jon Zaleski for Fairy Mobius
fusion,full_trick,29,22,14,21,2005,2019,,3. Ale? Zelinka (Sumo>Fusion>PS Eggbeater)
superfly,full_trick,26,14,10,21,2001,2016,,- PS Whirl > Superfly > Whirwind
gyro,style_term,26,13,12,18,2001,2021,,Alex Faber- Gyro Dlo
smear,full_trick,25,14,14,20,2001,2021,,2nd: Danny Greer (Smear>Double Around the World>Butterfly)
fog,full_trick,23,13,11,19,2000,2021,,"4th) Allan Hagget: Fog, Legbeater, P. Torque"
pickup,full_trick,20,10,7,15,1999,2021,,1st: Jamie Lloyd-Blurry Pickup>Pixie Butterfly>Eclipse
symposium whirl,full_trick,15,11,11,14,2001,2014,,"1. Pekka Raitio, Järvenpää, Finland - Blurry symposium whirl"
spinning whirl,full_trick,14,6,6,11,2003,2021,,"5th) Chad Devlahovich: Spinning Whirl, Blurry Whirl, Flurry"
paradox mirage,full_trick,12,10,7,11,2001,2018,,3 - Ben Elynn (ripwalk>ripwalk>paradox mirage)
barfly,full_trick,12,9,8,12,2003,2025,,2. Franck Rémy (75 ADDS) : Stepping Eclipse > Osis > Barfly
spinning clipper,full_trick,11,7,7,11,2003,2021,,"7th) Lon Smith: Double-Spinning Clipper, Mobius, Ducking Osis"
ducking clipper,full_trick,11,6,6,10,2004,2021,,ducking clipper>double legover>eggbeater
flurry,full_trick,10,6,6,10,2001,2006,,1. Sunil Jani (Jani-Walker > Blurriest > Flurry)
atomsmasher,full_trick,9,4,3,7,2003,2021,,"2nd) Daryl Genz: P. Legbeater, Sumo (P. Atomsmasher), Pixie Ducking Butterfly"
tapping,style_term,8,5,5,7,2004,2021,,3 Donner Oleg (Pixie Tapping Butter - Pdx legbeater - Blurriest)
blazing,style_term,7,3,3,7,2002,2019,,"he hit it though. Then there is Brad Nelson, blazing p-whirl, blurry"
parkwalk,full_trick,6,2,2,5,2003,2006,,3. Jeremy O'Wheel - parkwalk>ripwalk>PS whirl
atom smasher,full_trick,6,1,1,5,2004,2007,,Alpine PS mirage>phoenix>pdx atom smasher
tomahawk,full_trick,6,0,0,6,2003,2008,,foot processor > tomahawk > spinning paradox blender
double around the world,full_trick,4,3,2,3,2003,2008,,2nd: Danny Greer (Smear>Double Around the World>Butterfly)
barraging,style_term,3,0,0,2,2007,2008,,* alpine blurry whirl > barraging ss mirage > toe fog
rev whirl,full_trick,2,0,0,1,2007,2007,,4) Erik Chan : blurry rev whirl > stepping ss rev whirl > blurry rev
