trick_canon,trick_type,total_mentions,direct_mentions,context_window_mentions,team_mentions,resolved_mentions,unique_players,unique_events,first_year,last_year,sample_event,sample_line
whirl,full_trick,155,73,82,0,150,86,55,2001,2025,Tri-State Area Footbag Jam,3rd: Jake Milofsky (Ripwalk>Ducking Butterfly>PS Whirl)
pixie,style_term,122,62,59,0,121,75,56,2001,2022,FOOTJAM meets 3BORDERSCUP,Haze > pixie butterfly > stepping mirage
swirl,full_trick,97,61,36,0,96,44,49,2001,2022,Cinco de Mayo Footbag Fest,- whirling swirl>whirling swirl>whirling swirl(>whirling swirl)
blurry whirl,full_trick,90,46,44,0,89,53,47,2001,2021,2002 WESTERN REGIONAL FOOTBAG CHAMPIONSHIPS,2. Ryan Mulroney (Blurry Whirl > Paradox Symposium Whirl > Whirlwind)
torque,full_trick,78,41,37,0,78,49,44,2001,2025,Seapa NZ Freestyle Footbag Championships,"ATW, Mirage, Toe set Torque"
ripwalk,full_trick,61,33,28,0,58,45,39,2002,2022,Cinco de Mayo Footbag Fest,- clipper>ripwalk>blur
ducking,style_term,60,31,29,0,59,43,32,2003,2025,2003 Shred Zero Summer Open,Rob Fuller (Ducking Scorpions Tail)
butterfly,full_trick,59,41,18,0,56,48,33,2001,2021,Finnstyle Footbag JAM,"2. Timo Aarnio, Järvenpää, Finland - Diving Butterfly"
spinning,style_term,56,36,20,0,55,31,38,2004,2022,Shercle Session #1,Blurry Whirl > PS Whirl > Spinning Blender
legover,full_trick,52,24,28,0,51,31,24,2000,2021,Seapa NZ Freestyle Footbag Championships,"Witchdoctor, Pixie Ducking Mirage, Pixie Double Legover"
mirage,full_trick,49,24,25,0,48,39,30,2002,2021,FOOTJAM meets 3BORDERSCUP,Haze > pixie butterfly > stepping mirage
dimwalk,full_trick,46,33,13,0,45,38,28,2004,2022,TODEXON 5,- Ducking Dimwalk > Food Processor > PS Whirl
symposium,style_term,39,21,17,0,38,27,25,2003,2025,Seapa NZ Freestyle Footbag Championships,"Ripwalk, Blur, Symposium Mirage"
blender,full_trick,37,24,13,0,36,22,27,2001,2022,Finnstyle Footbag JAM,"1. Lasse Salmenhaara, Helsinki, Finland - Ripped warrior -> Pdx blender!!!!!"
ducking butterfly,full_trick,35,24,10,0,33,26,21,2001,2022,Cinco de Mayo Footbag Fest,- pixie butterfly>pdx mirage>ducking butterfly
eggbeater,full_trick,34,15,19,0,33,23,27,2001,2025,2003 Canadian Open Footbag Championships,"Ethan Husted (OR, USA) (Shooting Eggbeater)"
atomic,style_term,33,17,16,0,33,24,27,2004,2021,2004 New Paltz Footbag Jam,BIg Trick: Jeremy Bentham w/ Atomic TOurque
food processor,full_trick,30,23,7,0,30,19,21,2004,2019,TODEXON 5,- Ducking Dimwalk > Food Processor > PS Whirl
stepping,style_term,29,13,16,0,28,24,22,2002,2025,FOOTJAM meets 3BORDERSCUP,Haze > pixie butterfly > stepping mirage
blur,full_trick,28,16,12,0,28,26,24,2001,2022,Cinco de Mayo Footbag Fest,- clipper>ripwalk>blur
