trick,in_degree,out_degree,n_as_source,n_as_target,degree,pagerank,hub_score,auth_score,add_value
whirl,69,30,13,22,99,0.125721,0.378179,0.863443,
blurry whirl,16,54,20,10,70,0.019207,0.695184,0.146933,
ripwalk,20,41,18,6,61,0.017585,0.452727,0.25705,
butterfly,21,23,14,15,44,0.034901,0.145972,0.067025,
torque,24,15,9,14,39,0.039186,0.15438,0.114678,
dimwalk,15,23,13,6,38,0.022799,0.247792,0.016284,
swirl,24,10,7,16,34,0.093062,0.031768,0.123282,
mirage,17,13,10,9,30,0.022429,0.031706,0.127154,
ducking butterfly,10,19,13,6,29,0.012632,0.132638,0.080122,
legover,12,15,10,8,27,0.017036,0.059944,0.053624,
blur,11,12,9,6,23,0.012354,0.048171,0.129232,
fusion,5,14,6,3,19,0.006963,0.065589,0.002792,
eggbeater,9,10,6,5,19,0.011839,0.038194,0.045985,
drifter,7,12,9,7,19,0.012696,0.040113,0.034081,
food processor,11,8,4,8,19,0.03634,0.08017,0.032692,
paradox whirl,9,8,8,7,17,0.014354,0.042603,0.080462,
blurriest,8,8,7,5,16,0.016294,0.08102,0.105727,
osis,9,7,6,6,16,0.014278,0.01859,0.11945,
smear,6,10,3,5,16,0.016901,0.009008,0.033111,
clipper,6,9,7,4,15,0.008412,0.055605,0.025745,
fog,4,10,8,3,14,0.005784,0.026187,0.03981,
blender,8,5,5,5,13,0.056989,0.038292,0.053269,
superfly,11,1,1,7,12,0.042793,0.001917,0.106135,
paradox torque,9,2,2,5,11,0.011885,0.032464,0.141817,
mobius,10,1,1,8,11,0.032827,0.004436,0.058108,
spinning osis,8,3,2,7,11,0.017443,0.03342,0.036158,
spinning whirl,7,3,3,6,10,0.015084,0.009307,0.076532,
spinning clipper,6,3,3,6,9,0.00683,0.009106,0.058435,
pickup,2,6,3,2,8,0.004573,0.006572,0.003687,
atom smasher,3,5,5,3,8,0.017128,0.03702,0.003851,
ducking clipper,1,6,5,1,7,0.003856,0.042531,0.002001,
paradox blender,5,1,1,4,6,0.014381,0.031067,0.038823,
paradox mirage,3,3,2,3,6,0.006441,0.011711,0.011557,
barfly,3,2,2,3,5,0.008063,0.00824,0.00327,
ducking mirage,2,2,2,2,4,0.005292,0.004341,0.002325,
symposium whirl,3,1,1,3,4,0.006751,0.031067,0.008518,
ducking osis,2,2,2,2,4,0.004916,0.006217,0.010025,
tomahawk,2,1,1,2,3,0.004293,0.031067,0.016519,
paradox drifter,0,3,2,0,3,0.003061,0.006385,0.0,
ducking whirl,2,0,0,2,2,0.00391,0.0,0.026543,
parkwalk,1,1,1,1,2,0.003936,0.004298,0.001733,
rev whirl,1,1,1,1,2,0.020408,0.0,0.0,
double around the world,0,1,1,0,1,0.003061,0.002412,0.0,
atomic butterfly,0,1,1,0,1,0.003061,0.004436,0.0,
atomic torque,1,0,0,1,1,0.005973,0.0,0.001332,
paradox symposium whirl,1,0,0,1,1,0.003364,0.0,0.025013,
flurry,1,0,0,1,1,0.004792,0.0,0.002915,
spinning butterfly,1,0,0,1,1,0.003426,0.0,0.016289,
stepping osis,0,1,1,0,1,0.003061,0.000118,0.0,
