event_id,year,person_id,person_canon,attribution_confidence,chain_id,sequence_index,trick_canon
1011556608,2002,4122d672-aba7-5e34-a94f-df9602413736,Jan Zimmermann,context_window,1011556608_15,0,butterfly
1011556608,2002,4122d672-aba7-5e34-a94f-df9602413736,Jan Zimmermann,context_window,1011556608_15,1,stepping
1012638214,2002,8f15594c-f3f9-53d9-bfe5-409e746b7c29,Sunil Jani,direct,1012638214_53,0,blurriest
1012638214,2002,8f15594c-f3f9-53d9-bfe5-409e746b7c29,Sunil Jani,direct,1012638214_53,1,flurry
1012638214,2002,4cf390be-81e9-586c-95c7-aa90dd752ba8,Ryan Mulroney,direct,1012638214_54,0,blurry whirl
1012638214,2002,4cf390be-81e9-586c-95c7-aa90dd752ba8,Ryan Mulroney,direct,1012638214_54,1,paradox symposium whirl
1012638214,2002,e5048c10-39e3-5f80-8b88-0512fb2d8089,Jeremy Benton,direct,1012638214_55,0,blurry whirl
1012638214,2002,e5048c10-39e3-5f80-8b88-0512fb2d8089,Jeremy Benton,direct,1012638214_55,1,osis
1012638214,2002,e5048c10-39e3-5f80-8b88-0512fb2d8089,Jeremy Benton,direct,1012638214_55,2,paradox torque
1016457376,2002,66c8ee00-cda8-5430-ba1c-ffb177198d18,Andrew Coleman,context_window,1016457376_15,0,butterfly
1016457376,2002,66c8ee00-cda8-5430-ba1c-ffb177198d18,Andrew Coleman,context_window,1016457376_15,1,mirage
1016457376,2002,66c8ee00-cda8-5430-ba1c-ffb177198d18,Andrew Coleman,context_window,1016457376_15,2,ducking butterfly
1016457376,2002,ba572db5-f29d-52b3-aedb-ee41a49a9930,Paully O'Reilly,context_window,1016457376_17,0,clipper
1016457376,2002,ba572db5-f29d-52b3-aedb-ee41a49a9930,Paully O'Reilly,context_window,1016457376_17,1,ripwalk
1016457376,2002,ba572db5-f29d-52b3-aedb-ee41a49a9930,Paully O'Reilly,context_window,1016457376_17,2,blur
1016457376,2002,a2823c8b-27b9-5f22-95cd-58af9770f3a6,Josh Owens,context_window,1016457376_19,0,pixie
1016457376,2002,a2823c8b-27b9-5f22-95cd-58af9770f3a6,Josh Owens,context_window,1016457376_19,1,ducking mirage
1016457376,2002,a2823c8b-27b9-5f22-95cd-58af9770f3a6,Josh Owens,context_window,1016457376_19,2,butterfly
1016457376,2002,2c16c43d-6111-5231-b813-23f20f6ba7a3,Jonathan Schneider,context_window,1016457376_43,0,swirl
1016457376,2002,2c16c43d-6111-5231-b813-23f20f6ba7a3,Jonathan Schneider,context_window,1016457376_43,1,swirl
1016457376,2002,2c16c43d-6111-5231-b813-23f20f6ba7a3,Jonathan Schneider,context_window,1016457376_43,2,swirl
1016457376,2002,2c16c43d-6111-5231-b813-23f20f6ba7a3,Jonathan Schneider,context_window,1016457376_43,3,swirl
1016457376,2002,bd9edb36-ddd6-5fa8-b46f-aad4e708716d,Alexander Faber,context_window,1016457376_45,0,ripwalk
1016457376,2002,bd9edb36-ddd6-5fa8-b46f-aad4e708716d,Alexander Faber,context_window,1016457376_45,1,spinning butterfly
1018925821,2002,42cfb7b0-8f51-53ff-9721-f4ac4b909290,Brad Nelson,direct,1018925821_2,0,blurry whirl
