event_id,year,division_canon,merged_division_score,n_rows,n_people,n_places,min_place,max_place,n_first_place_rows,max_rows_same_place,n_places_repeated_gt2,n_places_repeated_gt4,flag_many_firsts,flag_repeated_places_gt4,flag_low_place_variety,flag_dense_repeat_pattern,flag_partial
1235149093,2009,Initial Seeding Open Doubles Net,8,31,1,13,1,13,6,6,4,3,True,True,False,True,False
1021665982,2002,Novice,8,42,37,10,1,10,5,7,8,5,True,True,False,True,False
1270631935,2010,Open Singles Net,8,29,17,17,1,17,5,5,3,2,True,True,False,True,False
1268407783,2010,Intermediate,8,20,12,7,1,7,5,5,4,1,True,True,False,True,False
1487797845,2017,Open Routines,8,28,21,8,1,8,4,5,5,4,True,True,False,True,False
1260368810,2010,Results Pro Image Cash Golf,8,19,17,10,1,14,3,7,2,1,True,True,False,True,False
1391189882,2014,Open Sick 3-Trick,6,6,6,1,10,10,0,6,1,1,False,True,True,False,True
1096318324,2004,Shred 30,5,18,12,7,1,7,4,4,3,0,True,False,False,True,False
1138601883,2006,Sick 1,5,12,11,3,1,3,4,4,3,0,True,False,False,True,False
1270631935,2010,Open Doubles Net,5,21,1,10,1,10,3,4,5,0,True,False,False,True,False
1268407783,2010,Novice,5,18,16,7,1,7,3,4,3,0,True,False,False,True,False
1114277529,2005,Open Freestyle,5,13,10,7,1,7,3,3,3,0,True,False,False,True,False
910551956,1999,Novice Doubles Net,5,11,1,4,1,4,3,3,3,0,True,False,False,True,False
1114277529,2005,Intermediate Freestyle,5,10,7,4,1,30,3,3,3,0,True,False,False,True,False
947026077,2000,Freestyle,5,9,9,3,1,3,3,3,3,0,True,False,False,True,False
947026077,2000,Singles Net,5,9,9,3,1,3,3,3,3,0,True,False,False,True,False
1137937282,2006,Rutina Intermediate,5,9,7,3,1,3,3,3,3,0,True,False,False,True,False
1138601883,2006,Sick 3,5,9,9,3,1,3,3,3,3,0,True,False,False,True,False
1158263300,2006,Women Freestyle,5,9,9,3,1,3,3,3,3,0,True,False,False,True,False
947026077,2000,Doubles Net,5,8,1,3,1,3,3,3,2,0,True,False,False,True,False
