event_id,year,stage2_placements,flat_placements,delta_flat_minus_stage2
857852604,1997,6,6,0
857874500,1997,22,20,-2
857875120,1997,44,42,-2
857875468,,48,0,-48
857876215,1997,26,26,0
857876517,1997,84,84,0
857876870,1997,26,25,-1
857879540,1997,38,36,-2
857880054,1997,8,8,0
857880964,1997,51,50,-1
857881519,1997,32,32,0
857881898,1997,38,38,0
859400929,1997,29,28,-1
859657310,1997,11,11,0
859787898,1997,37,37,0
859913311,1997,12,12,0
859923755,1997,39,22,-17
860356126,1997,51,50,-1
860944937,,2,0,-2
865043841,1997,19,19,0
873922005,1997,12,12,0
876331623,1998,31,31,0
876336655,1998,67,64,-3
876356874,1998,151,148,-3
876590022,1997,16,16,0
876591529,1998,59,35,-24
877061793,1998,45,44,-1
877848852,1997,21,20,-1
879319107,1998,50,50,0
881872990,1998,18,18,0
883135865,1998,14,14,0
884112176,1998,12,12,0
886044392,1998,34,21,-13
888294869,1998,42,42,0
892446131,1998,13,4,-9
899077904,1998,20,19,-1
899722892,1998,18,18,0
901349509,1998,11,11,0
901687367,1998,37,37,0
903468009,1999,23,23,0
903632480,1999,38,37,-1
909186885,1999,37,37,0
910551956,1999,107,105,-2
912467534,1999,38,37,-1
913061034,1999,18,18,0
915561090,1999,43,43,0
916193231,1999,25,25,0
916977484,1999,21,21,0
917278465,1999,34,34,0
917741782,1999,18,18,0
919703711,1999,57,57,0
919885513,1999,14,14,0
920579000,1999,24,24,0
924977661,1999,40,40,0
929217368,1999,41,41,0
931840905,1999,56,55,-1
933099911,2000,12,12,0
933115858,2000,10,9,-1
933870505,1999,42,42,0
937727262,1999,24,24,0
937854594,1999,16,16,0
941418343,2000,256,228,-28
942013549,1999,8,7,-1
944242404,2000,8,8,0
945548940,2000,12,12,0
946940201,2000,20,18,-2
947026077,2000,30,29,-1
947196813,2000,23,18,-5
948198763,2000,63,63,0
948943299,2000,10,6,-4
949991621,2000,12,11,-1
952906680,2000,51,40,-11
953918475,2000,40,39,-1
955745735,2000,24,24,0
955831740,2000,23,23,0
957240514,2000,19,19,0
957778745,2000,12,12,0
959353403,2000,17,13,-4
961053916,2000,23,23,0
961626997,2000,30,30,0
967817818,2000,49,48,-1
972427576,2001,57,57,0
973573676,2001,10,9,-1
974683678,2001,26,14,-12
977260894,2001,8,8,0
978967004,2001,42,42,0
979089216,2001,17,17,0
979334083,2001,108,87,-21
979816633,2001,14,10,-4
980253113,,0,0,0
980502839,2001,50,50,0
980969461,2001,203,202,-1
981129410,2001,55,54,-1
981560223,2001,115,33,-82
984694623,2001,20,8,-12
984874006,,1,0,-1
987361779,,0,0,0
988325277,2001,9,9,0
988434364,2001,57,56,-1
989875090,2001,11,10,-1
990512631,2001,24,24,0
990626988,2001,7,1,-6
990905420,2001,44,31,-13
991285803,2001,40,41,1
991757909,2001,47,44,-3
992517335,2001,24,24,0
994186570,,0,0,0
996293200,2001,20,19,-1
996678489,2001,12,7,-5
999985344,2001,35,35,0
1000071985,2001,2,2,0
1001076203,2001,22,20,-2
1001076315,2001,39,24,-15
1001905008,,0,0,0
1001942070,2001,30,29,-1
1003802417,,0,0,0
1004370976,2001,6,6,0
1005667143,2001,12,5,-7
1011291051,2002,40,39,-1
1011324897,2002,12,12,0
1011556608,2002,14,13,-1
1012638214,2002,74,70,-4
1013283071,2002,78,75,-3
1015198403,,0,0,0
1015303046,2002,10,10,0
1016457376,2002,29,21,-8
1018812342,2002,38,36,-2
1018925821,2002,4,4,0
1019193491,2002,17,17,0
1021665982,2002,56,54,-2
1022992222,2002,7,7,0
1024091202,2002,14,14,0
1025084282,2002,9,5,-4
1027925383,2002,44,44,0
1028218784,2002,54,53,-1
1028233308,2002,31,30,-1
1028800969,2002,23,18,-5
1029347412,2002,2,1,-1
1030830356,2002,52,52,0
1031334528,2003,51,50,-1
1032472601,2003,13,13,0
1032602594,2002,8,3,-5
1034212755,,0,0,0
1034985978,2003,19,16,-3
1035042753,,0,0,0
1035277529,2003,187,181,-6
1035817350,2002,6,5,-1
1036298726,2003,53,46,-7
1036653244,2003,9,9,0
1038895913,2003,29,27,-2
1039550946,2003,15,15,0
1041241196,2003,9,9,0
1042821772,2003,117,117,0
1043096425,1985,27,27,0
1043370312,,1,0,-1
1043430155,2002,0,4,4
1044624680,2003,25,22,-3
1044952105,2003,10,7,-3
1045628278,2003,12,11,-1
1046985067,2003,8,8,0
1049457912,2003,81,81,0
1050067583,2003,11,11,0
1050140930,2003,32,29,-3
1050745947,2003,24,24,0
1052775366,2003,29,29,0
1054616435,,0,0,0
1057126024,1986,33,32,-1
1057175925,1990,33,33,0
1057345914,1991,36,35,-1
1057773472,2003,3,3,0
1058378281,2003,53,49,-4
1058877971,2003,12,12,0
1059060870,,0,0,0
1061212821,2003,25,25,0
1061453080,2003,23,22,-1
1061921260,,0,0,0
1063109533,,0,0,0
1063788560,2003,40,40,0
1064245646,,0,0,0
1064330873,2003,34,34,0
1064849293,2003,61,61,0
1065478531,2004,12,12,0
1068406344,2004,13,13,0
1069415266,,0,0,0
1069791565,2004,25,24,-1
1069929277,2004,244,243,-1
1070400528,,0,0,0
1070734498,2004,23,20,-3
1070954568,2004,54,52,-2
1071060801,2004,8,8,0
1074511718,2004,12,12,0
1075781798,2004,45,43,-2
1076876907,2004,10,9,-1
1076952530,2004,7,7,0
1077766197,2004,3,3,0
1079024287,2004,6,6,0
1079444598,2004,33,28,-5
1079605499,2004,72,68,-4
1079664495,,0,0,0
1080138513,2004,48,43,-5
1080757998,2004,15,17,2
1080896073,2004,11,11,0
1081766954,2004,12,8,-4
1083699966,2004,10,10,0
1089373321,2004,98,96,-2
1090437706,2004,54,54,0
1090569022,2004,24,24,0
1091802943,,0,0,0
1092044099,2004,8,6,-2
1092073845,2004,51,41,-10
1093115479,,1,0,-1
1093955766,2004,6,6,0
1094071528,2004,10,8,-2
1094123527,2004,48,48,0
1094201584,2004,13,12,-1
1095965765,2004,9,9,0
1096318324,2004,30,30,0
1096695238,2004,33,33,0
1097686137,2005,23,23,0
1097785506,2004,14,14,0
1100728799,2005,4,4,0
1102227996,2005,18,18,0
1102443443,2005,34,34,0
1102447093,2004,0,3,3
1102576153,2005,238,225,-13
1102788509,2005,14,11,-3
1103297805,2005,54,18,-36
1103724325,2005,54,54,0
1104851808,2005,30,30,0
1105087209,2005,70,70,0
1105353373,2005,10,9,-1
1106561176,,6,0,-6
1107289556,2005,7,7,0
1107290435,2005,30,32,2
1109356644,2005,48,47,-1
1109682847,2005,5,5,0
1109802420,2005,8,8,0
1110562712,2005,7,7,0
1111735438,2005,13,10,-3
1113344236,2005,6,6,0
1113844078,,0,0,0
1114277529,2005,33,32,-1
1117746703,2005,23,20,-3
1121753561,2006,9,9,0
1124035486,2005,15,15,0
1124840254,2005,21,20,-1
1125004188,2005,14,14,0
1125936037,2005,115,113,-2
1126086921,2005,40,40,0
1127155729,2005,56,56,0
1131659634,2006,25,21,-4
1132511088,2005,42,42,0
1133888413,2006,12,11,-1
1134914723,2006,53,53,0
1135116604,2006,269,268,-1
1137347261,2006,26,26,0
1137937282,2006,32,32,0
1137942486,2006,96,93,-3
1138601883,2006,27,27,0
1139778550,2006,26,25,-1
1141576257,2006,17,17,0
1142360459,2006,26,26,0
1143027870,2006,16,16,0
1143155263,2006,74,72,-2
1143172220,2006,44,43,-1
1143195910,2006,7,7,0
1146356760,2006,5,5,0
1146789209,2006,11,10,-1
1146843672,2006,10,9,-1
1148241486,2006,21,20,-1
1148374547,2006,45,41,-4
1149763452,2006,144,144,0
1149881200,2006,42,39,-3
1153345992,2006,9,9,0
1154685554,2007,43,43,0
1155788760,2006,15,14,-1
1156283186,2006,15,15,0
1157398732,2006,27,26,-1
1157942368,2006,18,18,0
1158263300,2006,53,53,0
1160579826,2006,28,9,-19
1161167528,2006,34,26,-8
1161871029,2006,62,62,0
1161888703,2006,12,12,0
1163624128,2006,1,1,0
1163784775,2007,269,268,-1
1164034575,2006,4,4,0
1164845982,2007,36,35,-1
1166622628,2007,18,18,0
1167422711,2007,7,7,0
1168634226,2007,19,19,0
1170456736,2007,31,30,-1
1172329753,,0,0,0
1172562114,2007,11,11,0
1172931308,2007,16,15,-1
1173467292,2007,35,28,-7
1173606489,2007,30,30,0
1176318174,2007,81,81,0
1176650845,2007,27,26,-1
1176844933,2007,10,10,0
1177512537,2007,44,41,-3
1177615498,2007,31,31,0
1179679872,2007,41,25,-16
1179874637,2007,16,16,0
1180373807,2007,60,60,0
1180496320,2007,14,14,0
1181021804,2007,19,19,0
1182542776,2007,66,63,-3
1183654670,2007,24,24,0
1183729267,2007,154,153,-1
1185458086,2007,49,40,-9
1185556078,2007,41,41,0
1186079315,,0,0,0
1188233129,2007,22,22,0
1189345008,2007,48,46,-2
1189467124,2008,24,24,0
1189535136,2007,11,11,0
1189657133,,4,0,-4
1189977929,2008,18,18,0
1190256479,2007,13,13,0
1191627566,2007,7,5,-2
1192722292,2007,6,6,0
1193783964,2008,102,97,-5
1194517448,2008,204,204,0
1195585401,2008,66,52,-14
1195677906,2008,6,1,-5
1195773772,2007,31,30,-1
1196344513,2008,23,23,0
1199106237,2008,172,172,0
1200325415,,18,0,-18
1200725314,2008,9,7,-2
1201396433,2008,11,11,0
1201811757,2008,18,18,0
1202118857,2008,14,14,0
1202444182,,0,0,0
1203102773,2008,26,25,-1
1203604560,2008,18,17,-1
1204006435,2008,28,28,0
