qc_rule,qc_detail,event_id,year,division_canon,place,person_canon,norm
V2_R01_WEEKDAY_CONTAMINATION,weekday found in structured field,877061793,1998,Beginner Doubles Net (Sunday) 6 Teams,1,__NON_PERSON__,
V2_R01_WEEKDAY_CONTAMINATION,weekday found in structured field,877061793,1998,Beginner Doubles Net (Sunday) 6 Teams,2,__NON_PERSON__,
V2_R01_WEEKDAY_CONTAMINATION,weekday found in structured field,877061793,1998,Beginner Doubles Net (Sunday) 6 Teams,3,__NON_PERSON__,
V2_R01_WEEKDAY_CONTAMINATION,weekday found in structured field,877061793,1998,Beginner Singles Net (Saturday) 11 Entrants,1,Sean Jordan,sean jordan
V2_R01_WEEKDAY_CONTAMINATION,weekday found in structured field,877061793,1998,Beginner Singles Net (Saturday) 11 Entrants,2,John Pimentel,john pimentel
V2_R01_WEEKDAY_CONTAMINATION,weekday found in structured field,877061793,1998,Beginner Singles Net (Saturday) 11 Entrants,3,Tom Helus,tom helus
V2_R01_WEEKDAY_CONTAMINATION,weekday found in structured field,877061793,1998,Beginner Singles Net (Saturday) 11 Entrants,4,Steven Clinton,steven clinton
V2_R01_WEEKDAY_CONTAMINATION,weekday found in structured field,857874500,1997,Novice Doubles-Saturday,1,__NON_PERSON__,
V2_R01_WEEKDAY_CONTAMINATION,weekday found in structured field,857874500,1997,Novice Doubles-Saturday,3,__NON_PERSON__,
V2_R02_COUNTRY_IN_PERSON,country token in person field,1531284609,2018,Open 2 Square,10,Marcin Czech,marcin czech
V2_R02_COUNTRY_IN_PERSON,country token in person field,1531284609,2018,Open Singles Net,14,Marcin Czech,marcin czech
V2_R02_COUNTRY_IN_PERSON,country token in person field,1566532030,2019,2-Square,4,Marcin Czech,marcin czech
V2_R02_COUNTRY_IN_PERSON,country token in person field,1566532030,2019,Open Singles Net,10,Marcin Czech,marcin czech
V2_R02_COUNTRY_IN_PERSON,country token in person field,1567551985,2019,Open Singles Net,10,Marcin Czech,marcin czech
V2_R02_COUNTRY_IN_PERSON,country token in person field,1600984774,2020,Singles Net,9,Marcin Czech,marcin czech
V2_R02_COUNTRY_IN_PERSON,country token in person field,1624971880,2021,Open Singles Net,11,Marcin Czech,marcin czech
V2_R02_COUNTRY_IN_PERSON,country token in person field,1634665636,2021,Open Singles Net,8,Marcin Czech,marcin czech
V2_R02_COUNTRY_IN_PERSON,country token in person field,1668541701,2022,Open Singles Golf,3,Marcin Czech,marcin czech
V2_R02_COUNTRY_IN_PERSON,country token in person field,1668541701,2022,Open Singles Net,4,Marcin Czech,marcin czech
V2_R02_COUNTRY_IN_PERSON,country token in person field,1727756195,2024,Open Golf,1,Marcin Czech,marcin czech
V2_R02_COUNTRY_IN_PERSON,country token in person field,1727756195,2024,Open Singles,7,Marcin Czech,marcin czech
V2_R02_COUNTRY_IN_PERSON,country token in person field,1727756195,2024,Request,7,Marcin Czech,marcin czech
V2_R02_COUNTRY_IN_PERSON,country token in person field,1740391168,2025,Open Singles,10,Marcin Czech,marcin czech
V2_R02_COUNTRY_IN_PERSON,country token in person field,1741024635,2025,2-Square,4,Martin Czech,martin czech
V2_R02_COUNTRY_IN_PERSON,country token in person field,1741024635,2025,Footbag Golf,3,Marcin Czech,marcin czech
V2_R02_COUNTRY_IN_PERSON,country token in person field,1741024635,2025,Open Singles Net,23,Marcin Czech,marcin czech
V2_R02_COUNTRY_IN_PERSON,country token in person field,1751568193,2025,Open Single Net,6,Marcin Czech,marcin czech
V2_R02_COUNTRY_IN_PERSON,country token in person field,1519215398,2018,Open Singles Net,35,Marcin Czech,marcin czech
V2_R02_COUNTRY_IN_PERSON,country token in person field,1519215398,2018,Intermediate Singles Net,3,Marcin Czech,marcin czech
V2_R02_COUNTRY_IN_PERSON,country token in person field,1547415984,2019,Open Singles Net,30,Marcin Czech,marcin czech
V2_R02_COUNTRY_IN_PERSON,country token in person field,1547415984,2019,Intermediate Singles Net,1,Marcin Czech,marcin czech
V2_R02_COUNTRY_IN_PERSON,country token in person field,1694170899,2023,Singles Net,5,Marcin Czech,marcin czech
V2_R02_COUNTRY_IN_PERSON,country token in person field,1694170899,2023,Sick3,9,Marcin Czech,marcin czech
V2_R03_PUNCT_EDGE_PERSON,leading/trailing punctuation in person field,1061212821,2003,Intermediate Singles Freestyle,4,Reid ??,reid 
V2_R03_PUNCT_EDGE_PERSON,leading/trailing punctuation in person field,1089373321,2004,Shred 30,14,Paty ?,paty 
V2_R03_PUNCT_EDGE_PERSON,leading/trailing punctuation in person field,1117746703,2005,Single Net,7,Toni L.,toni l 
V2_R03_PUNCT_EDGE_PERSON,leading/trailing punctuation in person field,1377192359,2013,Request,3,Andi N.,andi n 
V2_R03_PUNCT_EDGE_PERSON,leading/trailing punctuation in person field,1686926080,2023,Open Singles,11,Pablo ?,pablo 
V2_R03_PUNCT_EDGE_PERSON,leading/trailing punctuation in person field,857879540,1997,Doubles Net,3,Toxic Tom B.,toxic tom b 
V2_R03_PUNCT_EDGE_PERSON,leading/trailing punctuation in person field,857879540,1997,Singles Net,1,Toxic Tom B.,toxic tom b 
V2_R03_PUNCT_EDGE_PERSON,leading/trailing punctuation in person field,952906680,2000,Intermédiaire Shred,3,Yan ?,yan 
V2_R03_PUNCT_EDGE_PERSON,leading/trailing punctuation in person field,991285803,2001,Novice Singles,2,Rémi ?,remi 
V2_R03_PUNCT_EDGE_PERSON,leading/trailing punctuation in person field,979089216,2001,Intermediate 45 Second Shred,4,Erik ???,erik ???
V2_R03_PUNCT_EDGE_PERSON,leading/trailing punctuation in person field,979089216,2001,Intermediate Sick 10 Trick,3,Erik ?????,erik ?????
V2_R03_PUNCT_EDGE_PERSON,leading/trailing punctuation in person field,947196813,2000,Consecutive Under 13 Singles,3,Max S.M.,max s.m.
V2_R03_PUNCT_EDGE_PERSON,leading/trailing punctuation in person field,1133888413,2006,Freestyle Sick 3,2,Lee S.,lee s.
V2_R03_PUNCT_EDGE_PERSON,leading/trailing punctuation in person field,1133888413,2006,Four Square,2,Lee S.,lee s.
V2_R03_PUNCT_EDGE_PERSON,leading/trailing punctuation in person field,1133888413,2006,Four Square,4,Tre L.,tre l.
V2_R03_PUNCT_EDGE_PERSON,leading/trailing punctuation in person field,1133888413,2006,Consecutive Kicks,1,Jeremy S.,jeremy s.
V2_R03_PUNCT_EDGE_PERSON,leading/trailing punctuation in person field,1133888413,2006,Consecutive Kicks,2,Matt E.,matt e.
