qc_rule,qc_detail,row_count
V2_R05_PERSON_REPEATED_IN_DIVISION,same person appears multiple times in same event+division,7615
V2_R06_PERSON_MULTIPLE_PLACES,same person has multiple places in same event+division,7607
V2_R10_REPEATED_PLACE_RUNS,same place appears >2 times in event+division,2150
V2_R09_TOO_MANY_FIRST_PLACE_ROWS,more than 2 first-place rows in event+division,298
V2_R08_MIN_PLACE_GT_1,division starts above place 1,291
V2_R04_EXACT_DUPLICATE_ROW,duplicate event+division+place+person row,165
V2_R15_PERSON_DUPLICATED_AT_SAME_PLACE,same person duplicated at same place,165
V2_R11_ROUND_TEXT_IN_DIVISION,division label contains round term,75
V2_R07_LIKELY_POOL_FINALS_MERGE,repeated person + round terms suggest pool/finals merge,33
V2_R03_PUNCT_EDGE_PERSON,leading/trailing punctuation in person field,30
V2_R02_COUNTRY_IN_PERSON,country token in person field,24
V2_R01_WEEKDAY_CONTAMINATION,weekday found in structured field,9
V2_R14_LOW_PLACE_VARIETY,many rows but only 1-2 distinct places,6
