event,division,place,severity,issue
9901155,Team Freestyle,1,HIGH,team_row_in_singles
9901155,Team Freestyle,1,HIGH,non_person_present
9901155,Team Freestyle,2,HIGH,team_row_in_singles
9901155,Team Freestyle,2,HIGH,non_person_present
9904297,Advanced Doubles,1,HIGH,non_person_present
9904297,Doubles Ultra,1,HIGH,non_person_present
9904297,Mixed Doubles,1,HIGH,non_person_present
9904297,Open Doubles,1,HIGH,non_person_present
9904297,Open Team,1,HIGH,non_person_present
9904297,Team Freestyle,1,HIGH,team_row_in_singles
9904297,Team Freestyle,1,HIGH,non_person_present
9905304,Open Doubles,1,HIGH,non_person_present
9918278,Advanced Doubles,1,HIGH,non_person_present
9918278,Open Doubles,1,HIGH,non_person_present
9918278,Ultra Doubles,1,HIGH,non_person_present
9924417,Open Doubles,1,HIGH,non_person_present
9924417,Team Freestyle,1,HIGH,team_row_in_singles
9924417,Team Freestyle,1,HIGH,non_person_present
9928572,Advanced Doubles,1,HIGH,non_person_present
9928572,Mixed Doubles,1,HIGH,non_person_present
9928572,Open Doubles,1,HIGH,non_person_present
9928572,Women's Doubles,1,HIGH,non_person_present
9940469,Open Doubles Net,1,HIGH,non_person_present
9940469,Open Doubles Net,2,HIGH,non_person_present
9958186,Intermediate Doubles Net,1,HIGH,non_person_present
9958186,Open Doubles Net,1,HIGH,non_person_present
9958186,Open Doubles Net,2,HIGH,non_person_present
9958186,Open Freestyle Doubles,1,HIGH,team_row_in_singles
9958186,Open Freestyle Doubles,1,HIGH,non_person_present
9966902,Advanced Doubles,1,HIGH,non_person_present
9966902,Open Doubles,1,HIGH,non_person_present
9966902,Team Freestyle,1,HIGH,team_row_in_singles
9966902,Team Freestyle,1,HIGH,non_person_present
9972848,Doubles Consecutive,1,HIGH,team_row_in_singles
9972848,Doubles Consecutive,1,HIGH,non_person_present
9972848,Open Doubles Net,1,HIGH,non_person_present
9972848,Open Doubles Net,2,HIGH,non_person_present
9980521,Open Doubles,1,HIGH,non_person_present
9984533,Team Freestyle,1,HIGH,team_row_in_singles
9984533,Team Freestyle,1,HIGH,non_person_present
9984533,Team Freestyle,2,HIGH,team_row_in_singles
9984533,Team Freestyle,2,HIGH,non_person_present
9992129,Open Doubles,1,HIGH,non_person_present
9998504,Open Doubles,1,HIGH,non_person_present
9998504,Team Freestyle,1,HIGH,team_row_in_singles
9998504,Team Freestyle,1,HIGH,non_person_present
857874500,Doubles Golf,1,HIGH,team_row_in_singles
