year,event_id,event_name,n_placements,n_divs,root_cause,cause_note,missing_errors,missing_warnings,present,divisions
1997,857881519,11th Annual Vancouver Open (and Worlds Warm-Up),32,9,OK,,,,Open Singles Net; Women's Singles Net; Open Doubles Net; Women's/Mixed Doubles Net,Golf Doubles Open; Golf Singles Advanced; Golf Singles Open; Net Doubles Advanced; Net Doubles Mixed; Net Doubles Open; Net Singles Advanced; Net Singles Open; Net Singles Womens
1997,857876517,The 18th Annual WORLD FOOTBAG CHAMPIONSHIPS,84,21,OK,,,,Open Singles Net; Women's Singles Net; Open Doubles Net; Women's/Mixed Doubles Net,Intermediate Doubles Net; Intermediate Golf; Intermediate Singles Freestyle; Intermediate Singles Net; Intermediate Women's Singles Net; Mixed Doubles Freestyle; Mixed Doubles Net; Open Doubles Distance One Pass; Open Doubles Freestyle; Open Doubles Net; Open Golf; Open Singles Freestyle; Open Singles Net; Open Timed Consecutive; Open Women's Timed Consecutive; Women's Doubles Distance One Pass; Women's Golf; Women's Open Doubles Freestyle; Women's Open Singles Freestyle; Women's Singles Net; Womens Doubles Net
1998,876591529,1998 WORLD FOOTBAG CHAMPIONSHIPS,58,20,OK,,,,Open Singles Net; Women's Singles Net; Open Doubles Net; Women's/Mixed Doubles Net,Intermediate Doubles Footbag Net; Intermediate Singles Footbag Net; Intermediate Singles Freestyle; Men's Individual Overall; Men's Open Doubles Footbag Net; Open Doubles 5-Minute Timed Consecutives; Open Doubles Distance One-Pass; Open Doubles Freestyle; Open Mixed Doubles Footbag Net; Open Mixed Doubles Freestyle; Open Singles Footbag Net; Open Singles Freestyle; Women's Individual Overall; Women's Intermediate Singles Footbag Net; Women's Open 5-Minute Timed Consecutives; Women's Open Doubles Distance One-Pass; Women's Open Doubles Footbag Net; Women's Open Doubles Freestyle; Women's Open Singles Footbag Net; Women's Open Singles Freestyle
1999,915561090,WORLD FOOTBAG CHAMPIONSHIPS,43,1,EXTERNAL_LINK,Full results at /worlds99/results/results.html not mirrored; freestyle at http://www.wam.umd.edu/~rvbpaco/1999WorldsFreestyle.html (off-site),,Women's Singles Net; Open Doubles Net; Women's/Mixed Doubles Net,Open Singles Net,Open Singles Net
2000,941418343,WORLD FOOTBAG CHAMPIONSHIPS,256,18,OK,,,,Open Singles Net; Women's Singles Net; Open Doubles Net; Women's/Mixed Doubles Net,Intermediate Doubles Net; Intermediate Singles Freestyle; Intermediate Singles Net; Mixed Doubles Freestyle; Mixed Doubles Net; Open Distance One Pass; Open Doubles Freestyle; Open Doubles Net; Open Golf; Open Singles Freestyle; Open Singles Net; Open Speed Consecutives; Womens Distance One Pass; Womens Doubles Net; Womens Footbag Golf; Womens Singles Freestyle; Womens Singles Net; Womens Speed Consecutives
2001,987361779,Cornerstone Festival 2001 Largest Footbag Circle World Record Attempt,0,0,OK,,,,,
2001,980969461,WORLD FOOTBAG CHAMPIONSHIPS,203,21,OK,,,,Open Singles Net; Women's Singles Net; Open Doubles Net; Women's/Mixed Doubles Net,Intermediate Doubles Net; Intermediate Golf; Intermediate Singles Freestyle; Intermediate Singles Net; Open 30-Second Shred; Open 5-Minute Timed Consecutives; Open Doubles Distance One-Pass; Open Doubles Freestyle; Open Doubles Net; Open Golf; Open Mixed Doubles Freestyle; Open Mixed Doubles Net; Open Singles Freestyle; Open Singles Net; Women's 30-Second Shred; Women's 5-Minute Timed Consecutives; Women's Doubles Distance One-Pass; Women's Doubles Net; Women's Golf; Women's Singles Freestyle; Women's Singles Net
2002,1013283071,23rd Annual WORLD FOOTBAG CHAMPIONSHIPS,78,6,OK,,,,Open Singles Net; Women's Singles Net; Open Doubles Net; Women's/Mixed Doubles Net,Open Doubles Net; Open Mixed Doubles Net; Open Singles Net; Open Singles Routines; Women's Doubles Net; Women's Singles Net
2003,1035277529,24th Annual WORLD FOOTBAG CHAMPIONSHIPS,186,10,OK,,,,Open Singles Net; Women's Singles Net; Open Doubles Net; Women's/Mixed Doubles Net; Open Freestyle Singles,Intermediate Doubles Net; Intermediate Singles Net; Mixed Doubles Freestyle; Open Doubles Freestyle; Open Doubles Net; Open Mixed Doubles Net; Open Shred:30; Open Singles Net; Women's Open Doubles Net; Women's Open Singles Net
2004,1069929277,25th Annual IFPA WORLD FOOTBAG CHAMPIONSHIPS,244,15,OK,,,,Open Singles Net; Women's Singles Net; Open Doubles Net; Women's/Mixed Doubles Net; Open Freestyle Singles; Open Freestyle Doubles,Intermediate Doubles Net; Intermediate Shred; Intermediate Singles Freestyle; Intermediate Singles Net; Mixed Doubles Freestyle; Mixed Doubles Net; Open Doubles Freestyle; Open Doubles Net; Open Shred; Open Singles Freestyle; Open Singles Net; Women Open Doubles Net; Women Open Singles Net; Women's Shred; Women's Singles Freestyle
