event_id,year,event_name,division,canonical_div_matched,match_score,source_max_place,canonical_max_place,source_count,canonical_count,is_source_partial
1001942070,2001,Texas State Footbag Championships,30 Second Shred - Intermediate,30 Second Shred ? Intermediate,0.966,3,2,3,2,True
1013283071,2002,23rd Annual WORLD FOOTBAG CHAMPIONSHIPS,Women's Doubles Net,Women's Doubles Net,1.0,6,5,6,4,False
1018812342,2002,Czech Footbag Championships,Doubles Freestyle,Doubles Freestyle,1.0,5,4,5,4,True
1028233308,2002,US Open Freestyle Championships,Novice 3 Minute Consecutives,Novice 3 Minute Consecutives,1.0,6,5,6,5,False
1028800969,2002,3. Frankfurt Footbag Open,Doubles Net Open,Doubles Net Open,1.0,8,4,8,4,False
1028800969,2002,3. Frankfurt Footbag Open,Singles Net Open,Singles Net Open,1.0,9,8,9,8,False
1034985978,2003,2003 Canadian Open Footbag Championships,Shred 30 Champion,Shred 30 Champion,1.0,3,1,3,1,False
1038895913,2003,Seapa NZ Freestyle Footbag Championships,Unknown,Unknown,1.0,5,3,4,3,False
1058378281,2003,Texas State Footbag Championships,Open Consecutives,Open Consecutives,1.0,3,1,3,1,False
1061453080,2003,Australian East Coast Regionals,Intermediate Sick 3,Intermediate Sick Trick,0.857,3,1,3,1,False
1061453080,2003,Australian East Coast Regionals,Open Sick Trick,Open Sick Three,0.8,1,3,1,3,False
1075781798,2004,Funtastik Summer Classic Footbag Tournament,Pro Doubles Net,Pro Doubles Net,1.0,4,3,4,3,False
1079444598,2004,German Footbag Open 2004,Intermediate Singles Net,Intermediate Single Net,0.979,4,1,4,1,False
1079444598,2004,German Footbag Open 2004,Open Singles Net,Open Single Net,0.968,4,3,4,1,False
1079444598,2004,German Footbag Open 2004,Intermediate Freestyle,Intermediate Freestyle,1.0,4,3,4,3,False
1079605499,2004,6th Annual IFPA European Footbag Championships,Open Golf,Open Golf,1.0,10,9,9,7,False
1080138513,2004,RNH Contest 2004,Shred 30,Shred 30,1.0,10,9,10,8,False
1080138513,2004,RNH Contest 2004,Sick 3,Sick 3,1.0,8,4,11,4,False
1089373321,2004,6e Open de France de Footbag,Golf,Golf,1.0,3,2,3,2,False
