event_id,year,Tournament Name,Date,Location,Event Type,Host Club,placements_count,results_lines
1043096425,1985,East Coast Championships - 3rd Annual - 1985,"September 14-15, 1985","Monmouth College Long Branch, New Jersey, USA",mixed,,27,52
1057126024,1986,East Coast Footbag Championships - 4th Annual - 1986,"September 30, 1986","Monmouth College Long Branch, New Jersey, USA",mixed,,33,62
1057175925,1990,East Coast Footbag Championships - 8th Annual - 1990,"August 31, 1990","Mayo Park Beachwood, New Jersey, USA",mixed,,33,62
1057345914,1991,East Coast Footbag Championships - 1991 - 9th Annual,"October 5-6, 1991","Mayo Park Beachwood, NK, USA",mixed,,36,67
857852604,1997,Southern California Footbag Championships,"April 5-6, 1997","Hermosa Valley Park Hermosa Beach, California, USA",freestyle,,6,11
857874500,1997,University of Oregon Footbag Tournament,"April 19-20, 1997","University of Oregon Eugene, OR, USA",golf,,22,29
857875120,1997,Western Regional Footbag Championships,"May 24-26, 1997","Stanford University - Wilbur Field Palo Alto, California, USA",mixed,,43,80
857876215,1997,State Games of Oregon Footbag Tournament,"July 12-13, 1997","Mt. Hood Community College Gresham, Oregon, USA",net,,26,41
857876517,1997,The 18th Annual WORLD FOOTBAG CHAMPIONSHIPS,"August 11-17, 1997","Portland, Oregon, USA",worlds,,84,133
857876870,1997,Eugene Celebration Footbag Tournament,"September 20-21, 1997","Alton Baker Park Eugene, Oregon, USA",net,,25,32
857880054,1997,Bedford (Australia) Indoor Footbag Championships,"June 8, 1997","Bedford, Western Australia, Australia",net,,8,11
857880964,1997,13th Annual MIDWEST REGIONAL FOOTBAG CHAMPIONSHIPS,"June 13-15, 1997","Mt. Prospect, Illinois, USA",mixed,,51,86
857881519,1997,11th Annual Vancouver Open (and Worlds Warm-Up),"August 2-3, 1997","Stanley Park - Brockton Oval Vancouver, BC, Canada",net,,32,53
857881898,1997,Funtastik Summer Classic,"August 30-September 1, 1997","City Island Harrisburg, Pennsylvania, USA",mixed,,38,65
859400929,1997,Montreal International Footbag Championships,"July 19-20, 1997","La Ronde and Plaine des Jeux Montreal, Quebec, Canada",mixed,,29,52
859657310,1997,New York Footbag EXPLOSION,"June 28-29, 1997","Central Park (next to Summerstage) New York, USA",freestyle,,11,18
859787898,1997,HEART OF FOOTBAG Freestyle Tournament,"February 15-16, 1997","Portland State University, Main Gym Portland, Oregon, USA",freestyle,,37,54
859913311,1997,Air-A-Zona State Footbag Championships,"January 18-19, 1997","Eldorado Park Scottsdale, Arizona, USA",net,,12,21
859923755,1997,California State Footbag Championships,"July 5-6, 1997","Schaefer Elementary School Santa Rosa, California, USA",mixed,,39,54
860082052,1997,Texas State Footbag Championships,October 11 - 12,"Texas, USA",social,,0,0
860356126,1997,14th Annual Emerald City Open Footbag Championships,"June 7-8, 1997","Lid Park - Mercer Island Seattle, Washington, USA",net,,50,83
865043841,1997,The Ultimate Chaos Outdoor Footbag Flying Disc Festival,"September 27-28, 1997","Sam Rinella Playfields Carbondale, Illinois, USA",mixed,,19,34
873922005,1997,FOOTBAG SM 97 / Finnish Footbag Championships '97,"November 29, 1997","Ruskeasuon urheiluhalli / Sportcenter of Ruskeasuo Helsinki, Finland",mixed,,12,21
876590022,1997,1997 Seattle Fall Indoor Tournament,"November 8-9, 1997","Magnolia Community Center Seattle, Washington, USA",golf,,16,25
877848852,1997,Auburn U.F.O. Fall Festival,"November 8-9, 1997","Martin Luther King Park Auburn, Alabama, USA",mixed,,21,40
876331623,1998,Southern California Footbag Championships,"April 4-5, 1998","Hermosa Valley Park Hermosa Beach, California, USA",mixed,,31,48
876336655,1998,Air-A-Zona 2nd Annual Footbag Net Championships,"January 17-18, 1998","Eldorado Park Scottsdale, Arizona, USA",net,,67,82
876356874,1998,WESTERN REGIONAL FOOTBAG CHAMPIONSHIPS,"May 23-25, 1998","Stanford University, Wilbur Field Palo Alto, California, USA",mixed,,150,197
876591529,1998,1998 WORLD FOOTBAG CHAMPIONSHIPS,"July 13-19, 1998","Ile Ste. Helene Montreal, Quebec, Canada",worlds,,58,105
877061793,1998,U. S. Open Footbag Net Championships,"June 20-21, 1998","Sellwood Riverfront Park Portland, Oregon, USA",net,,45,64
879319107,1998,1998 Southern Regional Footbag Championships,"April 25-26, 1998","Wildflower Festival / Heights Park Richardson, Texas, USA",mixed,,50,83
881872990,1998,The 3rd Annual Chaos Indoor Footbag Festival,"February 7-8, 1998","Student Recreation Center of SIUC Carbondale, Illinois, USA",mixed,,18,33
883135865,1998,1998 Winter Windchill Warm-Up (l'Hivernal),"March 28-29, 1998","Montreal, QC, Canada",net,,14,23
884112176,1998,The 1st Annual Fighting Illini Footbag Festival,"April 17-19, 1998","Illini Playfields Champaign, Illinois, USA",mixed,,12,25
886044392,1998,12th Annual Vancouver Open Footbag Net Tournament,"August 22-23, 1998","Stanley Park Vancouver, B.C., Canada",net,,34,61
888294869,1998,15th Annual Emerald City Open,"June 6-7, 1998","Lid Park Mercer Island, Washington, USA",net,,42,73
892446131,1998,Kansas Footbag Open,"May 16-17, 1998","Watson Park Wichita, Kansas, USA",golf,,13,26
899077904,1998,Northern Illinois Footbag Open,"August 8-9, 1998","Malta, Illinois, USA",mixed,,20,39
899722892,1998,Finnish Footbag Open 1998,"September 26-27, 1998","Tali Soccer Innerstadium / Toolo Sportcenter Helsinki, Finland",mixed,,18,33
901349509,1998,18th Annual Beaver Open,"September 5-7, 1998","Willamette Mission State Park Salem, Oregon, USA",net,,11,22
901687367,1998,13th Annual Funtastik Summer Classic Footbag Tournament,"September 5-7, 1998","City Island Harrisburg, Pennsylvania, USA",mixed,,37,66
903468009,1999,Southern California Footbag Championships,"April 10-11, 1999","Hermosa Valley Park Hermosa Beach, CA",mixed,,23,42
903632480,1999,3rd Annual Air-A-Zona Footbag Net Championships,"January 16-17, 1999","ASU Band Field Tempe, Arizona, USA",net,,38,55
909186885,1999,1999 Southern Regional Footbag Championships,"April 24-25, 1999","Dallas, Texas, USA",golf,,43,48
910551956,1999,1999 Western Regional Footbag Championships,"May 29-31, 1999","Stanford University - Wilbur Field Palo Alto, California, USA",mixed,,106,141
912467534,1999,12th Annual U.S. Open Footbag Net Championships,"August 13-15, 1999","Tom McCall Waterfront Park Portland, Oregon, USA",net,,38,55
913061034,1999,Finnish Freestyle Festival '99,"March 13, 1999","Toolo Sportcenter Helsinki, Finland",freestyle,,18,25
915561090,1999,WORLD FOOTBAG CHAMPIONSHIPS,"July 12-18, 1999","Montrose Harbor - Mayor's Cup Soccer Tournament Chicago, Illinois, USA",worlds,,43,46
916193231,1999,1999 Montreal International Footbag Championship,"July 2-4, 1999","Plage du parc des Iles de Montreal Montreal, Quebec, Canada",mixed,Association Québécoise de Footbag,25,42
916977484,1999,State Games of Oregon Footbag Tournament,"May 15-16, 1999","University of Oregon Education Field Eugene, Oregon, USA",net,,21,38
917278465,1999,EUROPEAN FOOTBAG OPEN,"June 19-20, 1999","Flatow-Halle Berlin Kreuzberg Berlin, Germany",mixed,,34,53
917741782,1999,2nd Annual Illini Footbag Festival,"April 10-11, 1999","Multiplex (First and Stadium) Champaign, Illinois, USA",mixed,,18,33
919703711,1999,13th Annual Vancouver Open Footbag Net Tournament,"August 21-22, 1999","Stanley Park Vancouver, B.C., Canada",net,,57,78
919885513,1999,Montreal Windchill (l'HIVERNAL),"April 10-11, 1999","Cegep du Vieux-Montreal Montreal, Quebec, Canada",net,,14,23
920579000,1999,East Coast Footbag Championships,"May 8-9, 1999","University of Maryland, College Park College Park, Maryland, USA",mixed,,24,43
924977661,1999,16th Annual Emerald City Open,"June 12-13, 1999","Greenlake Park Seattle, Washington, USA",net,,40,67
929217368,1999,14th Annual Funtastik Summer Classic,"September 4-6, 1999","City Island Harrisburg, Pennsylvania, USA",mixed,,41,68
931840905,1999,1st Annual Montana Invitational,"September 18-19, 1999","Sliter's Park Bigfork, Montana, USA",mixed,,56,87
933870505,1999,Finnish Footbag Open Championships 1999,"August 28-29, 1999","Toolo's Sportcenter (downtown Helsinki) Helsinki, Finland",mixed,,42,57
937727262,1999,California State Footbag Championships,"October 23-24, 1999","Peacock Meadow, Golden Gate Park (a.k.a. the usual place) San Francisco, California, USA",mixed,,24,37
937854594,1999,Turku Tournee 1999,"September 25, 1999","Kupitta park Turku, Finland",net,Suomen Footbag Liitto ry. (Finnish Footbag Association),16,21
942013549,1999,German Footbag Freestyle Battle 99,"December 19, 1999","Arena Berlin, Germany",freestyle,FC Footstar Berlin e.V.,8,11
933099911,2000,4th Annual Air-A-Zona Footbag Net Tournament,"January 15-17, 2000","ASU Tempe, Arizona, USA",net,AIR-A-ZONA FOOTBAG NET CLUB,12,21
933115858,2000,Colorado Shred Symposium,"February 19-21, 2000","Sat/Sun: Toadstool Playhouse; Mon: UMC, (CU Campus) Boulder, Colorado, USA",freestyle,,10,15
941066992,2000,WESTERN REGIONAL FOOTBAG CHAMPIONSHIPS,May 29,"California, USA",social,,0,0
941418343,2000,WORLD FOOTBAG CHAMPIONSHIPS,"August 14-20, 2000","See Worlds website Vancouver, BC, Canada",worlds,Kitsilano Footbag Association,256,299
944242404,2000,Todexon Cup Freestyle Tournament,"February 5, 2000","Club Luxor Praha, Czech Republic",freestyle,Czech Footbag Association,8,11
