filename,crop_x1,crop_y1,crop_x2,crop_y2,status
Footbag World Vol. 10 No. 1.jpeg,25,95,614,466,crop
Footbag World Vol. 10 No. 2 page 1.jpeg,61,53,596,468,crop
Footbag World Vol. 10 No. 2 page 2.jpeg,299,101,553,373,crop
Footbag World Vol. 10 No. 2 page 3.jpeg,25,73,619,457,crop
Footbag World Vol. 11 No. 1.jpeg,37,103,628,460,crop
Footbag World Vol. 11 No. 2 page 1.jpeg,25,51,619,434,crop
Footbag World Vol. 11 No. 2 page 2.jpeg,24,55,622,471,crop
Footbag World Vol. 12 No. 2 page 1.jpeg,9,64,608,434,crop
Footbag World Vol. 12 No. 2 page 2.jpeg,7,96,632,439,crop
Footbag World Vol. 13 No. 1.jpeg,28,75,637,464,crop
Footbag World Vol. 13 No. 2 page 1.jpeg,83,64,592,454,crop
Footbag World Vol. 13 No. 2 page 2.jpeg,67,81,630,421,crop
Footbag World Vol. 14 No. 1.jpeg,10,61,617,430,crop
Footbag World Vol. 14 No. 2 page 1.jpeg,69,57,569,458,crop
Footbag World Vol. 14 No. 2 page 2.jpeg,13,113,581,460,crop
Footbag World Vol. 2 No. 1.jpeg,34,197,578,325,crop
Footbag World Vol. 2 No. 3.jpeg,40,69,545,413,crop
Footbag World Vol. 3 No. 1 - Copy.jpeg,37,32,550,417,crop
Footbag World Vol. 3 No. 1.jpeg,48,0,569,434,crop
Footbag World Vol. 3 No. 3.jpeg,37,29,579,455,crop
"Footbag World Vol. 3, No. 2 Page 1.jpeg",51,35,608,435,crop
"Footbag World Vol. 3, No. 2 Page 2.jpeg",6,22,628,479,crop
Footbag World Vol. 4 No. 1.jpeg,67,10,465,444,crop
Footbag World Vol. 4 No. 2 page 1.jpeg,33,39,612,471,crop
Footbag World Vol. 4 No. 2 page 2.jpeg,1,24,618,456,crop
Footbag World Vol. 4 No. 3.jpeg,50,39,562,442,crop
Footbag World Vol. 5 No. 1.jpeg,49,27,479,445,crop
Footbag World Vol. 5 No. 2 page 1.jpeg,21,34,602,461,crop
Footbag World Vol. 5 No. 2 page 2.jpeg,,,,,
Footbag World Vol. 5 No. 2 page 3.jpeg,34,40,569,465,crop
Footbag World Vol. 6 No. 1 page 1.jpeg,161,23,566,475,crop
Footbag World Vol. 6 No. 1 page 2.jpeg,94,42,555,418,crop
Footbag World Vol. 6 No. 2 page 1.jpeg,72,16,606,474,crop
Footbag World Vol. 6 No. 2 page 2.jpeg,25,88,594,451,crop
Footbag World Vol. 6 No. 3.jpeg,121,67,550,440,crop
Footbag World Vol. 7 No. 1 Page 1.jpeg,28,43,547,453,crop
Footbag World Vol. 7 No. 1 Page 2.jpeg,45,81,572,435,crop
Footbag World Vol. 7 No. 2.jpeg,14,98,598,455,crop
Footbag World Vol. 7 No. 3 Page 1.jpeg,35,3,596,478,crop
Footbag World Vol. 7 No. 3 Page 2.jpeg,75,108,238,366,crop
Footbag World Vol. 7 No. 3 Page 3.jpeg,14,64,630,462,crop
Footbag World Vol. 8 No. 1.jpeg,112,123,561,421,crop
Footbag World Vol. 8 No. 2 page 1.jpeg,11,55,564,460,crop
Footbag World Vol. 8 No. 2 page 2.jpeg,0,0,0,0,skip
Footbag World Vol. 8 No. 2 page 3.jpeg,70,96,586,448,crop
Footbag World Vol. 8 No. 2 page 4.jpeg,17,96,310,389,crop
Footbag World Vol. 9 No. 1.jpeg,70,84,545,461,crop
Footbag World Vol. 9 No. 2 page 1.jpeg,82,31,582,457,crop
Footbag World Vol. 9 No. 2 page 2.jpeg,24,86,305,380,crop
Footbag World Vol. 9 No. 2 page 3.jpeg,39,82,593,447,crop
IFAB Rulebook Worlds History Page 1.jpeg,58,16,576,440,crop
IFAB Rulebook Worlds History Page 2.jpeg,54,37,585,451,crop
IFAB Rulebook Worlds History Page 3.jpeg,47,26,573,454,crop
IFAB Rulebook Worlds History Page 4.jpeg,40,31,579,457,crop
