person_canon,effective_person_id,notes
Aaron Finger,58b8b504-077c-5a37-9e96-0bb405506e02,no_match
Aaron Grauer,3f12f7d5-75dc-5467-8aab-1c864defb1e8,no_match
Aaron Hunsburger,1018fba6-1fb7-5b2a-8a0e-0dcde74d1e26,no_match
Aaron Saucedo,aef45333-50d3-5e29-8482-2f76c6ca90f9,no_match
Aaron Shepard,fea8f5a0-4e10-5161-8a35-9ac795141db3,no_match
Aaron Vargas,019ead09-4345-5705-9196-5b37fba7813e,no_match
Aaron Wichman,bcf49f90-b0db-5580-a216-5d0bad1153da,no_match
Abdom Vivas,38c0cb5d-12c3-54bb-bd52-67934dec64a9,no_match
Abel Da Silva,c87f38e0-b918-5fdc-b7bb-b131198a6d82,no_match
Abraham Akbari,6ef97ba8-166b-58bf-a815-485ad4bb4bb6,no_match
Abrahmovicz Piotr,e86a1f8c-d705-5f4e-9f9e-ec85f0e07509,no_match
Acosta Funes,2244b92b-058a-5735-9452-3c4c86e32569,no_match
Acosta Iván,99110263-91d7-5018-bc5e-49661655a293,no_match
Adam Eisner,91a047ef-e294-58ca-8ffd-b8bb18c65361,no_match
Adam Hutchinson,3411998f-eba4-56d9-9ce6-15625a0207ea,no_match
Adam Kulhánek,f4c78642-48de-58f6-9c21-63d2da1215c1,no_match
Adam Pirog,5a74ce40-c264-5136-b408-4ca3be3a99f1,no_match
Adrian Dukes,31807edb-3e39-512f-8055-515a28c9653f,no_match
Adrian Saenz,6a27bba5-97af-5cc8-859f-95396a41d8d3,no_match
Aerial Santesteban,693b7dd3-a5f9-50da-a4b3-1898bb7a069b,no_match
Airam Díaz,64f7188a-bfd6-5fec-93ef-c76a06ec7811,no_match
Aki Pentikäinen,0e264f16-8804-52e4-8aa4-2d8dfeb02416,no_match
Aku Kolu,fb975dca-5348-559e-aede-88918ce88632,no_match
Alan Eneev,da0a2c69-e34e-59ff-957e-a611fa3ddf7b,no_match
Alan Gonzalez,e269647d-af97-5740-aa94-792c5ccb1d1f,no_match
Alberto Romero,921b8a6a-0446-576e-b47d-a526c1ca83aa,no_match
Aleksandar Dojci,ba1d648e-4e90-594f-ae88-ef73aa4627a1,no_match
Aleksandar Kostov,441fd7d9-70aa-51f7-bd1a-58e5d12b1fb6,no_match
Aleksander Smirnov,4fe4f26c-8c31-5464-a3cf-d0ddfd4776f0,no_match
Aleksandr Ivanov,e19def34-04ae-5a47-8a88-22e180fb9429,no_match
Aleksi Hirvonen,c9d93b87-ad4e-5302-ad73-0575871e8c65,no_match
Alex Bernstein,743b3110-af5d-5b1d-a489-5f0ebece2abd,no_match
Alex Bélanger,fd9295e3-97e4-5ef5-98fa-f8e13b93bff0,no_match
Alex Davidson,5034c206-0e8f-58e6-8845-776e6b7a57e4,no_match
Alex Faber,16b2083f-d41a-5944-8669-d41494e21159,no_match
Alex Frazier,1f2d14aa-31e7-5d1f-a338-9ae43af68af5,no_match
Alex Martínez,bab369e3-b27c-55ec-99e7-a9b61865acfb,no_match
Alex Salgado,a9ddcc2c-6bbb-5c7c-9742-d23cd83a97e7,no_match
Alex Segalowsky,89875f44-7500-5c62-810a-24ec6f8679de,no_match
Alex Shocki,001e5271-a041-5a03-9c72-ba12f2737fa3,no_match
Alex Smirnov,106f11af-2fef-5591-905a-0f63e12a3a09,no_match
Alex Spiers,b3b44b70-64a4-5ac3-bf71-2540e787c826,no_match
Alex Vannier,4c8215b4-4847-581a-a0d0-2ce338a83ed1,no_match
Alex Verget,448d4c37-75f4-5396-bd2f-544dd0ab967c,no_match
Alex Watkins,1c3a267b-2baf-583e-9c71-4aea5962fa22,no_match
Alex Zeke Ibardaloza,1b7f1d70-1719-533a-957a-1dae6a2dc23e,no_match
Alexander Bartsch,baf55af8-3c88-5c65-95cf-12f3b2c7c390,no_match
