year,n_chains,n_chains_scored,avg_chain_length,median_chain_length,pct_3plus_tricks,pct_fully_scored,avg_max_add,avg_avg_add,max_chain_length
2001,5,5,2.8,3.0,60.0,100.0,4.0,3.383,4
2002,12,12,2.75,3.0,66.7,91.7,4.167,3.653,4
2003,12,12,2.25,2.0,25.0,91.7,4.083,3.444,3
2004,26,26,2.308,2.0,30.8,84.6,4.269,3.474,3
2005,26,26,2.462,2.0,38.5,76.9,4.462,3.613,5
2006,41,40,2.293,2.0,34.1,90.2,4.05,3.362,3
2007,58,56,2.534,3.0,53.4,67.2,4.107,3.202,4
2008,43,41,2.628,2.0,48.8,79.1,3.976,3.148,7
2009,17,17,2.294,2.0,29.4,88.2,4.706,4.049,3
2010,11,11,2.364,2.0,36.4,36.4,3.727,2.545,3
2011,1,1,2.0,2.0,0.0,0.0,4.0,2.0,2
2012,9,9,2.111,2.0,11.1,88.9,4.444,3.5,3
2013,13,13,2.308,2.0,30.8,76.9,4.769,3.679,3
2014,10,9,2.3,2.0,30.0,70.0,4.0,3.204,3
2015,9,9,2.444,3.0,55.6,88.9,4.111,3.5,3
2016,11,11,2.364,2.0,36.4,81.8,4.364,3.5,3
2017,6,6,2.833,2.5,50.0,66.7,4.5,3.167,5
2018,20,20,2.45,2.5,50.0,65.0,4.2,2.933,3
2019,10,9,2.3,2.0,30.0,70.0,4.667,3.593,3
2021,31,31,2.387,2.0,35.5,74.2,3.774,3.046,5
2022,1,1,2.0,2.0,0.0,100.0,3.0,3.0,2
2025,3,2,2.0,2.0,0.0,0.0,4.0,2.0,2
