person_id,person_canon,score_mentions,scored_events,min_score,max_score,avg_score,first_year,last_year,sample_event,sample_line
12144bd1-1a64-5e79-ba8c-2e64c2de69f9,James Roberts,8,2,67.0,587.0,260.25,1998,1999,,1. James Roberts - 67
4ad82639-801d-5c4b-aae6-f07e5dfe67d2,Mariusz Wilk,8,3,16.8,160.0,86.65,2009,2017,,"6. Mariusz Wilk - 144,83 (Warszawa)"
24ffb4bb-a58e-54d8-b0d9-06b989c794cd,Alexander Trenner,8,2,15.8,158.0,56.15,2007,2017,,4. Alexander Trenner - 31
06f90b62-5f4a-5350-9066-047a5e66ccb1,Jim Derricott,6,3,32.0,462.0,307.3333333333333,1997,1999,,4. Jim Derricott - 428
b692f69a-35c0-5cdf-b786-a3ce86d7d9d6,Derric Scalf,6,2,73.0,417.0,189.0,1998,1999,,4. Derric Scalf - 73
e53e759e-e2e1-589b-a5b2-4c95e89b8e8c,Rory Dawson,6,2,3.0,173.6,92.86666666666667,2005,2008,,5) Rory Dawson - 102. 1
64337714-3133-53d6-b29a-511ae9f14920,Greg Durrett,6,3,27.0,57.0,38.666666666666664,1998,1999,,4. Greg Durrett - 27
cc144a17-3ed0-5c64-9305-e9a45fa00290,Dan Ednie,5,2,126.13,375.0,230.22600000000003,2002,2003,,Dan Ednie - 126.13
b6cd9486-0b87-582f-ad50-e5c4da573a20,Rick Kom,4,2,571.0,669.0,620.0,1997,1998,,1. Rick Kom - 571
26349aa8-a1ff-5e6a-bff5-f93a89d20c68,Tricia George,4,2,67.0,646.0,356.5,1997,1999,,3. Tricia George - 67
619a16fc-fe87-552c-b882-b92d96d15588,Richard Cook,4,2,606.0,627.0,616.5,1997,1998,,2. Richard Cook - 606
9c808a76-9232-5aef-9536-149543c18ba0,Chris Eckley,4,2,519.0,528.0,523.5,1997,1999,,2. Chris Eckley - 519
27569bfc-a9e1-58c3-845b-ba0a01f4d9d7,François Leh,4,1,36.0,395.0,215.5,1999,1999,,1. François Leh - 36
b39aea2d-6370-5381-88ec-ffc5a9d3f9de,Ian Pritchard,4,1,51.7,357.0,204.35,2003,2003,,3. Ian Pritchard - 357
2fba2bff-d73a-5082-ad4c-b956439788bd,Geoff Hand,4,2,30.0,289.0,159.5,1999,1999,,3.Geoff Hand - 289
8606f658-92cd-570c-bf5e-2865de4a9b48,Andrew Grant,4,2,162.0,178.8,170.4,2005,2008,,1) Andrew Grant - 162.0
bf5ce745-18b5-50b5-87a5-b2af6ffbf21c,Byrin Wylie,4,2,118.3,160.3,139.3,2005,2008,,3) Byrin Wylie - 118.3
b41cedc4-cb5f-5d49-899f-5a04af4092da,Klemenz Längauer,4,1,29.0,110.0,69.5,2007,2007,,3. Klemens Längauer - 29
9cd9cd3b-f4f9-5444-8dcc-46f60e41fb59,Manna Mpepo,4,1,1.0,99.0,50.0,2008,2008,,1) Manna Mpepo- 99.0
40fa16ff-a418-5da9-914e-3a09e231f2a7,Bill Langbehn,4,2,24.0,66.0,45.0,1997,1998,,2. Bill Langbehn - 66
