person_id,person_canon,trick_canon,trick_type,mentions,first_year,last_year,event_count,sample_event,sample_line
8606f658-92cd-570c-bf5e-2865de4a9b48,Andrew Grant,whirl,full_trick,11,2006,2008,4,,2- Andrew Grant- blurry whirl> blurry whirl> ps whirl
ac1268dc-a961-568f-860e-63e9ea815c01,Damian Gielnicki,swirl,full_trick,10,2006,2022,9,,2. Damian Gielnicki (Blurry Drifter > Spinning Swirl > Food Processor)
24ffb4bb-a58e-54d8-b0d9-06b989c794cd,Alexander Trenner,whirl,full_trick,9,2007,2022,6,,8. Alexander Trenner ? Sumo > Phoenix > PS Whirl
be7a8e7f-f052-5c31-b27b-47d4fee9a265,Evan Gatesman,swirl,full_trick,8,2008,2016,7,,1 Evan Gatesman blurry whirling swirl
ac1268dc-a961-568f-860e-63e9ea815c01,Damian Gielnicki,spinning,style_term,7,2006,2022,7,,2. Damian Gielnicki (Blurry Drifter > Spinning Swirl > Food Processor)
401af1f3-a976-5403-9740-210e2849f159,Maciej Niczyporuk,pixie,style_term,7,2011,2022,7,,"1. Maciek Niczyporuk janiwalk>bedwetter>pixie whirling swirl (5,2)"
401af1f3-a976-5403-9740-210e2849f159,Maciej Niczyporuk,swirl,full_trick,7,2011,2022,7,,"1. Maciek Niczyporuk janiwalk>bedwetter>pixie whirling swirl (5,2)"
8606f658-92cd-570c-bf5e-2865de4a9b48,Andrew Grant,blurry whirl,full_trick,7,2006,2008,4,,2- Andrew Grant- blurry whirl> blurry whirl> ps whirl
b7d020fd-3376-5224-9aa6-d56ae56ad9cb,Taishi Ishida,whirl,full_trick,7,2012,2019,3,,16. Taishi Ishida (Japan) - blurry whirl > PS whirl > PS whirl
11542335-67de-5fd2-9d43-5f2b55ea1fef,Brian Sherrill,spinning,style_term,6,2012,2014,4,,10. Brian Sherrill (USA) - double spinning osis > mobius > spinning dyno
04a43526-37ba-5ea0-a01c-8e357a694c42,Felix Zenger,blender,full_trick,6,2005,2013,4,,2. Felix Zenger (FIN) Double Blender > Superfly > Spinning Blender
8983b558-9cb9-5a25-bb28-589435a8f34e,Serge Kaldany,whirl,full_trick,6,2006,2008,3,,"1. Serge Kaldany ""Pixie Ducking Symposium Whirl"""
ac1268dc-a961-568f-860e-63e9ea815c01,Damian Gielnicki,dimwalk,full_trick,5,2007,2022,5,,2. Damian Gielnicki (Nowe Miasto) Spinning Pdx DLO > Dimwalk Swirl > Marius
ac1268dc-a961-568f-860e-63e9ea815c01,Damian Gielnicki,torque,full_trick,5,2008,2022,5,,1. Damian Gielnicki (Sumo>Alpine Legbeater>Ducking Pdx Torque)
4d04edec-6cd0-582d-b4e1-e8ead070a8c8,Jim Penske,whirl,full_trick,5,2003,2015,4,,"5th) Jim Penske: P. Legbeater, Blurry Whirl, P. Torque"
bf5ce745-18b5-50b5-87a5-b2af6ffbf21c,Byrin Wylie,whirl,full_trick,5,2007,2007,3,,"1. Byrin Wylie--Surging Ducking Paradox Whirl, Surging Paradox Blender, Gyro"
2c16c43d-6111-5231-b813-23f20f6ba7a3,Jonathan Schneider,swirl,full_trick,5,2005,2008,3,,1st Jon Schnieder whirling swirl x3
8983b558-9cb9-5a25-bb28-589435a8f34e,Serge Kaldany,ducking,style_term,5,2006,2007,3,,"1. Serge Kaldany ""Pixie Ducking Symposium Whirl"""
24ffb4bb-a58e-54d8-b0d9-06b989c794cd,Alexander Trenner,blurry whirl,full_trick,4,2008,2016,4,,4. Alexander Trenner ? Leg Beater > Blurry Whirl > PS Whirl
4beb2ce2-19e8-5443-9b5b-e221febea787,Andreas Nawrath,whirl,full_trick,4,2012,2018,4,,15. Andreas Nawrath (Germany) - bedwetter > dimwalk > PS whirl
ac1268dc-a961-568f-860e-63e9ea815c01,Damian Gielnicki,drifter,full_trick,4,2006,2009,4,,2. Damian Gielnicki (Blurry Drifter > Spinning Swirl > Food Processor)
58bb3c4a-1a60-537d-ba4e-55de294abd8c,Dustin Rhodes,ripwalk,full_trick,4,2006,2013,4,,1. Dustin Rhodes - dimwalk>ripwalk>ps mirage
58bb3c4a-1a60-537d-ba4e-55de294abd8c,Dustin Rhodes,whirl,full_trick,4,2008,2014,4,,3 Dustin Rhodes ripwalk>blurrywhirl>p.s. whirl
