person_id,person_canon,trick_canon,trick_type,mentions,direct_mentions,context_window_mentions,first_year,last_year,event_count,sample_event,sample_line
ac1268dc-a961-568f-860e-63e9ea815c01,Damian Gielnicki,swirl,full_trick,9,9,0,2006,2022,8,Zocha Jam 2006,2. Damian Gielnicki (Blurry Drifter > Spinning Swirl > Food Processor)
ac1268dc-a961-568f-860e-63e9ea815c01,Damian Gielnicki,spinning,style_term,8,8,0,2006,2022,8,Zocha Jam 2006,2. Damian Gielnicki (Blurry Drifter > Spinning Swirl > Food Processor)
be7a8e7f-f052-5c31-b27b-47d4fee9a265,Evan Gatesman,swirl,full_trick,8,8,0,2008,2016,7,SoCali Jam 08,1 Evan Gatesman blurry whirling swirl
2c16c43d-6111-5231-b813-23f20f6ba7a3,Jonathan Schneider,swirl,full_trick,8,4,4,2002,2008,3,Cinco de Mayo Footbag Fest,- whirling swirl>whirling swirl>whirling swirl(>whirling swirl)
04a43526-37ba-5ea0-a01c-8e357a694c42,Felix Zenger,blender,full_trick,7,5,2,2004,2013,5,Shercle Session #1,Blurry Whirl > PS Whirl > Spinning Blender
4d04edec-6cd0-582d-b4e1-e8ead070a8c8,Jim Penske,swirl,full_trick,7,1,6,2007,2008,2,2007 IFPA WORLD FOOTBAG CHAMPIONSHIPS,"* jp:spinning swirl, drifters, ps whirls, barfly, spinning swirl, about 25"
ac1268dc-a961-568f-860e-63e9ea815c01,Damian Gielnicki,torque,full_trick,6,5,1,2007,2022,6,Zocha Jam 2007,1. Damian Gielnicki PL (Blurry Drifter > Spinning Pdx DLO > Tapping Torque)
0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,pixie,style_term,6,3,3,2005,2021,4,Shercle Session #2,"1. Honza Weber (Pixie Mobius, Superego, Alpine Foodprocessor)"
0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,whirl,full_trick,6,0,6,2004,2008,3,TODEXON 5,- Ripstein > Spin Pdx Whirl > Double Blender
4d04edec-6cd0-582d-b4e1-e8ead070a8c8,Jim Penske,spinning,style_term,6,3,3,2007,2007,3,2007 IFPA WORLD FOOTBAG CHAMPIONSHIPS,"* jm: p flux, quantums, double spinning, long run"
ac1268dc-a961-568f-860e-63e9ea815c01,Damian Gielnicki,drifter,full_trick,5,5,0,2006,2009,5,Zocha Jam 2006,2. Damian Gielnicki (Blurry Drifter > Spinning Swirl > Food Processor)
401af1f3-a976-5403-9740-210e2849f159,Maciej Niczyporuk,pixie,style_term,5,5,0,2012,2022,5,12th Annual IFPA Polish Footbag Championships 2012,2. Maciej Niczyporuk (Janiwalker> Bedwetter> Pixie Whirling Swirl) (Poland)
401af1f3-a976-5403-9740-210e2849f159,Maciej Niczyporuk,swirl,full_trick,5,5,0,2012,2022,5,12th Annual IFPA Polish Footbag Championships 2012,2. Maciej Niczyporuk (Janiwalker> Bedwetter> Pixie Whirling Swirl) (Poland)
0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,ducking,style_term,5,3,2,2004,2005,2,TODEXON 5,- Ducking Whirlwind > Whirlwind > Spin Pdx Blender
4ad82639-801d-5c4b-aae6-f07e5dfe67d2,Mariusz Wilk,whirl,full_trick,5,0,5,2008,2017,2,8th Annual Polish Footbag Championships 2008,Pixie Legover>Drifter OR Whirl> Stepping far Legover
4451a36c-41ca-55ab-87f3-d364b6f485ee,Jan Honza Weber,pixie,style_term,5,0,5,2008,2008,1,10e Open de France de Footbag,- Leviathan > Paradox Double Legover > Pixie Inspinning Osis
4451a36c-41ca-55ab-87f3-d364b6f485ee,Jan Honza Weber,swirl,full_trick,5,0,5,2008,2008,1,10e Open de France de Footbag,2. Andreas Grandi Peier ? Smoke > Fog > Pixie same Swirl
2f3d1d48-2e06-57f0-bca0-5211c668f88f,Julien Appolonio,legover,full_trick,5,0,5,2007,2007,1,9e Open de France de Footbag,12. Slava Sidorin ? Ducking Symposium Doubles Legover
2f3d1d48-2e06-57f0-bca0-5211c668f88f,Julien Appolonio,whirl,full_trick,5,0,5,2007,2007,1,9e Open de France de Footbag,1. Serge Kaldany ? Quantum Ducking Mirage > Pixie Ducking Whirl > Paradox
4ad82639-801d-5c4b-aae6-f07e5dfe67d2,Mariusz Wilk,legover,full_trick,5,0,5,2008,2008,1,8th Annual Polish Footbag Championships 2008,Pixie Legover>Drifter OR Whirl> Stepping far Legover
6d948954-90cb-5446-9a60-9d4ca0ef4734,Filip Wojcik,ducking butterfly,full_trick,4,3,1,2015,2022,4,36th IFPA WORLD FOOTBAG CHAMPIONSHIPS,4. Filip Wójcik (Poland) - Fairy Ducking Butterfly > Fog > Pixie Paradon
3568ce18-bf1b-55b6-aefd-61f65f55b08c,Jakub Grabarczyk,drifter,full_trick,4,4,0,2008,2022,4,8th Annual Polish Footbag Championships 2008,2. Jakub Grabarczyk (Bluury Drifter>Matador>Pdx Torque)
4d04edec-6cd0-582d-b4e1-e8ead070a8c8,Jim Penske,food processor,full_trick,4,2,2,2006,2015,4,U. S. Open Footbag Championships,3. Jim Penske (Food Processor-Locomotion-Mullet)
0b3204c8-7e99-586e-aeb2-4186d0901fe3,Milan Benda,fusion,full_trick,4,2,2,2007,2010,4,2007 IFPA WORLD FOOTBAG CHAMPIONSHIPS,* fusion > blurry whirl > locomotion
226d0da7-f659-5870-a9ac-6bff94c85319,Sunny Freeman-Genz,paradox mirage,full_trick,4,4,0,2006,2010,4,Santa Cruz Invitational,3. Sunny Freeman-Genz - legbeater>paradox mirage>paradon
8606f658-92cd-570c-bf5e-2865de4a9b48,Andrew Grant,blurry whirl,full_trick,4,3,1,2005,2007,3,The Hackrifice Open 2005,Blurry whirl> ripwalk> ps whirl
04a43526-37ba-5ea0-a01c-8e357a694c42,Felix Zenger,spinning,style_term,4,2,2,2004,2005,3,Shercle Session #1,Blurry Whirl > PS Whirl > Spinning Blender
c90a00eb-95d7-5375-a769-b71cbce34d87,Jakob Wagner,pixie,style_term,4,2,2,2006,2012,3,8e OPEN de France de Footbag,Pixie Double Switch Over > Pixie Down Double Down > Blurriest
4f0fcdbc-8dfe-51fc-b92c-b3cda4dd0c00,Marcin Bujko,blurry whirl,full_trick,4,3,1,2009,2018,3,End of Winter Jam,4. Marcin Bujko (Ripwarrior > Blurry Whirl > Spinning Pdx Whirl)
9fccb3a3-3408-518a-aacb-43d9678fcce4,Pawel Nowak,atomic,style_term,4,3,1,2014,2019,3,Todexon 15,6. Pawel Nowak (Poland) - symposium atomic motion
